"","State","District","Persons","Males","Females","Growth (1991 - 2001)","Rural","Urban","Scheduled Caste population","Percentage - SC to total","Number of households","Household size (per household)","Sex ratio (females per 1000 males)","Sex ratio (0-6 years)","Scheduled Tribe population","Percentage to total population (ST)","Persons- literate","Males- Literate","Females- Literate","Persons- literacy rate","Males- Literatacy Rate","Females- Literacy Rate","Total Educated","Data without level","Below Primary","Primary","Middle","Matric/Higher Secondary/Diploma","Graduate and Above","0 - 4 years","5 - 14 years","15 - 59 years","60 years and above (Incl. A.N.S.)","Total workers","Main workers","Marginal workers","Non-workers","SC#1 Name","SC#1 Population","SC#2 Name","SC#2 Population","SC#3 Name","SC#3 Population","Religeon#1 Name","Religeon#1 Population","Religeon#2 Name","Religeon#2 Population","Religeon#3 Name","Religeon#3 Population","ST#1 Name","ST#1 Population","ST#2 Name","ST#2 Population","ST#3 Name","ST#3 Population","Imp Town#1 Name","Imp Town#1 Population","Imp Town#2 Name","Imp Town#2 Population","Imp Town#3 Name","Imp Town#3 Population","Total Inhabited Villages","Drinking water facilities","Safe Drinking water","Electricity (Power Supply)","Electricity (domestic)","Electricity (Agriculture)","Primary school","Middle schools","Secondary/Sr Secondary schools","College","Medical facility","Primary Health Centre","Primary Health Sub-Centre","Post, telegraph and telephone facility","Bus services","Paved approach road","Mud approach road","Permanent House","Semi-permanent House","Temporary House"
"1","Andhra","District Adilabad (01), Andhra Pradesh (28)","2488003","1250958","1237045","19.06","1827986","660017","461214","18.54","524649","5","989","962","416511","16.74","1112189","688072","424117","52.68","64.98","40.3","1112189","46680","347433","305503","114789","254169","43564","243389","659331","1417252","168031","1123248","912287","210961","1364755",NA,"154470",NA,"147883",NA,"73083",NA,"2207843",NA,"236844",NA,"24392","1.Gond etc.","200944","2.Sugalis etc.","103303","3.Kolam etc.","45437",NA,"109529",NA,"75254","(M)","70381","1586","1585","1580","1585","-","-","1521","429","196","8","976","61","432","558","814","979","544","53","39.9","7"
"2","Andhra","District Nizamabad (02), Andhra Pradesh (28)","2345685","1162905","1182780","14.98","1920947","424738","348158","14.84","484588","5","1017","958","165735","7.07","1044788","642996","401792","52.02","64.91","39.48","1044788","43604","288554","304556","106517","249549","51926","216402","567129","1382370","179784","1159606","971911","187695","1186079","1.Madiga","168229","2.Mala","157187","3.Gosangi","9760","1.Hindus","1983275","2.Muslims","338824","3.Christians","16204","1.Sugalis etc.","142355","2.Gond etc.","13971","3.Yerukulas","5409","1.Nizamabad (M)","288722","2.Bodhan (M)","71520","3.Kamareddy (M)","64496","854","854","854","854","-","-","839","417","256","10","614","50","330","602","746","760","82","52.8","37.6","9.6"
"3","Andhra","District Karimnagar (03), Andhra Pradesh (28)","3491822","1747968","1743854","14.47","2813010","678812","650246","18.62","813797","4","998","961","90636","2.6","1661089","1013328","647761","54.9","67.09","42.75","1661089","57595","445208","478883","189226","409110","81001","302570","796148","2077569","315535","1711559","1458954","252605","1780263","1.Madiga","396594","2.Mala","193030","3.Mala Sale etc.","25595","1.Hindus","3251834","2.Muslims","213811","3.Christians","20576","1.Sugalis etc.","51157","2.Gond etc.","13275","3.Yerukulas","13215","1.Ramagundam (M)","236600","2.Karimnagar (M)","205653","3.Jagtial (M)","85521","1047","1047","1046","1047","-","-","1039","668","391","12","863","70","475","795","912","823","218","55.8","36.4","7.8"
"4","Andhra","District Medak (04), Andhra Pradesh (28)","2670097","1352446","1317651","17.29","2286573","383524","469492","17.58","521018","5","974","964","134533","5.04","1171134","738208","432926","51.65","64.33","38.66","1171134","56841","339163","322529","118592","282352","51608","255985","677807","1523368","212937","1293657","1060051","233606","1376440","1.Madiga","271203","2.Mala","172595","3.Beda Jangam etc.","7704","1.Hindus","2334169","2.Muslims","296486","3.Christians","34651","1.Sugalis etc.","118642","2.Yerukulas","13264","3.Generic Tribes etc.","1358","1.Siddipet (M)","61809","2.Sangareddy (M)","57113","3.Ramachandrapuram (CT)","52363","1225","1225","1225","1225","-","-","1215","555","274","7","659","58","360","803","1007","978","239","49.3","42.6","8.1"
"5","Andhra","District Hyderabad (05), Andhra Pradesh (28)","3829753","1981173","1848580","17.18","-","3829753","307248","8.02","695906","6","933","942","34560","0.9","2634949","1449602","1185347","78.8","83.74","73.5","2634949","104630","347414","561772","244588","909398","466744","319253","864415","2401792","244293","1119842","1032298","87544","2709911","1.Madiga","150377","2.Mala","108135","3.Generic Castes etc.","31460","1.Hindus","2121963","2.Muslims","1576583","3.Christians","92915","1.Sugalis etc.","17145","2.Yerukulas","6595","3.Generic Tribes etc.","5059","1.Hyderabad (M Corp.) (Part)","3612427","2.Secunderabad Cantonment Boar2d0(6C,1B0)2",NA,"3.Osmania University (CT)","11224",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"86","11.9","2"
"6","Andhra","District Rangareddi (06), Andhra Pradesh (28)","3575064","1839227","1735837","37.41","1637227","1937837","520045","14.55","742590","5","944","959","146057","4.09","2034381","1192100","842281","66.16","75.26","56.49","2034381","78742","404250","489521","193364","607300","260503","324169","842909","2173360","234626","1437606","1264403","173203","2137458","1.Madiga","333075","2.Mala","152645","3.Generic Castes etc.","10322","1.Hindus","3063118","2.Muslims","408281","3.Christians","89893","1.Sugalis etc.","123753","2.Yerukulas","11340","3.Koya etc.","4394","1.Kukatpally (M)","292289","2.Lal Bahadur Nagar (M)","268689","3.Qutubullapur (M)","231108","860","860","860","858","-","-","839","405","238","12","422","30","225","638","713","731","122","78.6","18.2","3.1"
"7","Andhra","District Mahbubnagar (07), Andhra Pradesh (28)","3513934","1782340","1731594","13.97","3142579","371355","600927","17.1","688212","5","972","951","278702","7.93","1317521","850414","467107","44.41","56.63","31.89","1317521","66105","371893","353924","128269","329607","67575","345446","937792","1969070","261626","1823329","1482426","340903","1690605","1.Madiga","463547","2.Mala","106122","3.Generic Castes etc.","15072","1.Hindus","3193932","2.Muslims","296975","3.Christians","18800","1.Sugalis etc.","246810","2.Yerukulas","21039","3.Chenchu etc.","8272","1.Mahbubnagar (M)","130986","2.Gadwal (M)","50941","3.Wanaparthy (NP)","50114","1477","1475","1468","1477","-","-","1456","658","335","9","881","76","517","1044","1230","1127","340","39.9","34.7","25.4"
"8","Andhra","District Nalgonda (08), Andhra Pradesh (28)","3247982","1651990","1595992","13.55","2815304","432678","575788","17.73","723015","4","966","951","342676","10.55","1595643","981875","613768","57.15","69.23","44.68","1595643","67688","474835","439802","175590","352049","85612","295103","801673","1876515","274691","1594666","1308907","285759","1653316","1.Madiga","420451","2.Mala","135577","3.Beda Jangam etc.","8268","1.Hindus","3040212","2.Muslims","170553","3.Christians","32452","1.Sugalis etc.","320959","2.Yerukulas","18531","3.Chenchu etc.","992","1.Nalgonda (M)","110286","2.Suryapet (M)","93239","3.Miryalaguda (M)","90886","1124","1124","1124","1124","-","-","1098","599","367","11","872","69","493","826","1020","934","185","50.1","26.9","23"
"9","Andhra","District Warangal (09), Andhra Pradesh (28)","3246004","1644895","1601109","14.63","2622792","623212","551385","16.99","729110","4","973","955","457679","14.1","1595745","973527","622218","57.13","68.88","45.09","1595745","62694","428105","418774","174537","411463","99917","288972","776786","1898639","281607","1566237","1277468","288769","1679767","1.Madiga","406829","2.Mala","100126","3.Generic Castes etc.","13069","1.Hindus","3028537","2.Muslims","177217","3.Christians","33354","1.Sugalis etc.","368446","2.Koya etc.","61909","3.Yerukulas","19774","1.Warangal (M Corp.)","530636","2.Jangaon (NP)","43996",NA,NA,"984","984","984","984","-","-","971","587","340","23","826","84","521","735","864","652","321","49.9","32.8","17.2"
"10","Andhra","District Khammam (10), Andhra Pradesh (28)","2578927","1305543","1273384","15.78","2068066","510861","426692","16.55","601659","4","975","970","682617","26.47","1267944","745679","522265","56.89","66.11","47.44","1267944","40606","362116","377075","139285","275834","72950","231625","618242","1533620","195440","1244376","1039322","205054","1334551","1.Madiga","243899","2.Mala","166895","3.Mala Sale etc.","5417","1.Hindus","2406066","2.Muslims","137639","3.Christians","30777","1.Koya etc.","359582","2.Sugalis etc.","271373","3.Gond etc.","16203","1.Khammam (M)","159544","2.Kothagudem (M)","79721","3.Palwancha (M)","69088","1101","1100","1090","1100","-","-","1000","417","253","18","921","44","395","609","739","604","475","46.4","12.5","41.1"
"11","Andhra","District Srikakulam (11), Andhra Pradesh (28)","2537593","1260020","1277573","8.93","2258934","278659","229609","9.05","582377","4","1014","967","151249","5.96","1217659","731778","485881","55.31","67.19","43.68","1217659","59831","314768","406889","140816","236099","59134","226342","588640","1522214","200397","1201816","870624","331192","1335777","1.Mala","156710","2.Madiga","28114","3.Relli","21520","1.Hindus","2513087","2.Christians","14199","3.Muslims","7759","1.Savaras etc.","92165","2.Jatapus","24725","3.Kotia etc.","18918","1.Srikakulam (M)","109905","2.Palasa Kasibugga (NP)","49899","3.Amadalavalasa (NP)","37931","1715","1715","1713","1715","-","-","1645","511","273","23","652","67","426","925","1009","1153","461","47.8","8.7","43.5"
"12","Andhra","District Vizianagaram (12), Andhra Pradesh (28)","2249254","1119541","1129713","6.36","1836859","412395","238023","10.58","514912","4","1009","979","214839","9.55","997482","605038","392444","51.07","62.37","39.91","997482","41776","256539","345163","107395","191992","54462","198760","502372","1378957","169165","1174164","912375","261789","1075090","1.Mala","126530","2.Madiga","51983","3.Relli","25403","1.Hindus","2214541","2.Christians","15495","3.Muslims","15472","1.Jatapus","93519","2.Konda Dhoras","51517","3.Savaras etc.","29005","1.Vizianagaram (M)","174651","2.Bobbili (M)","50096","3.Parvathipuram (M)","49714","1455","1453","1374","1455","-","-","1371","352","194","12","649","56","427","903","732","822","433","49.9","5.2","45"
