"","State","District","Persons","Males","Females","Growth (1991 - 2001)","Rural","Urban","Scheduled Caste population","Percentage - SC to total","Number of households","Household size (per household)","Sex ratio (females per 1000 males)","Sex ratio (0-6 years)","Scheduled Tribe population","Percentage to total population (ST)","Persons- literate","Males- Literate","Females- Literate","Persons- literacy rate","Males- Literatacy Rate","Females- Literacy Rate","Total Educated","Data without level","Below Primary","Primary","Middle","Matric/Higher Secondary/Diploma","Graduate and Above","0 - 4 years","5 - 14 years","15 - 59 years","60 years and above (Incl. A.N.S.)","Total workers","Main workers","Marginal workers","Non-workers","SC#1 Name","SC#1 Population","SC#2 Name","SC#2 Population","SC#3 Name","SC#3 Population","Religeon#1 Name","Religeon#1 Population","Religeon#2 Name","Religeon#2 Population","Religeon#3 Name","Religeon#3 Population","ST#1 Name","ST#1 Population","ST#2 Name","ST#2 Population","ST#3 Name","ST#3 Population","Imp Town#1 Name","Imp Town#1 Population","Imp Town#2 Name","Imp Town#2 Population","Imp Town#3 Name","Imp Town#3 Population","Total Inhabited Villages","Drinking water facilities","Safe Drinking water","Electricity (Power Supply)","Electricity (domestic)","Electricity (Agriculture)","Primary school","Middle schools","Secondary/Sr Secondary schools","College","Medical facility","Primary Health Centre","Primary Health Sub-Centre","Post, telegraph and telephone facility","Bus services","Paved approach road","Mud approach road","Permanent House","Semi-permanent House","Temporary House"
"1","ArunachalPradesh","District Tawang (01), Arunachal Pradesh (12)","38924","21846","17078","22.69","30548","8376","128","0.33","8294","5","782","948","29191","74.99","15337","11160","4177","47.32","60.32","30.04","15337","496","3835","3146","2535","4535","785","4416","9106","22814","2588","21727","18134","3593","17197","1.Generic Castes etc.","58","2.Muchi etc.","31","3.Kaibartta etc.","12","1.Buddhists","29083","2.Hindus","8440","3.Sikhs","420","1.Monpa","21247","2.Tawang Monpa","7162","3.Adi","150","1.Tawang (CT)","8376",NA,NA,NA,NA,"180","180","159","173","172","1","63","13","2","-","23","9","-","54","59","57","52","51.1","36.8","12.1"
"2","ArunachalPradesh","District West Kameng (02), Arunachal Pradesh (12)","74599","42542","32057","32.21","67906","6693","372","0.5","15637","5","754","955","36951","49.53","37687","25386","12301","60.76","70.29","47.46","37687","833","10517","8778","5725","9725","2108","8570","18755","44149","3125","34362","28850","5512","40237","1.Bansphor","75","2.Generic Castes etc.","63","3.Dhupi etc.","54","1.Buddhists","33104","2.Hindus","32125","3.Others","4750","1.Monpa","19596","2.Miji","4354","3.Aka","3879","1.Bomdila (CT)","6693",NA,NA,NA,NA,"213","213","211","168","168","-","97","22","11","-","47","7","7","15","41","43","72","32.7","33.8","33.4"
"3","ArunachalPradesh","District East Kameng (03), Arunachal Pradesh (12)","57179","28802","28377","13.24","42177","15002","97","0.17","12018","5","985","1035","49585","86.72","18338","11978","6360","40.64","52.36","28.59","18338","290","6995","4524","2962","2783","783","8003","16633","30280","2263","25949","23543","2406","31230","1.Namasudra","55","2.Muchi etc.","13","3.Bansphor","10","1.Others","31538","2.Christians","14550","3.Hindus","9943","1.Dafla","16644","2.Nissi","15186","3.Bangni","7299","1.Seppa (CT)","15002",NA,NA,NA,NA,"310","309","284","44","43","-","128","34","6","-","89","6","5","11","40","137","4","10.7","26","63.4"
"4","ArunachalPradesh","District Papum Pare * (04), Arunachal Pradesh (12)","122003","64184","57819","67.21","59961","62042","1397","1.15","24636","5","901","977","69007","56.56","69982","41367","28615","69.32","77.27","60.35","69982","1189","15664","15056","11464","19892","6715","14134","34120","70794","2955","44132","38401","5731","77871","1.Namasudra","672","2.Dhupi etc.","171","3.Kaibartta etc.","123","1.Hindus","51026","2.Christians","36574","3.Others","25395","1.Nissi","25175","2.Dafla","18192","3.Apatani","6318","1.Itanagar (CT)","35022","2.Naharlagun (CT)","27020",NA,NA,"267","267","215","60","48","12","69","25","8","1","17","3","9","11","21","103","87","41.1","31.6","27.3"
"5","ArunachalPradesh","District Lower Subansiri (05), Arunachal Pradesh (12)","98244","49542","48702","17.37","85860","12384","197","0.2","19456","5","983","1004","88512","90.09","35933","21647","14286","44.79","53.37","36.01","35933","1292","10147","9338","6443","7104","1605","11707","28668","53748","4121","45405","37473","7932","52839","1.Kaibartta etc.","48","2.Generic Castes etc.","47","3.Dhupi etc.","27","1.Others","62481","2.Christians","24078","3.Hindus","10493","1.Nissi","42282","2.Apatani","18233","3.Nishang","11989","1.Ziro (CT)","12384",NA,NA,NA,NA,"652","652","383","175","169","-","147","75","22","-","74","16","38","15","57","146","219","15.6","21.1","63.3"
"6","ArunachalPradesh","District Upper Subansiri (06), Arunachal Pradesh (12)","55346","28240","27106","9.8","39590","15756","99","0.18","10862","5","960","984","49552","89.53","22379","13547","8832","50.35","59.55","40.7","22379","236","7953","6037","3525","3732","896","7344","16233","29443","2326","22415","21067","1348","32931","1.Brittial-Bania etc.","43","2.Mehtar etc.","14","3.Kaibartta etc.","11","1.Others","45318","2.Hindus","5572","3.Christians","3240","1.Tagin","36459","2.Galong","6490","3.Nissi","3889","1.Daporijo (CT)","15756",NA,NA,NA,NA,"398","398","252","77","77","-","141","33","10","-","26","2","17","9","58","55","153","11.1","8.1","80.4"
"7","ArunachalPradesh","District West Siang (07), Arunachal Pradesh (12)","103918","54349","49569","15.17","82806","21112","379","0.36","18251","6","912","949","84922","81.72","51216","30128","21088","59.47","66.63","51.56","51216","1052","16056","14264","8677","8702","2463","11446","30937","56121","5414","43085","36843","6242","60833","1.Dhupi etc.","105","2.Mehtar etc.","66","3.Brittial-Bania etc.","44","1.Others","61183","2.Christians","20122","3.Hindus","17711","1.Adi Gallong","39758","2.Galong","14379","3.Adi","8613","1.Along (CT)","17033","2.Basar (CT)","4079",NA,NA,"398","398","348","115","108","-","221","66","19","1","48","12","7","22","86","105","209","15.3","9.2","75.5"
"8","ArunachalPradesh","District East Siang (08), Arunachal Pradesh (12)","87397","45265","42132","21.66","65432","21965","531","0.61","16133","5","931","957","60420","69.13","43495","25455","18040","60.73","68.42","52.42","43495","634","11850","12096","7375","8782","2758","10521","24270","47818","4788","33552","29183","4369","53845","1.Dhupi etc.","98","2.Brittial-Bania etc.","76","3.Generic Castes etc.","64","1.Others","43944","2.Hindus","26352","3.Christians","13406","1.Adi Minyong","21544","2.Abor","11238","3.Adi","6580","1.Pasighat (CT)","21965",NA,NA,NA,NA,"144","144","141","120","119","1","116","31","18","-","21","9","8","29","65","70","57","19.1","10","70.4"
"9","ArunachalPradesh","District Upper Siang * (09), Arunachal Pradesh (12)","33363","18057","15306","19.32","33363","-","124","0.37","6849","5","848","1010","26094","78.21","13424","8733","4691","49.78","58.71","38.79","13424","234","3821","3744","2481","2497","631","4364","8367","18019","2613","17105","15395","1710","16258","1.Sutradhar","21","2.Mahara","18","3.Generic Castes etc.","17","1.Others","19477","2.Hindus","6116","3.Christians","4291","1.Adi","9707","2.Pangi","3506","3.Adi Minyong","2404","No Urban Area",NA,NA,NA,NA,NA,"92","92","82","42","42","-","62","15","9","-","11","3","6","9","29","38","74","15.9","20.7","63.4"
"10","ArunachalPradesh","District Dibang Valley (10), Arunachal Pradesh (12)","57720","31442","26278","33.61","47613","10107","507","0.88","11932","5","836","945","26832","46.49","27854","17533","10321","58.89","67.21","48.66","27854","399","8928","7395","4581","5211","1339","6986","16201","32157","2376","25700","22086","3614","32020","1.Namasudra","219","2.Dhupi etc.","70","3.Mehtar etc.","64","1.Hindus","31700","2.Others","13992","3.Christians","6134","1.Idu/Chulikata Mishmi","9076","2.Adi Padam","4752","3.Abor","3237","1.Roing (CT)","10107",NA,NA,NA,NA,"213","213","177","70","68","-","55","24","12","-","25","8","6","25","53","65","74","13.4","21.3","65.1"
