"","State","District","Persons","Males","Females","Growth (1991 - 2001)","Rural","Urban","Scheduled Caste population","Percentage - SC to total","Number of households","Household size (per household)","Sex ratio (females per 1000 males)","Sex ratio (0-6 years)","Scheduled Tribe population","Percentage to total population (ST)","Persons- literate","Males- Literate","Females- Literate","Persons- literacy rate","Males- Literatacy Rate","Females- Literacy Rate","Total Educated","Data without level","Below Primary","Primary","Middle","Matric/Higher Secondary/Diploma","Graduate and Above","0 - 4 years","5 - 14 years","15 - 59 years","60 years and above (Incl. A.N.S.)","Total workers","Main workers","Marginal workers","Non-workers","SC#1 Name","SC#1 Population","SC#2 Name","SC#2 Population","SC#3 Name","SC#3 Population","Religeon#1 Name","Religeon#1 Population","Religeon#2 Name","Religeon#2 Population","Religeon#3 Name","Religeon#3 Population","ST#1 Name","ST#1 Population","ST#2 Name","ST#2 Population","ST#3 Name","ST#3 Population","Imp Town#1 Name","Imp Town#1 Population","Imp Town#2 Name","Imp Town#2 Population","Imp Town#3 Name","Imp Town#3 Population","Total Inhabited Villages","Drinking water facilities","Safe Drinking water","Electricity (Power Supply)","Electricity (domestic)","Electricity (Agriculture)","Primary school","Middle schools","Secondary/Sr Secondary schools","College","Medical facility","Primary Health Centre","Primary Health Sub-Centre","Post, telegraph and telephone facility","Bus services","Paved approach road","Mud approach road","Permanent House","Semi-permanent House","Temporary House"
"1","Assam","District Kokrajhar (01), Assam (18)","905764","466191","439573","15.05","841823","63941","31167","3.44","168619","5","943","947","304985","33.67","383541","230769","152772","51.63","60.32","42.4","383541","11179","123002","97692","63583","76399","11591","107419","253840","497450","47055","334849","234771","100078","570915",NA,"10813",NA,"6821",NA,"5384",NA,"594168",NA,"184441",NA,"124270","1.Boro etc.","287268","2.Rabha","13012","3.Generic Tribes etc.","3886","(MB)","31164",NA,"13508",NA,"12440","951","951","949","704","690","14","906","354","118","10","211","25","38","151","284","557","651","12.1","35.5","52.4"
"2","Assam","District Dhubri (02), Assam (18)","1637344","841044","796300","23.42","1444901","192443","63208","3.86","297121","6","947","965","32523","1.99","625369","373446","251923","48.21","55.91","40.04","625369","13946","228580","152632","105492","101129","23131","233963","464173","848258","90950","470360","399201","71159","1166984",NA,"28111",NA,"9745",NA,"8357",NA,"1216455",NA,"405065",NA,"12477","1.Boro etc.","22208","2.Rabha","10133","3.Generic Tribes etc.","63","(MB)","64168",NA,"31171",NA,"28780","1261","1261","1247","904","897","11","1138","612","205","6","374","29","5","272","362","405","1092","12.1","50.5","37.4"
"3","Assam","District Goalpara (03), Assam (18)","822035","420251","401784","23.07","755133","66902","39462","4.8","146826","6","956","974","131800","16.03","384670","220277","164393","58.03","64.86","50.85","384670","7548","145790","92621","67036","60309","10964","108415","230617","437701","45302","273925","209928","63997","548110",NA,"12252",NA,"10282",NA,"6257",NA,"441516",NA,"314157",NA,"64662","1.Rabha","93912","2.Boro etc.","36948","3.Kachari etc.","586","(MB)","49037",NA,"12547",NA,"5318","761","761","759","689","688","1","723","311","130","13","243","18","46","134","209","165","720","13.2","36.2","50.5"
"4","Assam","District Bongaigaon (04), Assam (18)","904835","465240","439595","12.23","795053","109782","92770","10.25","168556","5","945","972","110696","12.23","439861","258761","181100","59.33","67.67","50.44","439861","7842","142193","106878","81738","84500","16694","111651","243945","496713","52526","293243","233087","60156","611592","1.Namasudra","46992","2.Kaibartta etc.","13587","3.Sutradhar","12561","1.Hindus","535464","2.Muslims","348573","3.Christians","18728","1.Boro etc.","102610","2.Rabha","6700","3.Kachari etc.","566","1.Bongaigaon (MB)","60327","2.New Bongaigaon Rly. Colony (CT)15,601",NA,"3.Abhayapuri (TC)","14673","881","881","876","607","607","11","805","340","138","4","112","25","35","132","299","347","732","17.7","39","43.3"
"5","Assam","District Barpeta (05), Assam (18)","1647201","848578","798623","18.53","1520333","126868","93861","5.7","290494","6","941","960","123266","7.48","752682","448021","304661","56.24","64.83","47.07","752682","17763","241853","162333","132818","164157","33386","209571","450596","881878","105156","517088","408537","108551","1130113",NA,"35236",NA,"15894",NA,"10126",NA,"977943",NA,"662066",NA,"5267","1.Boro etc.","117120","2.Rabha","4144","3.Kachari etc.","1038",NA,"41038","(MB)","35725",NA,"16730","1050","1050","1045","775","768","41","967","603","320","36","430","32","138","275","370","469","964","12.9","33.1","54"
"6","Assam","District Kamrup (06), Assam (18)","2522324","1326981","1195343","25.75","1614107","908217","170541","6.76","490740","5","901","957","250393","9.93","1608191","930256","677935","74.16","81.16","66.31","1608191","28042","355779","312309","275453","466555","169680","237213","595306","1542431","147374","842253","697810","144443","1680071","1.Namasudra","64444","2.Kaibartta etc.","40294","3.Generic Castes etc.","12364","1.Hindus","1836153","2.Muslims","625002","3.Christians","44257","1.Boro etc.","140023","2.Rabha","88191","3.Kachari etc.","9016","1.Guwahati (M Corp.)","809895","2.Rangia (MB)","25151","3.North Guwahati (TC)","16286","1342","1342","1311","1042","1014","14","1190","592","286","21","468","42","117","378","702","938","1232","33","35.1","31.9"
"7","Assam","District Nalbari (07), Assam (18)","1148824","592375","556449","11.98","1121338","27486","86236","7.51","202708","6","939","958","202577","17.63","657925","387002","270923","67.23","76.56","57.26","657925","14188","178933","138882","121336","174317","30251","113198","287948","671362","76316","383932","291665","92267","764892","1.Namasudra","35199","2.Kaibartta etc.","23018","3.Dhupi etc.","5272","1.Hindus","873749","2.Muslims","253842","3.Christians","18495","1.Boro etc.","176576","2.Rabha","17563","3.Kachari etc.","5459","1.Nalbari (MB)","23183","2.Tihu (TC)","4303",NA,NA,"798","798","796","733","609","52","769","481","226","23","179","32","51","273","362","375","781","15.5","30.7","53.8"
"8","Assam","District Darrang (08), Assam (18)","1504320","773861","730459","15.79","1429492","74828","68464","4.55","271841","6","944","975","249861","16.61","684998","407632","277366","55.44","63.91","46.4","684998","25329","214363","155853","127004","139276","23154","183605","390243","840655","89817","527993","404428","123565","976327",NA,"23812",NA,"14957",NA,"7811",NA,"868532",NA,"534658",NA,"97306","1.Boro etc.","207878","2.Rabha","32331","3.Generic Tribes etc.","5114","(MB)","23920",NA,"18228",NA,"17783","1319","1319","1280","1032","1023","11","1246","457","196","12","356","35","72","211","504","930","1163","13.7","23.2","63.1"
"9","Assam","District Marigaon (09), Assam (18)","776256","398926","377330","21.29","738268","37988","100346","12.93","133458","6","946","965","120730","15.55","367292","210586","156706","58.53","65.15","51.51","367292","7934","121385","89100","67786","69749","11307","100556","214797","414807","46096","262824","200132","62692","513432","1.Namasudra","52713","2.Kaibartta etc.","20211","3.Hira","17928","1.Hindus","405302","2.Muslims","369398","3.Christians","759","1.Lalung","102070","2.Boro etc.","12149","3.Kachari etc.","4827","1.Marigaon (TC)","20811","2.Jagiroad (CT)","17177",NA,NA,"592","592","592","389","349","42","531","255","104","8","219","15","45","162","269","281","575","10.7","24","65.3"
"10","Assam","District Nagaon (10), Assam (18)","2314629","1190950","1123679","22.3","2036342","278287","215209","9.3","410882","6","944","975","89394","3.86","1165617","665697","499920","61.73","68.27","54.74","1165617","21941","369818","288125","212668","226919","45957","290961","618901","1255658","149109","727641","566195","161446","1586988",NA,"80229",NA,"79416",NA,"10280",NA,"1180267",NA,"1106354",NA,"21473","1.Lalung","56247","2.Boro etc.","18636","3.Kachari etc.","8076","(MB)","107667",NA,"35718",NA,"34423","1375","1374","1369","1190","1147","110","1257","680","309","17","480","40","151","548","787","931","1267","16.3","26.1","57.5"
"11","Assam","District Sonitpur (11), Assam (18)","1681513","871568","809945","17.8","1505719","175794","87900","5.23","315116","5","929","973","195083","11.6","830579","494965","335614","59","67.54","49.73","830579","18082","255139","204000","144886","172379","36083","185036","433724","967533","95220","634723","465283","169440","1046790",NA,"42049",NA,"19249",NA,"9689",NA,"1287646",NA,"268078",NA,"115623","1.Boro etc.","140293","2.Miri","44092","3.Rabha","4256","(MB)","80575",NA,"25349",NA,"18824","1784","1784","1772","1331","1209","74","1372","405","172","13","235","40","88","422","539","1067","1692","23.4","23.9","52.7"
"12","Assam","District Lakhimpur (12), Assam (18)","889010","455691","433319","18.34","823857","65153","70060","7.88","157167","6","951","966","208864","23.49","506433","292261","214172","68.56","77.06","59.59","506433","9552","134273","101435","103794","135467","21888","100313","236087","500876","51734","497745","288052","209693","391265",NA,"45112",NA,"15771",NA,"2775",NA,"702881",NA,"143505",NA,"36667","1.Miri","165843","2.Kachari etc.","19542","3.Deori","13534","(MB)","54285",NA,"10868",NA,NA,"1139","1139","1136","680","677","5","1046","697","265","16","211","23","81","240","291","650","1118","15.9","30.2","53.9"
"13","Assam","District Dhemaji (13), Assam (18)","571944","294643","277301","18.93","533112","38832","30472","5.33","96949","6","941","970","270496","47.29","304606","181645","122961","64.48","74.41","53.86","304606","7541","80592","62969","57868","85106","10527","65179","161903","313682","31180","250146","155431","94715","321798","1.Kaibartta etc.","12675","2.Namasudra","9198","3.Jhalo etc.","1860","1.Hindus","548780","2.Muslims","10533","3.Christians","6390","1.Miri","185906","2.Boro etc.","42991","3.Kachari etc.","23720","1.Silapathar (TC)","22516","2.Dhemaji (TC)","11863","3.Jonai Bazar (CT)","4453","1236","1236","1235","253","253","-","1068","505","172","19","83","20","35","94","185","317","1111","5.8","16.7","77.5"
"14","Assam","District Tinsukia (14), Assam (18)","1150062","601099","548963","19.52","926105","223957","31315","2.72","218885","5","913","957","67234","5.85","588302","355444","232858","60.95","70.15","50.78","588302","15110","166316","143102","109758","129043","24927","122241","291138","673125","63558","466351","349847","116504","683711",NA,"13229",NA,"5549",NA,"3389",NA,"1029142",NA,"62403",NA,"40000","1.Kachari etc.","36460","2.Miri","17203","3.Deori","6861","(MB)","85563",NA,"24049",NA,"20553","1107","1107","1104","871","810","11","936","246","86","7","198","23","69","222","400","694","1032","33.6","25.6","40.8"
"15","Assam","District Dibrugarh (15), Assam (18)","1185072","613555","571517","12.43","956634","228438","48024","4.05","228574","5","931","962","88337","7.45","698148","406265","291883","68.96","77.3","59.95","698148","17173","166630","148411","130235","193998","41634","114701","286303","717048","67020","472419","342708","129711","712653",NA,"26388",NA,"3715",NA,"3202",NA,"1075878",NA,"53306",NA,"45040","1.Kachari etc.","67311","2.Miri","9332","3.Mech","4301","(MB)","121893",NA,"23763",NA,"19021","1309","1309","1309","1195","1169","30","1169","382","177","9","263","36","97","300","497","459","1205","33.6","29.5","36.9"
"16","Assam","District Sibsagar (16), Assam (18)","1051736","545476","506260","15.95","954557","97179","35759","3.4","207185","5","928","967","41533","3.95","672158","382936","289222","74.47","81.53","66.81","672158","10554","153864","131634","145992","198390","31707","101065","246805","637480","66386","430523","287319","143204","621213",NA,"27419",NA,"1182",NA,"1159",NA,"927706",NA,"85761",NA,"28488","1.Miri","23849","2.Kachari etc.","8072","3.Deori","3860","(MB)","53854",NA,"17502",NA,"13047","866","866","861","772","766","15","825","464","243","7","317","33","76","303","429","441","815","26.9","43.8","29.3"
