"","State","District","Persons","Males","Females","Growth (1991 - 2001)","Rural","Urban","Scheduled Caste population","Percentage - SC to total","Number of households","Household size (per household)","Sex ratio (females per 1000 males)","Sex ratio (0-6 years)","Scheduled Tribe population","Percentage to total population (ST)","Persons- literate","Males- Literate","Females- Literate","Persons- literacy rate","Males- Literatacy Rate","Females- Literacy Rate","Total Educated","Data without level","Below Primary","Primary","Middle","Matric/Higher Secondary/Diploma","Graduate and Above","0 - 4 years","5 - 14 years","15 - 59 years","60 years and above (Incl. A.N.S.)","Total workers","Main workers","Marginal workers","Non-workers","SC#1 Name","SC#1 Population","SC#2 Name","SC#2 Population","SC#3 Name","SC#3 Population","Religeon#1 Name","Religeon#1 Population","Religeon#2 Name","Religeon#2 Population","Religeon#3 Name","Religeon#3 Population","ST#1 Name","ST#1 Population","ST#2 Name","ST#2 Population","ST#3 Name","ST#3 Population","Imp Town#1 Name","Imp Town#1 Population","Imp Town#2 Name","Imp Town#2 Population","Imp Town#3 Name","Imp Town#3 Population","Total Inhabited Villages","Drinking water facilities","Safe Drinking water","Electricity (Power Supply)","Electricity (domestic)","Electricity (Agriculture)","Primary school","Middle schools","Secondary/Sr Secondary schools","College","Medical facility","Primary Health Centre","Primary Health Sub-Centre","Post, telegraph and telephone facility","Bus services","Paved approach road","Mud approach road","Permanent House","Semi-permanent House","Temporary House"
"1","Bihar","District Pashchim Champaran (01), Bihar (10)","3043466","1600839","1442627","30.4","2733907","309559","434714","14.28","522728","6","901","953","44912","1.48","932347","648173","284174","38.93","51.08","25.23","932347","39777","303277","276791","120739","151304","39728","425415","861361","1567591","189099","1154038","840563","313475","1889428","1.Chamar etc.","230760","2.Musahar","75964","3.Dusadh etc.","74206","1.Hindus","2373310","2.Muslims","646597","3.Others","14304","1.Oraon","30287","2.Gond","5392","3.Kharwar","2578","1.Bettiah (M)","116670","2.Bagaha (M)","91467","3.Narkatiaganj (NA)","40830","1355","1355","1355","344","290","14","1040","261","58","5","266","54","144","314","116","454","1303","31.6","16.5","51.9"
"2","Bihar","District Purba Champaran (02), Bihar (10)","3939773","2077047","1862726","29.27","3688687","251086","514119","13.05","645949","6","897","936","4812","0.12","1164670","810950","353720","37.54","49.31","24.27","1164670","58363","334285","335027","160904","220305","55742","554100","1126811","2010397","248465","1286843","1025654","261189","2652930",NA,"215386",NA,"168482",NA,"53175",NA,"3181386",NA,"755005",NA,"1179","1.Gond","3486","2.Lohara etc.","523","3.Kharwar","272",NA,"100683","(M)","41610",NA,"32632","1279","1279","1279","529","396","67","1081","348","90","5","316","35","130","498","119","494","1223","39.9","15.4","44.6"
"3","Bihar","District Sheohar * (03), Bihar (10)","515961","273680","242281","36.16","494699","21262","74391","14.42","106808","5","885","916","64","0.01","144444","98775","45669","35.27","45.28","23.86","144444","13313","38706","41449","18325","26264","6366","70450","145010","261820","38681","161218","133348","27870","354743","1.Chamar etc.","29674","2.Dusadh etc.","27144","3.Dhobi","8105","1.Hindus","435121","2.Muslims","80076","3.Religion not stated","418","1.Baiga","18","2.Lohara etc.","18","3.Ho","9","1.Sheohar (NA)","21262",NA,NA,NA,NA,"189","189","189","43","39","2","161","56","14","-","57","9","25","61","15","68","186","27","13.6","59.4"
"4","Bihar","District Sitamarhi (04), Bihar (10)","2682720","1417611","1265109","32.58","2529407","153313","315646","11.77","548321","5","892","924","1786","0.07","817711","556936","260775","38.46","49.36","26.13","817711","45072","232998","241271","106199","149796","42252","366890","758084","1379659","178087","855156","714136","141020","1827564","1.Dusadh etc.","117091","2.Chamar etc.","107112","3.Musahar","42279","1.Hindus","2111476","2.Muslims","568992","3.Religion not stated","1237","1.Bedia","998","2.Lohara etc.","271","3.Gond","164","1.Sitamarhi (M)","56766","2.Bairgania (NA)","34836","3.Belsand (NA)","17840","802","802","801","302","285","15","709","264","28","6","216","26","118","277","146","345","736","38.2","28.2","33.6"
"5","Bihar","District Madhubani (05), Bihar (10)","3575281","1840997","1734284","26.08","3450736","124545","481922","13.48","656858","5","942","939","1260","0.04","1195776","832849","362927","41.97","56.79","26.25","1195776","59231","311450","337265","166293","241046","80377","476534","1018476","1838518","241753","1227723","877412","350311","2347558","1.Dusadh etc.","169789","2.Chamar etc.","139510","3.Musahar","106534","1.Hindus","2930501","2.Muslims","641579","3.Religion not stated","1477","1.Santal","562","2.Lohara etc.","294","3.Generic Tribes etc.","128","1.Madhubani (M)","66340","2.Jhanjharpur (NA)","24112","3.Jainagar (NA)","19567","1034","1034","1033","437","323","30","901","382","119","27","232","48","157","432","164","547","986","28.2","10.3","61.5"
"6","Bihar","District Supaul * (06), Bihar (10)","1732578","902207","830371","29.95","1644370","88208","256444","14.8","308453","6","920","925","5219","0.3","509025","372961","136064","37.28","52.42","20.81","509025","36513","141754","142665","68442","90900","28675","239646","506073","881162","105697","728222","526267","201955","1004356","1.Musahar","76655","2.Chamar etc.","62751","3.Dusadh etc.","59218","1.Hindus","1426108","2.Muslims","302120","3.Christians","1893","1.Oraon","3662","2.Santal","901","3.Mal Paharia","156","1.Supaul (M)","54085","2.Birpur (NA)","17982","3.Nirmali (NA)","16141","526","526","525","151","120","2","440","187","52","9","104","14","54","194","53","242","504","11.8","10","78.2"
"7","Bihar","District Araria (07), Bihar (10)","2158608","1128105","1030503","31.84","2026257","132351","293488","13.6","415563","5","913","962","29423","1.36","589679","411189","178490","35.01","46.38","22.37","589679","56822","170917","169716","72976","90784","26900","312331","640393","1080531","125353","853445","657446","195999","1305163","1.Musahar","157694","2.Dusadh etc.","68719","3.Chamar etc.","30721","1.Hindus","1263766","2.Muslims","887972","3.Jains","2504","1.Santal","22622","2.Oraon","3273","3.Generic Tribes etc.","1700","1.Araria (M)","60861","2.Forbesganj (M)","41499","3.Jogabani (NA)","29991","713","713","711","129","121","-","552","162","4","4","60","16","21","211","108","252","683","8","17.5","74.5"
"8","Bihar","District Kishanganj (08), Bihar (10)","1296348","669552","626796","31.5","1167340","129008","85833","6.62","257252","5","936","946","47116","3.63","313488","222795","90693","31.09","42.71","18.63","313488","30065","104143","89804","35723","38799","13632","193354","382241","654356","66397","417151","359819","57332","879197","1.Hari etc.","29233","2.Musahar","17455","3.Dusadh etc.","11441","1.Muslims","876105","2.Hindus","412995","3.Christians","2856","1.Santal","38337","2.Generic Tribes etc.","3153","3.Oraon","2998","1.Kishanganj (M)","85590","2.Bahadurganj ( NA)","28118","3.Thakurganj (NA)","15300","730","730","730","116","97","24","442","91","23","3","120","16","39","123","39","181","701","10.6","37.3","52.1"
"9","Bihar","District Purnia (09), Bihar (10)","2543942","1328417","1215525","35.23","2321544","222398","312088","12.27","492491","5","915","967","111947","4.4","700070","478689","221381","35.1","45.63","23.42","700070","45607","192055","188455","89717","121468","60584","361499","754557","1286799","141087","960700","782364","178336","1583242","1.Musahar","171609","2.Dusadh etc.","58470","3.Chamar etc.","33951","1.Hindus","1584796","2.Muslims","935239","3.Others","14224","1.Santal","72967","2.Oraon","27856","3.Generic Tribes etc.","3507","1.Purnia (M)","171687","2.Kasba (NA)","25524","3.Banmankhi Bazar (NA)","25187","1103","1103","1095","313","298","10","676","197","32","8","178","27","74","250","124","284","1046","10.6","16.9","72.5"
"10","Bihar","District Katihar (10), Bihar (10)","2392638","1246872","1145766","30.91","2174361","218277","208384","8.71","455376","5","919","966","140418","5.87","655119","443862","211257","35.09","45.31","23.8","655119","27714","190559","184659","98997","112380","39452","351000","714699","1193641","133298","898326","664259","234067","1494312","1.Musahar","64698","2.Dusadh etc.","43329","3.Hari etc.","41792","1.Hindus","1363523","2.Muslims","1017495","3.Christians","4994","1.Santal","72138","2.Oraon","24678","3.Kharwar","18765","1.Katihar (M)","175199","2.Manihari (NA)","21803","3.Raghunathpur (CT)","5601","1290","1290","1231","277","224","47","785","183","56","10","248","30","93","239","83","316","1174","14.9","36.7","48.4"
"11","Bihar","District Madhepura (11), Bihar (10)","1526646","797180","729466","29.45","1458679","67967","260461","17.06","267179","6","915","926","9295","0.61","431480","305330","126150","36.07","48.8","22.11","431480","24076","110975","116785","56748","91201","31536","215748","445170","776706","89022","683976","498367","185609","842670","1.Musahar","132043","2.Chamar etc.","52614","3.Dusadh etc.","47722","1.Hindus","1351978","2.Muslims","173605","3.Religion not stated","494","1.Santal","7073","2.Mal Paharia","860","3.Generic Tribes etc.","646","1.Madhepura (M)","45031","2.Murliganj (NA)","22936",NA,NA,"384","384","383","168","138","11","311","195","42","14","141","24","60","183","65","163","371","16.3","11.8","71.9"
