"","State","District","Persons","Males","Females","Growth (1991 - 2001)","Rural","Urban","Scheduled Caste population","Percentage - SC to total","Number of households","Household size (per household)","Sex ratio (females per 1000 males)","Sex ratio (0-6 years)","Scheduled Tribe population","Percentage to total population (ST)","Persons- literate","Males- Literate","Females- Literate","Persons- literacy rate","Males- Literatacy Rate","Females- Literacy Rate","Total Educated","Data without level","Below Primary","Primary","Middle","Matric/Higher Secondary/Diploma","Graduate and Above","0 - 4 years","5 - 14 years","15 - 59 years","60 years and above (Incl. A.N.S.)","Total workers","Main workers","Marginal workers","Non-workers","SC#1 Name","SC#1 Population","SC#2 Name","SC#2 Population","SC#3 Name","SC#3 Population","Religeon#1 Name","Religeon#1 Population","Religeon#2 Name","Religeon#2 Population","Religeon#3 Name","Religeon#3 Population","ST#1 Name","ST#1 Population","ST#2 Name","ST#2 Population","ST#3 Name","ST#3 Population","Imp Town#1 Name","Imp Town#1 Population","Imp Town#2 Name","Imp Town#2 Population","Imp Town#3 Name","Imp Town#3 Population","Total Inhabited Villages","Drinking water facilities","Safe Drinking water","Electricity (Power Supply)","Electricity (domestic)","Electricity (Agriculture)","Primary school","Middle schools","Secondary/Sr Secondary schools","College","Medical facility","Primary Health Centre","Primary Health Sub-Centre","Post, telegraph and telephone facility","Bus services","Paved approach road","Mud approach road","Permanent House","Semi-permanent House","Temporary House"
"1","CG","District Koriya * (01), Chhattisgarh (22)","586327","301251","285076","16.91","411536","174791","48205","8.22","118828","5","946","969","260040","44.35","306668","189459","117209","63.09","75.68","49.73","306668","19088","103521","85487","42217","41975","14373","67977","152921","329739","35690","279826","181837","97989","306501","1.Chamar etc.","29562","2.Ghasi etc.","6153","3.Basor etc.","3514","1.Hindus","549179","2.Muslims","22535","3.Christians","7570","1.Gond etc.","159077","2.Kawar etc.","28821","3.Oraon etc.","21407","1.Chirmiri (M) (Part)","74796","2.Mahendragarh (M)","30758","3.Khongapani (CT)","17862","650","650","645","405","312","58","562","114","39","1","48","13","8","79","47","130","500","23.1","76.5","0.5"
"2","CG","District Surguja (02), Chhattisgarh (22)","1972094","1000050","972044","24.58","1834913","137181","94837","4.81","383217","5","972","976","1076669","54.6","873459","547006","326453","54.79","67.63","41.57","873459","106497","296575","220260","115576","101299","33241","257133","506650","1063505","144806","982041","605013","377028","990053","1.Chamar etc.","50147","2.Ghasi etc.","28186","3.Chikwa etc.","7245","1.Hindus","1823285","2.Christians","72380","3.Muslims","63685","1.Gond etc.","377522","2.Oraon etc.","243743","3.Kawar etc.","173722","1.Ambikapur (M)","66012","2.Surajpur (NP)","16834","3.Phunderdihari (CT)","16037","1769","1745","1742","1432","1043","329","1713","468","177","7","508","49","139","241","321","540","1429","6","92.6","1.4"
"3","CG","District Jashpur * (03), Chhattisgarh (22)","743160","371697","371463","12.71","708965","34195","36400","4.9","148792","5","999","975","469953","63.24","395548","232587","162961","63.77","75.16","52.44","395548","34349","130597","103656","62225","50922","13790","82856","184352","413179","62773","397898","261952","135946","345262","1.Chikwa etc.","9071","2.Ghasi etc.","7211","3.Chamar etc.","6736","1.Hindus","559984","2.Christians","169609","3.Muslims","11720","1.Oraon etc.","249136","2.Gond etc.","59058","3.Kawar etc.","54266","1.Jashpurnagar (NP)","20239","2.Pathalgaon (NP)","13956",NA,NA,"764","760","760","550","357","31","749","202","105","3","304","42","187","167","125","171","559","4.7","95","0.3"
"4","CG","District Raigarh (04), Chhattisgarh (22)","1265529","634597","630932","18.68","1096073","169456","179744","14.2","268609","5","994","964","447703","35.38","746495","439954","306541","70.16","82.7","57.62","746495","56271","268796","204985","99568","86502","30355","140095","290277","727342","107815","601564","430725","170839","663965","1.Chamar etc.","77837","2.Ganda etc.","68901","3.Ghasi etc.","22977","1.Hindus","1212180","2.Christians","36098","3.Muslims","12637","1.Kawar etc.","160525","2.Gond etc.","73027","3.Oraon etc.","69878","1.Raigarh (M)","111154","2.Kharsia (NP)","17388","3.Sarangarh (NP)","14459","1433","1410","1409","1385","723","308","1350","339","143","3","279","20","85","336","253","370","993","17.2","78.9","3.9"
"5","CG","District Korba * (05), Chhattisgarh (22)","1011823","515147","496676","22.55","644860","366963","100960","9.98","203104","5","964","978","419889","41.5","518372","324912","193460","61.71","75.86","46.99","518372","9373","164517","137964","79124","93719","33634","117885","260457","572919","60562","431002","302248","128754","580821","1.Chamar etc.","65689","2.Ganda etc.","19345","3.Ghasi etc.","9779","1.Hindus","949774","2.Muslims","21761","3.Christians","17641","1.Gond etc.","152094","2.Kawar etc.","147141","3.Oraon etc.","24988","1.Korba (M Corp.) (Part)","178645","2.Korba (M Corp.) (Part)","137045","3.Dipka (CT)","20150","710","707","707","563","392","24","674","203","107","3","214","25","116","164","124","201","479","31.4","67.2","1.4"
"6","CG","District Janjgir - Champa* (06), Chhattisgarh (22)","1317431","659388","658043","18.55","1172112","145319","296199","22.48","254080","5","998","965","153069","11.62","720507","445925","274582","65.94","81.82","50.14","720507","16341","261370","185071","110150","119079","28440","155099","344849","701346","116137","575923","411510","164413","741508","1.Chamar etc.","258996","2.Ganda etc.","19712","3.Ghasi etc.","11112","1.Hindus","1299831","2.Muslims","11857","3.Christians","2489","1.Gond etc.","65696","2.Kawar etc.","27549","3.Sawar etc.","16303","1.Champa (M)","37951","2.Naila Janjgir (M)","32513","3.Akaltara (NP)","20367","889","888","888","882","300","91","871","292","237","7","308","31","158","251","233","342","475","30.1","69","0.9"
"7","CG","District Bilaspur (07), Chhattisgarh (22)","1998355","1013875","984480","17.59","1511661","486694","369088","18.47","390354","5","971","964","397104","19.87","1048167","656225","391942","63.51","78.43","48.17","1048167","31399","359352","269030","145629","168750","73884","240556","516617","1091363","149819","857577","630504","227073","1140778","1.Chamar etc.","323477","2.Mahar etc.","14870","3.Ganda etc.","6645","1.Hindus","1904580","2.Muslims","45342","3.Others","19325","1.Gond etc.","259014","2.Bhaina","30478","3.Kawar etc.","27440","1.Bilaspur (M Corp.) (Part)","274917","2.Mungeli (M)","27389","3.Ratanpur (NP)","19839","1579","1545","1544","1494","941","575","1426","417","254","5","452","41","262","311","253","627","1148","31.9","67.3","0.7"
"8","CG","District Kawardha * (08), Chhattisgarh (22)","584552","291963","292589","13.86","539660","44892","74351","12.72","112679","5","1002","969","121957","20.86","261036","167179","93857","55.15","71","39.47","261036","26000","112289","68700","27349","19935","6752","77062","158852","305708","42930","291648","231030","60618","292904","1.Chamar etc.","67010","2.Mahar etc.","3680","3.Ganda etc.","1451","1.Hindus","554542","2.Others","17133","3.Muslims","9421","1.Gond etc.","88526","2.Baiga","30695","3.Agariya","1450","1.Kawardha(M)","31788","2.Pandariya (NP)","12477",NA,NA,"956","952","948","774","530","299","785","100","43","1","162","14","83","109","97","255","604","20.2","77.6","2.1"
"9","CG","District Rajnandgaon (09), Chhattisgarh (22)","1283224","634342","648882","17.7","1051577","231647","127424","9.93","246524","5","1023","983","341688","26.63","823076","457505","365571","77.21","87.17","67.55","823076","95384","265489","223080","116435","91107","31552","152856","312094","719023","99251","649401","558996","90405","633823","1.Chamar etc.","67259","2.Mahar etc.","48922","3.Ganda etc.","5665","1.Hindus","1215492","2.Buddhists","28020","3.Muslims","21035","1.Gond etc.","217353","2.Halba etc.","59090","3.Kawar etc.","57971","1.Rajnandgaon (M Corp.)","143770","2.Dongargarh (M)","34441","3.Khairagarh (NP)","15157","1605","1595","1595","1550","1056","292","1484","351","139","8","343","23","50","314","403","630","1051","19.8","79","1.2"
"10","CG","District Durg (10), Chhattisgarh (22)","2810436","1417893","1392543","16.88","1738127","1072309","359511","12.79","543486","5","982","965","348801","12.41","1793890","1032829","761061","75.62","86.43","64.64","1793890","62545","543973","466403","265099","338969","116771","305754","682210","1612776","209696","1162833","965624","197209","1647603","1.Chamar etc.","258204","2.Mahar etc.","60191","3.Ganda etc.","23609","1.Hindus","2654202","2.Muslims","70398","3.Sikhs","23399","1.Gond etc.","193700","2.Halba etc.","138070","3.Kawar etc.","6420","1.Bhilai Nagar (M Corp.)","556366","2.Durg (M Corp.)","232517","3.Bhilai Charoda (M) (Part)","77651","1776","1762","1760","1737","931","571","1698","529","338","13","669","76","301","597","453","860","1150","39.4","59.3","1.4"
