"","State","District","Persons","Males","Females","Growth (1991 - 2001)","Rural","Urban","Scheduled Caste population","Percentage - SC to total","Number of households","Household size (per household)","Sex ratio (females per 1000 males)","Sex ratio (0-6 years)","Scheduled Tribe population","Percentage to total population (ST)","Persons- literate","Males- Literate","Females- Literate","Persons- literacy rate","Males- Literatacy Rate","Females- Literacy Rate","Total Educated","Data without level","Below Primary","Primary","Middle","Matric/Higher Secondary/Diploma","Graduate and Above","0 - 4 years","5 - 14 years","15 - 59 years","60 years and above (Incl. A.N.S.)","Total workers","Main workers","Marginal workers","Non-workers","SC#1 Name","SC#1 Population","SC#2 Name","SC#2 Population","SC#3 Name","SC#3 Population","Religeon#1 Name","Religeon#1 Population","Religeon#2 Name","Religeon#2 Population","Religeon#3 Name","Religeon#3 Population","ST#1 Name","ST#1 Population","ST#2 Name","ST#2 Population","ST#3 Name","ST#3 Population","Imp Town#1 Name","Imp Town#1 Population","Imp Town#2 Name","Imp Town#2 Population","Imp Town#3 Name","Imp Town#3 Population","Total Inhabited Villages","Drinking water facilities","Safe Drinking water","Electricity (Power Supply)","Electricity (domestic)","Electricity (Agriculture)","Primary school","Middle schools","Secondary/Sr Secondary schools","College","Medical facility","Primary Health Centre","Primary Health Sub-Centre","Post, telegraph and telephone facility","Bus services","Paved approach road","Mud approach road","Permanent House","Semi-permanent House","Temporary House"
"1","Delhi","District North West","2860869","1571689","1289180","60.12","265363","2595506","553162","19.34","561945","5","820","856","-","-","1957902","1161047","796855","80.57","86.67","73.08","1957902","16320","336760","414858","309552","550540","329431","294204","669176","1751640","145849","919439","872142","47297","1941430","1.Chamar etc.","203869","2.Chuhra (Balmiki)","117968","3.Koli","45617","1.Hindus","2540491","2.Muslims","173409","3.Sikhs","91723","No Scheduled Tribes in this area",NA,NA,NA,NA,NA,"1.DMC(U) Part","1279582","2.DMC(U) Part","404787","3.DMC(U) Part","174142","62","62","62","62","11","9","57","31","46","-","44","2","1","60","62","61","9","91.1","5.8","3.1"
"2","Delhi","District North","781525","427882","353643","13.3","46585","734940","134623","17.23","148927","5","826","885","-","-","540192","314103","226089","80.1","84.64","74.54","540192","5647","84263","116492","90266","155998","87355","72979","171219","492289","45038","256596","244890","11706","524929","1.Chamar etc.","36982","2.Chuhra (Balmiki)","24936","3.Koli","16817","1.Hindus","609493","2.Muslims","126093","3.Sikhs","20819","No Scheduled Tribes in this area",NA,NA,NA,NA,NA,"1.DMC(U) Part","397256","2.DMC(U) Part","132947","3.DMC(U) Part","122102","5","5","4","4","2","1","3","3","2","-","3","-","-","4","5","4","1","89.1","4.5","6.3"
"3","Delhi","District North East","1768061","956078","811983","62.52","141547","1626514","295092","16.69","310887","6","849","875","-","-","1141035","676627","464408","77.53","84.78","68.94","1141035","13821","222702","270927","211702","300605","121084","201204","459472","1032752","74633","500425","470993","29432","1267636","1.Chamar etc.","149967","2.Koli","39439","3.Chuhra (Balmiki)","33134","1.Hindus","1232960","2.Muslims","481607","3.Jains","22322","No Scheduled Tribes in this area",NA,NA,NA,NA,NA,"1.DMC(U) Part","426549","2.DMC(U) Part","353401","3.DMC(U) Part","217397","12","12","12","7","5","2","7","4","4","-","4","-","-","8","12","9","3","94.6","3.5","1.9"
"4","Delhi","District East","1463583","794074","669509","41.61","18223","1445360","238984","16.33","287638","5","843","865","-","-","1068139","613061","455078","84.91","89.65","79.26","1068139","9826","152458","199177","157781","310647","238014","141176","315156","918414","88837","475310","456216","19094","988273","1.Chamar etc.","104915","2.Chuhra (Balmiki)","60288","3.Khatik","13088","1.Hindus","1213295","2.Muslims","140335","3.Sikhs","51157","No Scheduled Tribes in this area",NA,NA,NA,NA,NA,"1.DMC(U) Part","541277","2.DMC(U) Part","362275","3.DMC(U) Part","210055","3","3","3","3","-","-","1","-","-","-","-","-","-","2","3","3","-","93.2","3.4","3.4"
"5","Delhi","District New Delhi (05), Delhi (07)","179112","99956","79156","2.47","-","179112","39803","22.22","39633","5","792","897","-","-","131196","78540","52656","83.24","88.62","76.33","131196","1665","17489","24105","21377","36440","30013","14382","36626","120349","7755","67594","64425","3169","111518","1.Chuhra (Balmiki)","20846","2.Chamar etc.","6407","3.Dhobi","4659","1.Hindus","155594","2.Muslims","11416","3.Christians","6263","No Scheduled Tribes in this area",NA,NA,NA,NA,NA,"1.N.D.M.C. (Part)","74994","2.N.D.M.C. (Part)","59132","3.N.D.M.C. (Part)","31067",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"82.1","7.2","10.7"
"6","Delhi","District Central","646385","350831","295554","(1.91)","-","646385","150815","23.33","120616","5","842","902","-","-","450989","255253","195736","79.69","82.73","76.05","450989","9341","65525","101683","75263","119540","79593","54916","133996","415837","41636","223851","213324","10527","422534","1.Chamar etc.","66663","2.Chuhra (Balmiki)","20324","3.Khatik","13797","1.Hindus","423592","2.Muslims","193137","3.Sikhs","17126","No Scheduled Tribes in this area",NA,NA,NA,NA,NA,"1.DMC(U) Part","307191","2.DMC(U) Part","195556","3.DMC(U) Part","140248",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"87.2","5.4","7.4"
"7","Delhi","District West","2128908","1163084","965824","47.81","86794","2042114","317683","14.92","432782","5","830","859","-","-","1533738","884861","648877","83.39","87.85","77.99","1533738","13948","220759","289230","222665","463594","323357","198333","448086","1340763","141726","720915","686517","34398","1407993","1.Chamar etc.","113072","2.Chuhra (Balmiki)","58455","3.Khatik","33376","1.Hindus","1745810","2.Sikhs","247312","3.Muslims","107079","No Scheduled Tribes in this area",NA,NA,NA,NA,NA,"1.DMC(U) Part","968505","2.DMC(U) Part","469963","3.DMC(U) Part","312034","9","9","9","9","1","1","9","7","11","-","5","-","-","9","9","9","1","92","4.9","3.1"
"8","Delhi","District South West","1755041","983615","771426","61.29","225454","1529587","258835","14.75","364511","5","784","845","-","-","1258033","761917","496116","83.61","89.86","75.55","1258033","10007","184787","237497","201038","396897","227609","171609","380759","1122699","79974","602546","569836","32710","1152495","1.Chamar etc.","89506","2.Chuhra (Balmiki)","66947","3.Julaha (Weaver)","15868","1.Hindus","1612169","2.Muslims","76429","3.Sikhs","29470","No Scheduled Tribes in this area",NA,NA,NA,NA,NA,"1.DMC(U) Part","695488","2.DMC (U) Part","334821","3.DMC (U) Part","168990","51","51","47","51","11","11","49","30","50","1","26","2","2","49","51","51","3","91.7","5.3","2.9"
"9","Delhi","District South","2267023","1260025","1006998","50.27","160761","2106262","354258","15.63","466444","5","799","887","-","-","1583540","955438","628102","81.96","88.26","73.94","1583540","15744","250170","313497","242046","436353","325459","229058","500588","1421999","115378","778558","739173","39385","1488465","1.Chamar etc.","122003","2.Chuhra (Balmiki)","97323","3.Koli","30885","1.Hindus","1824645","2.Muslims","314015","3.Sikhs","75102","No Scheduled Tribes in this area",NA,NA,NA,NA,NA,"1.DMC (U) Part","714784","2.DMC (U) Part","556765","3.DMC (U) Part","379138","16","16","16","16","1","1","12","10","14","1","7","2","-","15","16","16","2","92.1","4.7","3.2"
"10","Delhi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
