"","State","District","Persons","Males","Females","Growth (1991 - 2001)","Rural","Urban","Scheduled Caste population","Percentage - SC to total","Number of households","Household size (per household)","Sex ratio (females per 1000 males)","Sex ratio (0-6 years)","Scheduled Tribe population","Percentage to total population (ST)","Persons- literate","Males- Literate","Females- Literate","Persons- literacy rate","Males- Literatacy Rate","Females- Literacy Rate","Total Educated","Data without level","Below Primary","Primary","Middle","Matric/Higher Secondary/Diploma","Graduate and Above","0 - 4 years","5 - 14 years","15 - 59 years","60 years and above (Incl. A.N.S.)","Total workers","Main workers","Marginal workers","Non-workers","SC#1 Name","SC#1 Population","SC#2 Name","SC#2 Population","SC#3 Name","SC#3 Population","Religeon#1 Name","Religeon#1 Population","Religeon#2 Name","Religeon#2 Population","Religeon#3 Name","Religeon#3 Population","ST#1 Name","ST#1 Population","ST#2 Name","ST#2 Population","ST#3 Name","ST#3 Population","Imp Town#1 Name","Imp Town#1 Population","Imp Town#2 Name","Imp Town#2 Population","Imp Town#3 Name","Imp Town#3 Population","Total Inhabited Villages","Drinking water facilities","Safe Drinking water","Electricity (Power Supply)","Electricity (domestic)","Electricity (Agriculture)","Primary school","Middle schools","Secondary/Sr Secondary schools","College","Medical facility","Primary Health Centre","Primary Health Sub-Centre","Post, telegraph and telephone facility","Bus services","Paved approach road","Mud approach road","Permanent House","Semi-permanent House","Temporary House"
"1","Gujarat","District Kachchh (01), Gujarat (24)","1583225","815152","768073","20.9","1108333","474892","185932","11.74","320588","5","942","921","130138","8.22","794483","480555","313928","59.79","70.39","48.59","794483","12438","253685","250155","104847","140506","32699","176916","381035","911521","113753","605599","498186","107413","977626","1.Meghval etc.","129621","2.Mahyavansi etc.","24064","3.Bhambi etc.","10315","1.Hindus","1223254","2.Muslims","329254","3.Jains","23894","1.Koli","95655","2.Vaghri","16974","3.Bhil etc.","7937","1.Gandhidham (M)","151693","2.Bhuj (M)","98528","3.Anjar (M)","68343","886","886","882","863","61","21","835","-","105","-","672","45","170","616","841","688","336","83.4","9","7.5"
"2","Gujarat","District Banas Kantha (02), Gujarat (24)","2504244","1297404","1206840","26.31","2228743","275501","271484","10.84","426781","6","930","906","205904","8.22","1037619","699080","338539","50.97","66.47","34.4","1037619","13753","424367","308578","112479","153151","24897","326948","668902","1365463","142931","1092201","830579","261622","1412043","1.Bhambi etc.","158332","2.Bhangi etc.","39435","3.Mahyavansi etc.","33884","1.Hindus","2314123","2.Muslims","170142","3.Jains","18544","1.Bhil etc.","203077","2.Generic Tribes etc.","1830","3.Padhar","185","1.Palanpur (M)","110419","2.Deesa (M)","83382","3.Tharad (M)","22815","1244","1242","1233","1225","328","197","1217","-","198","4","523","61","252","954","1114","1066","729","49.3","38.8","11.9"
"3","Gujarat","District Patan","1182709","612100","570609","14.08","944281","238428","116879","9.88","222630","5","932","865","12637","1.07","599082","375588","223494","60.36","73.63","46.33","599082","5885","215489","165823","69614","121119","21088","132514","276327","686947","86921","533078","395470","137608","649631","1.Bhambi etc.","53851","2.Mahyavansi etc.","31292","3.Bhangi etc.","17401","1.Hindus","1057013","2.Muslims","119748","3.Jains","5136","1.Bhil etc.","11516","2.Generic Tribes etc.","361","3.Bavacha etc.","309","1.Patan (M)","112219","2.Sidhpur (M)","53858","3.Radhanpur (M)","32191","517","516","513","517","9","2","514","-","127","6","265","28","208","454","485","478","86","63.7","29.3","7"
"4","Gujarat","District Mahesana (04), Gujarat (24)","1837892","953842","884050","12.04","1426175","411717","148597","8.09","364447","5","927","800","8975","0.49","1188224","698626","489598","75.22","86.2","63.65","1188224","9603","345067","306412","160453","309309","56891","179056","399174","1114802","144860","828519","665080","163439","1009373","1.Bhambi etc.","50431","2.Mahyavansi etc.","46335","3.Senva etc.","26782","1.Hindus","1714171","2.Muslims","113631","3.Jains","7122","1.Bhil etc.","6532","2.Patelia","872","3.Generic Tribes etc.","403","1.Mahesana (M)","99880","2.Visnagar (M)","65826","3.Kadi (M)","56240","593","593","593","593","3","3","589","-","276","5","440","47","272","546","593","560","258","74.6","21","4.3"
"5","Gujarat","District Sabar Kantha (05), Gujarat (24)","2082531","1069554","1012977","18.3","1857402","225129","173325","8.32","399847","5","947","879","420242","20.18","1171555","721203","450352","66.65","80.42","52.3","1171555","13244","299309","296151","176084","332201","53757","230011","470303","1231509","150708","940437","662249","278188","1142094","1.Bhambi etc.","66546","2.Mahyavansi etc.","63639","3.Senva etc.","15929","1.Hindus","1946780","2.Muslims","117806","3.Jains","11198","1.Bhil etc.","406356","2.Generic Tribes etc.","6176","3.Naikda etc.","4556","1.Himatnagar (M)","56464","2.Modasa (M)","54135","3.Idar (M)","29002","1372","1370","1368","1358","187","163","1362","-","544","20","784","69","361","1070","1338","1162","763","44.3","44.6","11.1"
"6","Gujarat","District Gandhinagar (06), Gujarat (24)","1334455","697999","636456","23.88","867195","467260","115955","8.69","269440","5","912","813","17681","1.32","879834","522575","357259","76.59","87.74","64.58","879834","5710","221042","214072","136174","231335","71259","130223","286936","830197","87099","554336","467413","86923","780119","1.Mahyavansi etc.","46606","2.Bhambi etc.","40603","3.Bhangi etc.","12857","1.Hindus","1269766","2.Muslims","50559","3.Jains","7769","1.Bhil etc.","11674","2.Generic Tribes etc.","1271","3.Naikda etc.","867","1.Gandhinagar (NAC)","195985","2.Kalol (M)","100008","3.Chandkheda (M)","55504","291","291","291","291","14","14","290","-","177","5","244","23","129","261","286","283","154","70.9","24.4","4.7"
"7","Gujarat","District Ahmadabad (07), Gujarat (24)","5816519","3074556","2741963","26.61","1152986","4663533","620765","10.67","1150588","5","892","835","58035","1","4012140","2318295","1693845","79.5","87.31","70.83","4012140","34840","816251","963479","602259","1113922","479990","531956","1210381","3680817","393365","2009365","1799126","210239","3807154","1.Mahyavansi etc.","289988","2.Bhambi etc.","171544","3.Bhangi etc.","87391","1.Hindus","4921747","2.Muslims","662799","3.Jains","170093","1.Bhil etc.","33055","2.Padhar","9603","3.Generic Tribes etc.","5639","1.Ahmadabad (M Corp.)","3520085","2.Vejalpur (M)","113445","3.Ghatlodiya (M)","106684","546","546","542","546","61","20","542","-","156","-","428","35","181","488","539","540","197","82.9","14.1","3"
"8","Gujarat","District Surendranagar (08), Gujarat (24)","1515148","787650","727498","25.34","1112700","402448","166211","10.97","277667","5","924","886","14338","0.95","781155","487094","294061","61.61","74.19","48.1","781155","7798","260586","231369","119782","132242","29293","173263","359042","870590","112253","647609","512038","135571","867539","1.Mahyavansi etc.","83092","2.Bhambi etc.","51060","3.Bhangi etc.","14289","1.Hindus","1392451","2.Muslims","97846","3.Jains","22721","1.Padhar","10916","2.Bhil etc.","2133","3.Generic Tribes etc.","363","1.Surendranagar Dudhrej (M)","156161","2.Dhrangadhra (M)","70663","3.Wadhwan (M)","61752","650","649","649","650","2","-","648","-","111","2","170","30","136","443","599","478","172","67.9","23.4","8.7"
"9","Gujarat","District Rajkot (09), Gujarat (24)","3169881","1642018","1527863","25.6","1544019","1625862","244364","7.71","597990","5","930","854","13163","0.42","2033946","1166122","867824","74.16","82.61","65.2","2033946","19339","489497","561231","341580","492263","129543","297863","679812","1942470","249736","1244806","1076436","168370","1925075","1.Mahyavansi etc.","134846","2.Bhambi etc.","73355","3.Bhangi etc.","20445","1.Hindus","2841302","2.Muslims","292676","3.Jains","30629","1.Bhil etc.","7776","2.Patelia","2287","3.Generic Tribes etc.","1100","1.Rajkot (M Corp.)","967476","2.Morvi (M)","145719","3.Jetpur Navagadh (M)","104312","844","844","844","844","99","78","842","-","214","1","542","58","341","723","830","690","483","85.6","13.1","1.3"
"10","Gujarat","District Jamnagar (10), Gujarat (24)","1904278","981320","922958","22.39","1068022","836256","154819","8.13","350105","5","941","898","10459","0.55","1083696","638101","445595","66.48","76.25","56.18","1083696","14273","307824","317584","178293","207926","57566","192652","422410","1139780","149436","734382","624057","110325","1169896","1.Mahyavansi etc.","83370","2.Bhambi etc.","35152","3.Meghval etc.","15716","1.Hindus","1605941","2.Muslims","270223","3.Jains","21907","1.Rabari","3821","2.Bhil etc.","2063","3.Siddi","1305","1.Jamnagar (M Corp.)","443518","2.Navagam Ghed (M)","39500","3.Khambhalia (M)","36479","698","695","694","666","21","7","666","-","134","3","286","32","212","541","626","452","424","87.5","10.6","1.8"
