"","State","District","Persons","Males","Females","Growth (1991 - 2001)","Rural","Urban","Scheduled Caste population","Percentage - SC to total","Number of households","Household size (per household)","Sex ratio (females per 1000 males)","Sex ratio (0-6 years)","Scheduled Tribe population","Percentage to total population (ST)","Persons- literate","Males- Literate","Females- Literate","Persons- literacy rate","Males- Literatacy Rate","Females- Literacy Rate","Total Educated","Data without level","Below Primary","Primary","Middle","Matric/Higher Secondary/Diploma","Graduate and Above","0 - 4 years","5 - 14 years","15 - 59 years","60 years and above (Incl. A.N.S.)","Total workers","Main workers","Marginal workers","Non-workers","SC#1 Name","SC#1 Population","SC#2 Name","SC#2 Population","SC#3 Name","SC#3 Population","Religeon#1 Name","Religeon#1 Population","Religeon#2 Name","Religeon#2 Population","Religeon#3 Name","Religeon#3 Population","ST#1 Name","ST#1 Population","ST#2 Name","ST#2 Population","ST#3 Name","ST#3 Population","Imp Town#1 Name","Imp Town#1 Population","Imp Town#2 Name","Imp Town#2 Population","Imp Town#3 Name","Imp Town#3 Population","Total Inhabited Villages","Drinking water facilities","Safe Drinking water","Electricity (Power Supply)","Electricity (domestic)","Electricity (Agriculture)","Primary school","Middle schools","Secondary/Sr Secondary schools","College","Medical facility","Primary Health Centre","Primary Health Sub-Centre","Post, telegraph and telephone facility","Bus services","Paved approach road","Mud approach road","Permanent House","Semi-permanent House","Temporary House"
"1","HP","District Chamba (01), Himachal Pradesh (02)","460887","235218","225669","17.09","426345","34542","92359","20.04","87029","5","959","954","117569","25.51","246169","152533","93636","62.91","76.41","48.85","246169","4354","72121","75341","34228","51105","8997","48539","114767","263226","34355","230452","128452","102000","230435","1.Hali","32698","2.Sipi","16907","3.Chamar etc.","10416","1.Hindus","428134","2.Muslims","26801","3.Sikhs","2497","1.Gaddi","91789","2.Pangwala","15875","3.Gujjar","8302","1.Chamba (M Cl)","20327","2.Dalhousie (M Cl)","7425","3.Chuari Khas (NP)","3016","1118","1118","1108","1111","962","-","852","290","172","2","300","28","199","483","402","333","571","61.5","37","1.5"
"2","HP","District Kangra (02), Himachal Pradesh (02)","1339030","661254","677776","14.01","1266745","72285","279540","20.88","272487","5","1025","835","1597","0.12","940505","500383","440122","80.08","87.54","73.01","940505","11092","163622","259382","174315","287036","44916","116273","283533","800028","139196","588994","336649","252345","750036","1.Chamar etc.","101358","2.Julaha etc.","34875","3.Lohar","26608","1.Hindus","1301544","2.Muslims","15951","3.Buddhists","10615","1.Bhot etc.","1358","2.Generic Tribes etc.","71","3.Pangwala","55","1.Dharmsala (M Cl)","19124","2.YOI (CB)","10775","3.Kangra (M Cl)","9156","3619","3619","3617","3602","1455","75","1869","725","466","9","786","48","430","2346","2127","1767","2220","37.5","60.4","2.1"
"3","HP","District Lahul & Spiti (03), Himachal Pradesh (02)","33224","18441","14783","6.17","33224","-","2605","7.84","7999","4","802","961","24238","72.95","21609","13726","7883","73.1","82.82","60.7","21609","1333","5282","5439","3288","5098","1164","2547","5764","21990","2923","21088","19209","1879","12136","1.Chanal","1286","2.Lohar","872","3.Hesi","170","1.Buddhists","19535","2.Hindus","13428","3.Muslims","134","1.Bhot etc.","17215","2.Swangla","6778","3.Lahaula","88","No Urban Area",NA,NA,NA,NA,NA,"287","287","266","250","241","-","189","57","42","1","65","9","34","77","167","87","156","21.8","42.7","35"
"4","HP","District Kullu (04), Himachal Pradesh (02)","381571","198016","183555","25.6","351478","30093","107897","28.28","76902","5","927","959","11351","2.97","239649","143655","95994","72.9","83.98","60.88","239649","3747","65666","68910","35947","53725","11636","36725","89355","227149","28342","216513","166715","49798","165058","1.Kori etc.","75911","2.Lohar","15497","3.Chamar etc.","6111","1.Hindus","363646","2.Buddhists","13789","3.Muslims","1788","1.Bhot etc.","5407","2.Swangla","2106","3.Kanaura etc.","1461","1.Kullu","30093","2.Kullu (M Cl)","18306","3.Manali (NP)","6265","172","172","172","172","123","2","171","122","96","-","140","13","98","163","111","82","112","87.9","11","1.1"
"5","HP","District Mandi (05), Himachal Pradesh (02)","901344","447872","453472","16.05","840362","60982","261233","28.98","182378","5","1013","918","10564","1.17","587884","331171","256713","75.24","85.94","64.82","587884","7906","119193","165195","95535","173205","26714","85369","196391","535660","83924","454292","269076","185216","447052","1.Kori etc.","86686","2.Chamar etc.","62556","3.Lohar","49872","1.Hindus","885097","2.Muslims","8309","3.Sikhs","4753","1.Gujjar","9395","2.Gaddi","600","3.Kanaura etc.","182","1.Mandi (M Cl)","26873","2.Sundarnagar (M Cl)","23986","3.Jogindarnagar (NP)","5048","2833","2833","2833","2827","1225","49","1621","498","315","3","533","45","309","1803","1207","748","1363","82.5","16.9","0.6"
"6","HP","District Hamirpur (06), Himachal Pradesh (02)","412700","196593","216107","11.62","382494","30206","98539","23.88","86771","5","1099","850","155","0.04","298498","152537","145961","82.46","90.15","75.7","298498","2529","44767","79284","59251","96848","15783","36232","85853","240029","50586","205405","119870","85535","207295","1.Chamar etc.","48047","2.Julaha etc.","21927","3.Lohar","10402","1.Hindus","408130","2.Muslims","3489","3.Sikhs","547","1.Generic Tribes etc.","109","2.Jad etc.","16","3.Kanaura etc.","12","1.Hamirpur (M Cl)","17252","2.Tira Sujanpur (NP)","7077","3.Nadaun (NP)","4405","1635","1635","1634","1619","370","7","555","224","163","3","289","16","153","1422","891","733","930","41.1","56.8","2.1"
"7","HP","District Una (07), Himachal Pradesh (02)","448273","224524","223749","18.43","408849","39424","100588","22.44","88181","5","997","837","51","0.01","312278","168450","143828","80.37","87.73","73.18","312278","3377","55738","88129","57583","93782","13646","42138","97088","259046","50001","201658","119050","82608","246615","1.Chamar etc.","60180","2.Julaha etc.","13624","3.Lohar","10723","1.Hindus","412491","2.Sikhs","23372","3.Muslims","11632","1.Kanaura etc.","25","2.Generic Tribes etc.","22","3.Lahaula","3","1.Una (M Cl)","15900","2.Mehatpur Basdehra (NP)","8681","3.Santokhgarh (NP)","8308","758","758","756","756","389","26","415","193","145","4","284","12","131","675","489","450","555","67.2","25.5","7.4"
"8","HP","District Bilaspur (08), Himachal Pradesh (02)","340885","171263","169622","15.35","318934","21951","86581","25.4","65750","5","990","881","9180","2.69","231733","127738","103995","77.76","86.04","69.55","231733","3082","38795","67592","42373","68148","11726","30878","71841","201734","36432","166708","110652","56056","174177",NA,"45068",NA,"19935",NA,"8966",NA,"331772",NA,"5938",NA,"2696","1.Gujjar","9108","2.Jad etc.","24","3.Gaddi","18","(M Cl)","13058",NA,"5721","(NP)","2011","965","965","963","962","370","16","544","168","102","1","230","19","135","674","574","513","572","70.5","27.9","1.6"
"9","HP","District Solan (09), Himachal Pradesh (02)","500557","270291","230266","30.64","409362","91195","140642","28.1","99317","5","852","900","3542","0.71","332410","199444","132966","76.57","84.75","66.89","332410","4363","62747","88573","58832","94957","22900","47189","103238","312929","37201","263445","172274","91171","237112",NA,"52147",NA,"35801",NA,"19496",NA,"475595",NA,"11479",NA,"11053","1.Gujjar","2891","2.Kanaura etc.","469","3.Generic Tribes etc.","67","(M Cl)","34206","(NP)","22601",NA,"9443","2388","2386","2332","2383","1535","169","798","227","129","1","310","20","178","1783","1210","783","1344","69.9","25.6","4.6"
"10","HP","District Sirmaur (10), Himachal Pradesh (02)","458593","241299","217294","20.72","410923","47670","135774","29.61","81441","6","901","934","5960","1.3","274643","163415","111228","70.39","79.36","60.37","274643","5362","78462","82376","41188","54470","12755","48301","110941","264905","34446","225872","175913","49959","232721",NA,"82249",NA,"17049",NA,"10247",NA,"418214",NA,"25618",NA,"12105","1.Gujjar","5837","2.Kanaura etc.","54","3.Gaddi","21",NA,"26053","(M Cl)","19090",NA,"2527","966","966","952","964","576","27","694","227","121","1","254","23","140","652","523","317","511","77.6","17.1","5.3"
