"","State","District","Persons","Males","Females","Growth (1991 - 2001)","Rural","Urban","Scheduled Caste population","Percentage - SC to total","Number of households","Household size (per household)","Sex ratio (females per 1000 males)","Sex ratio (0-6 years)","Scheduled Tribe population","Percentage to total population (ST)","Persons- literate","Males- Literate","Females- Literate","Persons- literacy rate","Males- Literatacy Rate","Females- Literacy Rate","Total Educated","Data without level","Below Primary","Primary","Middle","Matric/Higher Secondary/Diploma","Graduate and Above","0 - 4 years","5 - 14 years","15 - 59 years","60 years and above (Incl. A.N.S.)","Total workers","Main workers","Marginal workers","Non-workers","SC#1 Name","SC#1 Population","SC#2 Name","SC#2 Population","SC#3 Name","SC#3 Population","Religeon#1 Name","Religeon#1 Population","Religeon#2 Name","Religeon#2 Population","Religeon#3 Name","Religeon#3 Population","ST#1 Name","ST#1 Population","ST#2 Name","ST#2 Population","ST#3 Name","ST#3 Population","Imp Town#1 Name","Imp Town#1 Population","Imp Town#2 Name","Imp Town#2 Population","Imp Town#3 Name","Imp Town#3 Population","Total Inhabited Villages","Drinking water facilities","Safe Drinking water","Electricity (Power Supply)","Electricity (domestic)","Electricity (Agriculture)","Primary school","Middle schools","Secondary/Sr Secondary schools","College","Medical facility","Primary Health Centre","Primary Health Sub-Centre","Post, telegraph and telephone facility","Bus services","Paved approach road","Mud approach road","Permanent House","Semi-permanent House","Temporary House"
"1","Haryana","District Panchkula * (01), Haryana (06)","468411","256939","211472","51.16","260016","208395","72637","15.51","92593","5","823","828","-","-","297795","178592","119203","74","80.87","65.65","297795","3801","50241","64345","41250","89592","48484","45405","101024","287808","34174","178644","150353","28291","289767","1.Chamar etc.","34742","2.Balmiki etc.","17167","3.Kabirpanthi etc.","7519","1.Hindus","410120","2.Sikhs","36194","3.Muslims","18297","No Scheduled Tribes in this area",NA,NA,NA,NA,NA,"1.Panchkula Urban Estate (EO)","140925","2.Kalka (MC)","30830","3.Pinjore (MC)","25410","224","222","222","224","152","64","193","93","84","2","86","2","37","136","136","205","50","76","17.2","6.8"
"2","Haryana","District Ambala (02), Haryana (06)","1014411","542977","471434","25.69","657383","357028","254477","25.09","184319","6","868","781","-","-","662789","384828","277961","75.31","82.31","67.39","662789","5297","113292","177353","115883","192036","58843","91763","226242","608815","87591","324521","275648","48873","689890","1.Chamar etc.","161057","2.Balmiki etc.","50960","3.Bazigar","10052","1.Hindus","856193","2.Sikhs","132463","3.Muslims","17263","No Scheduled Tribes in this area",NA,NA,NA,NA,NA,"1.Ambala (M Cl )","139279","2.Ambala Sadar (M Cl )","106568","3.Ambala Cantt. (CB)","61748","482","482","482","479","26","26","432","188","216","4","204","17","73","408","370","478","79","73.9","19.6","6.5"
"3","Haryana","District Yamunanagar (03), Haryana (06)","1041630","559444","482186","21.84","648608","393022","255550","24.53","183238","6","862","805","-","-","638711","375462","263249","71.63","78.82","63.39","638711","8954","126259","182389","113863","165121","42063","102685","245320","608700","84925","336533","280728","55805","705097","1.Chamar etc.","198947","2.Balmiki etc.","37462","3.Generic Castes etc.","4472","1.Hindus","849255","2.Muslims","104073","3.Sikhs","83524","No Scheduled Tribes in this area",NA,NA,NA,NA,NA,"1.Yamunanagar (M Cl )","189696","2.Jagadhri (M Cl )","101290","3.Sasauli (CT)","15754","613","613","613","607","97","59","483","161","157","-","248","16","119","437","246","596","544","65.8","22.7","11.5"
"4","Haryana","District Kurukshetra (04), Haryana (06)","825454","442328","383126","23.72","609943","215511","169394","20.52","142950","6","866","771","-","-","494873","293615","201258","69.88","78.06","60.61","494873","5270","108187","143229","82975","122395","32775","80359","194974","483884","66237","308392","250596","57796","517062","1.Chamar etc.","68433","2.Balmiki etc.","51939","3.Bazigar","18195","1.Hindus","675381","2.Sikhs","135545","3.Muslims","12028","No Scheduled Tribes in this area",NA,NA,NA,NA,NA,"1.Thanesar (M Cl )","119687","2.Shahbad (MC)","37289","3.Pehowa (MC)","33564","407","402","402","406","135","143","385","139","109","-","179","18","103","365","262","407","89","67.4","27.8","4.8"
"5","Haryana","District Kaithal (05), Haryana (06)","946131","510513","435618","20.95","762649","183482","203875","21.55","164258","6","853","790","-","-","472563","296857","175706","59.02","69.15","47.31","472563","6201","126436","143353","76312","100857","19385","98741","239059","529982","78349","372011","268127","103884","574120","1.Chamar etc.","92454","2.Balmiki etc.","68083","3.Bazigar","16769","1.Hindus","848765","2.Sikhs","88700","3.Muslims","6777","No Scheduled Tribes in this area",NA,NA,NA,NA,NA,"1.Kaithal (M Cl )","117285","2.Cheeka (MC)","32128","3.Kalayat (MC)","17051","270","270","270","270","38","37","261","147","185","2","160","19","118","228","228","270","189","38.4","58.5","3.1"
"6","Haryana","District Karnal (06), Haryana (06)","1274183","683368","590815","23.13","936341","337842","267424","20.99","224230","6","865","808","-","-","732609","440070","292539","67.74","76.29","57.97","732609","8113","166169","208280","123098","180013","46851","130815","317912","729685","95771","455455","355466","99989","818728","1.Chamar etc.","110742","2.Balmiki etc.","83545","3.Generic Castes etc.","8441","1.Hindus","1125279","2.Sikhs","123160","3.Muslims","22614","No Scheduled Tribes in this area",NA,NA,NA,NA,NA,"1.Karnal (M Cl )","207640","2.Gharaunda (MC)","30172","3.Assandh (MC)","22707","422","422","422","422","46","45","385","188","170","1","186","23","122","314","305","414","205","55.3","40","4.7"
"7","Haryana","District Panipat (07), Haryana (06)","967449","528860","438589","38.57","575369","392080","152803","15.79","174388","6","829","808","-","-","559478","346329","213149","69.17","78.5","57.97","559478","6963","122396","147276","96105","151277","35403","107680","248244","546535","64990","382801","289013","93788","584648","1.Chamar etc.","63662","2.Balmiki etc.","39509","3.Dhanak","12912","1.Hindus","873593","2.Muslims","59696","3.Sikhs","27437","No Scheduled Tribes in this area",NA,NA,NA,NA,NA,"1.Panipat (M Cl )","261740","2.Panipat Taraf Makhdum Zadgan (3C5T,)155",NA,"3.Panipat Taraf Ansar(CT)","31279","179","179","179","179","89","95","168","110","104","2","116","14","85","155","144","171","79","60.8","35.8","3.4"
"8","Haryana","District Sonipat (08), Haryana (06)","1279175","695723","583452","22.36","957800","321375","231347","18.09","223342","6","839","788","-","-","788105","486601","301504","72.79","83.06","60.68","788105","9201","161024","193323","133517","247039","43912","134152","319274","719781","105968","523031","383449","139582","756144","1.Chamar etc.","108075","2.Dhanak","58888","3.Balmiki etc.","48623","1.Hindus","1234225","2.Muslims","31954","3.Jains","6729","No Scheduled Tribes in this area",NA,NA,NA,NA,NA,"1.Sonipat (M Cl)","214974","2.Gohana (MC)","48532","3.Ganaur (MC)","29006","323","323","323","323","50","50","316","232","255","2","248","22","157","291","286","320","185","57.3","41","1.6"
"9","Haryana","District Jind (09), Haryana (06)","1189827","642282","547545","21.35","948250","241577","235765","19.82","204942","6","852","818","-","-","622654","397972","224682","62.12","73.82","48.51","622654","9882","161970","181858","98902","145996","23995","126722","305862","659697","97546","521946","372049","149897","667881","1.Chamar etc.","118677","2.Balmiki etc.","72030","3.Dhanak","33493","1.Hindus","1134539","2.Sikhs","29159","3.Muslims","20618","No Scheduled Tribes in this area",NA,NA,NA,NA,NA,"1.Jind (M Cl )","135855","2.Narwana (MC)","50435","3.Safidon (MC)","27541","306","306","306","306","123","123","300","210","200","-","247","28","121","280","265","306","75","22.6","76.1","1.3"
"10","Haryana","District Fatehabad * (10), Haryana (06)","806158","427862","378296","24.76","664001","142157","221107","27.43","142017","6","884","828","-","-","392178","243492","148686","57.98","68.22","46.53","392178","9522","110228","120062","59284","78653","14390","87207","208122","446652","64177","362975","261623","101352","443183","1.Chamar etc.","83816","2.Od","30377","3.Balmiki etc.","26195","1.Hindus","660331","2.Sikhs","136660","3.Muslims","6554","No Scheduled Tribes in this area",NA,NA,NA,NA,NA,"1.Fatehabad (MC)","59917","2.Tohana (MC)","51519","3.Ratia (MC)","23826","243","243","243","241","34","30","237","152","128","1","143","16","84","203","220","242","143","56.4","29.1","14.4"
