"","State","District","Persons","Males","Females","Growth (1991 - 2001)","Rural","Urban","Scheduled Caste population","Percentage - SC to total","Number of households","Household size (per household)","Sex ratio (females per 1000 males)","Sex ratio (0-6 years)","Scheduled Tribe population","Percentage to total population (ST)","Persons- literate","Males- Literate","Females- Literate","Persons- literacy rate","Males- Literatacy Rate","Females- Literacy Rate","Total Educated","Data without level","Below Primary","Primary","Middle","Matric/Higher Secondary/Diploma","Graduate and Above","0 - 4 years","5 - 14 years","15 - 59 years","60 years and above (Incl. A.N.S.)","Total workers","Main workers","Marginal workers","Non-workers","SC#1 Name","SC#1 Population","SC#2 Name","SC#2 Population","SC#3 Name","SC#3 Population","Religeon#1 Name","Religeon#1 Population","Religeon#2 Name","Religeon#2 Population","Religeon#3 Name","Religeon#3 Population","ST#1 Name","ST#1 Population","ST#2 Name","ST#2 Population","ST#3 Name","ST#3 Population","Imp Town#1 Name","Imp Town#1 Population","Imp Town#2 Name","Imp Town#2 Population","Imp Town#3 Name","Imp Town#3 Population","Total Inhabited Villages","Drinking water facilities","Safe Drinking water","Electricity (Power Supply)","Electricity (domestic)","Electricity (Agriculture)","Primary school","Middle schools","Secondary/Sr Secondary schools","College","Medical facility","Primary Health Centre","Primary Health Sub-Centre","Post, telegraph and telephone facility","Bus services","Paved approach road","Mud approach road","Permanent House","Semi-permanent House","Temporary House"
"1","Jharkhand","District Garhwa * (01), Jharkhand (20)","1035464","535332","500132","29.05","992825","42639","247280","23.88","174264","6","934","962","158959","15.35","317078","228151","88927","39.21","54.36","22.87","317078","13092","100712","92857","48324","51170","10916","150755","309986","505880","68843","402921","231057","171864","632543","1.Chamar etc.","88954","2.Bhuiya","66548","3.Dusadh etc.","47932","1.Hindus","867775","2.Muslims","149102","3.Christians","12353","1.Kharwar","72632","2.Oraon","41726","3.Korwa","19234","1.Garhwa (M)","36686","2.Sinduria (CT)","5953",NA,NA,"858","858","849","190","139","58","566","155","42","2","116","18","54","126","99","180","800","8.9","90.4","0.7"
"2","Jharkhand","District Palamu (02), Jharkhand (20)","2098359","1084417","1013942","26.8","1973266","125093","539701","25.72","352829","6","935","967","392325","18.7","750293","510338","239955","44.95","58.91","29.88","750293","33789","206209","216865","107506","150002","35898","280238","618580","1061090","138451","793658","444921","348737","1304701","1.Bhuiya","196812","2.Chamar etc.","145850","3.Dusadh etc.","90241","1.Hindus","1740948","2.Muslims","242980","3.Others","63100","1.Oraon","161452","2.Kharwar","91124","3.Chero","68966","1.Daltonganj (M)","71422","2.Hussainabad (NA)","23441","3.Latehar (NA)","19082","2465","2465","2461","410","313","122","1474","335","-","8","349","45","98","324","305","581","2271","13.5","84.9","1.6"
"3","Jharkhand","District Chatra * (03), Jharkhand (20)","791434","404067","387367","29.05","749414","42020","252809","31.94","129348","6","959","975","30384","3.84","270256","177950","92306","43.24","55.64","30.24","270256","11234","94507","81157","35306","39319","8712","109657","239539","394155","48083","299108","188843","110265","492326","1.Bhuiya","131535","2.Bhogta","57551","3.Chamar etc.","30699","1.Hindus","687846","2.Muslims","92434","3.Others","4999","1.Oraon","19295","2.Munda","5073","3.Birhor","1793","1.Chatra (M)","42020",NA,NA,NA,NA,"1343","1343","1343","131","103","7","558","104","4","1","30","8","12","75","51","172","1198","16","82.6","1.4"
"4","Jharkhand","District Hazaribagh (04), Jharkhand (20)","2277475","1167793","1109682","24.02","1748406","529069","342059","15.02","391606","6","950","965","268333","11.78","1069890","683590","386300","57.74","71.81","42.87","1069890","19873","321029","282228","166762","214238","65684","281893","655942","1211787","127853","790049","532895","257154","1487426","1.Bhuiya","108104","2.Chamar etc.","92598","3.Dusadh etc.","35603","1.Hindus","1870586","2.Muslims","337117","3.Others","36789","1.Santhal","78111","2.Munda","58650","3.Bedia","47461","1.Hazaribag (M)","127269","2.Saunda (CT)","85075","3.Ramgarh Cantonment (CB)","73434","1543","1543","1541","413","319","16","962","225","88","14","147","37","79","261","124","436","1306","46","53.5","0.4"
"5","Jharkhand","District Kodarma * (05), Jharkhand (20)","499403","249549","249854","26.32","412654","86749","71695","14.36","78835","6","1001","974","4067","0.81","207495","140424","67071","52.2","70.94","33.61","207495","6584","70944","59545","25390","34863","10167","68435","143324","254310","33334","175010","109394","65616","324393","1.Chamar etc.","29251","2.Dusadh etc.","11368","3.Dhobi","7883","1.Hindus","421358","2.Muslims","74856","3.Sikhs","1025","1.Santhal","2271","2.Birhor","845","3.Oraon","293","1.Jhumri Tilaiya (M)","69503","2.Kodarma (NA)","17246",NA,NA,"526","526","526","200","169","9","269","46","19","3","72","13","32","52","47","116","462","34","65.3","0.7"
"6","Jharkhand","District Giridih (06), Jharkhand (20)","1904430","960679","943751","27.09","1782066","122364","248399","13.04","301872","6","982","977","184469","9.69","667385","469399","197986","44.5","62.09","26.62","667385","25575","231361","196026","90613","98939","24811","267261","558434","963754","114981","644644","340925","303719","1259786","1.Chamar etc.","123500","2.Turi","44063","3.Dusadh etc.","31313","1.Hindus","1475201","2.Muslims","383253","3.Others","30778","1.Santhal","167448","2.Generic Tribes etc.","5117","3.Ho","3383","1.Giridih (M)","98989","2.Isri (CT)","8804","3.Dhanwar (CT)","7926","2532","2532","2529","481","388","41","1232","221","70","9","229","29","99","220","125","474","2246","28.9","70.6","0.6"
"7","Jharkhand","District Deoghar (07), Jharkhand (20)","1165390","608878","556512","24.46","1005539","159851","146863","12.6","190037","6","914","972","142717","12.25","469652","327557","142095","50.09","66.38","31.99","469652","11055","151615","132877","67813","80065","26206","151695","326959","613372","73364","432714","283711","149003","732676","1.Chamar etc.","68806","2.Dom etc.","18820","3.Musahar","12017","1.Hindus","910409","2.Muslims","221705","3.Others","27263","1.Santhal","116227","2.Mal Pahariya","8251","3.Ho","6788","1.Deoghar (M)","98388","2.Madhupur (M)","47326","3.Jasidih (NA)","14137","2356","2356","2355","289","248","9","768","156","49","7","94","18","49","149","146","304","2138","32.3","48.7","19"
"8","Jharkhand","District Godda (08), Jharkhand (20)","1047939","544043","503896","21.61","1010931","37008","89678","8.56","192649","5","926","977","247538","23.62","363825","253504","110321","43.13","57.52","27.39","363825","16954","101438","101841","53607","72291","17374","132227","290930","556822","67960","421941","238694","183247","625998","1.Chamar etc.","36524","2.Dusadh etc.","12955","3.Dom etc.","9557","1.Hindus","745237","2.Muslims","210734","3.Others","68055","1.Santhal","196774","2.Mal Pahariya","18652","3.Oraon","6793","1.Godda (M)","37008",NA,NA,NA,NA,"1633","1633","1576","257","221","40","892","179","53","6","141","24","67","147","104","341","1261","23.2","27.4","49.5"
"9","Jharkhand","District Sahibganj (09), Jharkhand (20)","927770","477662","450108","25.89","829639","98131","59750","6.44","173104","5","942","972","270423","29.15","275829","181716","94113","37.61","47.93","26.56","275829","8481","92769","72112","42219","46385","13814","129704","266752","485415","45899","388045","278407","109638","539725","1.Chamar etc.","12030","2.Dusadh etc.","9960","3.Rajwas","6731","1.Hindus","522620","2.Muslims","290060","3.Christians","58723","1.Santhal","205209","2.Mal Pahariya","20020","3.Sauria Paharia","16298","1.Sahibganj (M)","80154","2.Rajmahal (NA)","17977",NA,NA,"1307","1307","1207","119","114","1","599","113","13","3","69","16","38","94","52","300","914","18.8","56","25.2"
"10","Jharkhand","District Pakaur * (10), Jharkhand (20)","701664","358545","343119","24.34","665635","36029","22919","3.27","132987","5","957","964","312838","44.59","170931","114765","56166","30.65","40.23","20.61","170931","8025","59171","48036","24863","24190","6634","95152","201183","372830","32499","309575","209435","100140","392089","1.Chamar etc.","6881","2.Bhuiya","4403","3.Dom etc.","3185","1.Hindus","320632","2.Muslims","227069","3.Others","110628","1.Santhal","266066","2.Mal Pahariya","29083","3.Sauria Paharia","8252","1.Pakaur (M)","36029",NA,NA,NA,NA,"1128","1128","1077","70","63","-","596","82","12","1","94","13","47","82","94","198","801","12.4","58.1","29.5"
"11","Jharkhand","District Dumka (11), Jharkhand (20)","1759602","897364","862238","17.31","1644690","114912","129318","7.35","331318","5","961","976","701903","39.89","690834","462781","228053","47.94","62.86","32.35","690834","21877","230245","209924","105943","99816","22993","208261","473559","972781","105001","778378","470354","308024","981224","1.Chamar etc.","33556","2.Baurri","30905","3.Dom etc.","29723","1.Hindus","1323468","2.Muslims","203741","3.Others","170201","1.Santhal","629338","2.Mal Pahariya","35113","3.Mahli","17079","1.Dumka (M)","44989","2.Mihijam (NA)","33236","3.Jamtara (NA)","22558","3737","3737","3718","213","188","12","1732","320","68","15","312","53","132","302","282","693","3403","18.3","46.2","35.5"
"12","Jharkhand","District Dhanbad (12), Jharkhand (20)","2397102","1278946","1118156","22.82","1141744","1255358","382969","15.98","427939","6","874","951","202729","8.46","1348584","860583","488001","67","79.54","52.43","1348584","27670","316204","325848","246471","329778","102522","253402","649208","1381462","113030","664058","492501","171557","1733044","1.Baurri","75949","2.Chamar etc.","73145","3.Bhuiya","57897","1.Hindus","1944757","2.Muslims","364807","3.Others","61505","1.Santhal","166591","2.Mahli","8863","3.Munda","6563","1.Dhanbad (M)","199258","2.Bhuli (CT)","89534","3.Jorapokhar (CT)","85100","1121","1121","1121","503","426","10","708","183","61","14","154","19","59","178","77","482","993","63.4","33.2","3.4"
"13","Jharkhand","District Bokaro * (13), Jharkhand (20)","1777662","938436","839226","22.11","973005","804657","236472","13.3","317378","6","894","949","218600","12.3","923150","600048","323102","62.1","76.04","46.33","923150","19929","198945","214614","159357","247536","82686","189029","471903","1030028","86702","509310","336131","173179","1268352","1.Chamar etc.","54843","2.Rajwas","41507","3.Baurri","35704","1.Hindus","1491855","2.Muslims","194735","3.Others","69202","1.Santhal","153612","2.Munda","16631","3.Karmali","11632","1.Bokaro Steel City (CT)","393805","2.Chas (M)","97221","3.Phusro (NA)","83474","621","621","614","121","107","4","482","114","52","8","146","16","54","147","61","158","585","57.6","35.1","7.3"
"14","Jharkhand","District Ranchi (14), Jharkhand (20)","2785064","1436976","1348088","25.72","1807243","977821","144116","5.17","505508","6","938","961","1164624","41.82","1500541","920164","580377","64.57","76.56","51.72","1500541","39249","339729","354556","249307","357487","160004","302609","735877","1569003","177575","1076904","750962","325942","1708160","1.Ghasi","34460","2.Bhogta","20177","3.Dhobi","18326","1.Hindus","1399301","2.Others","767672","3.Muslims","348774","1.Munda","531282","2.Oraon","458475","3.Lohra","69758","1.Ranchi (M Corp.)","847093","2.Khunti (NA)","29282","3.Churi (CT)","25222","2052","2052","2033","331","328","2","1343","362","1","11","377","43","177","354","209","504","1860","32.6","65.9","1.5"
"15","Jharkhand","District Lohardaga (15), Jharkhand (20)","364521","184507","180014","26.14","318325","46196","12811","3.51","65915","6","976","944","203053","55.7","156710","99218","57492","53.58","67.28","39.64","156710","3738","46441","42447","28107","27698","8227","47741","109562","184214","23004","153373","100918","52455","211148","1.Chamar etc.","4764","2.Turi","1865","3.Dhobi","1846","1.Others","172064","2.Hindus","104089","3.Muslims","73316","1.Oraon","164379","2.Lohra","9728","3.Munda","7615","1.Lohardaga (M)","46196",NA,NA,NA,NA,"352","352","351","45","42","7","254","68","6","1","69","11","50","71","7","99","319","10.9","88.8","0.2"
"16","Jharkhand","District Gumla (16), Jharkhand (20)","1346767","675769","670998","16.6","1273025","73742","66757","4.96","253469","5","993","976","920597","68.36","568234","349223","219011","51.74","63.5","39.95","568234","12717","152438","159144","109189","108270","26466","161962","371009","715287","98509","658921","446953","211968","687846","1.Ghasi","18460","2.Bhogta","15842","3.Bhuiya","10302","1.Hindus","440373","2.Christians","425107","3.Others","419004","1.Oraon","428592","2.Munda","191788","3.Kharia","147914","1.Gumla (M)","39761","2.Simdega (NA)","33981",NA,NA,"1393","1393","1390","92","74","6","1015","290","129","13","365","39","226","286","213","287","1263","9.2","90.4","0.4"
"17","Jharkhand","District Pashchimi Singhbhum (17), Jharkhand (20)","2082795","1054641","1028154","16.35","1731897","350898","101629","4.88","405251","5","975","968","1111322","53.36","857301","567204","290097","50.17","65.6","34.37","857301","18091","206253","233474","156525","193556","49399","249509","562101","1149941","121244","917757","535154","382603","1165038","1.Bhuiya","37286","2.Ghasi","18264","3.Pan etc.","15106","1.Others","1043701","2.Hindus","890741","3.Muslims","72044","1.Ho","671093","2.Munda","155168","3.Santhal","126048","1.Adityapur (NA)","119233","2.Chaibasa (M)","63648","3.Chakradharpur (M)","38403","2777","2777","2732","249","244","7","1914","485","25","15","449","57","110","205","239","625","2582","20.4","68","11.6"
"18","Jharkhand","District Purbi Singhbhum (18), Jharkhand (20)","1982988","1027433","955555","22.66","891784","1091204","94095","4.75","374772","5","930","941","552187","27.85","1169213","700242","468971","68.79","79.44","57.32","1169213","19167","227792","263554","189301","333179","136165","190115","454201","1203034","135638","692664","455527","237137","1290324","1.Dhobi","19160","2.Ghasi","17142","3.Bhuiya","14102","1.Hindus","1318485","2.Others","408860","3.Muslims","184829","1.Santhal","293013","2.Bhumij","102071","3.Ho","50547","1.Jamshedpur (NA)","573096","2.Mango (NA)","166125","3.Bagbera (CT)","67121","1610","1610","1605","455","445","15","906","194","22","3","118","8","59","137","160","266","1480","48.2","28.1","23.7"
