"","State","District","Persons","Males","Females","Growth (1991 - 2001)","Rural","Urban","Scheduled Caste population","Percentage - SC to total","Number of households","Household size (per household)","Sex ratio (females per 1000 males)","Sex ratio (0-6 years)","Scheduled Tribe population","Percentage to total population (ST)","Persons- literate","Males- Literate","Females- Literate","Persons- literacy rate","Males- Literatacy Rate","Females- Literacy Rate","Total Educated","Data without level","Below Primary","Primary","Middle","Matric/Higher Secondary/Diploma","Graduate and Above","0 - 4 years","5 - 14 years","15 - 59 years","60 years and above (Incl. A.N.S.)","Total workers","Main workers","Marginal workers","Non-workers","SC#1 Name","SC#1 Population","SC#2 Name","SC#2 Population","SC#3 Name","SC#3 Population","Religeon#1 Name","Religeon#1 Population","Religeon#2 Name","Religeon#2 Population","Religeon#3 Name","Religeon#3 Population","ST#1 Name","ST#1 Population","ST#2 Name","ST#2 Population","ST#3 Name","ST#3 Population","Imp Town#1 Name","Imp Town#1 Population","Imp Town#2 Name","Imp Town#2 Population","Imp Town#3 Name","Imp Town#3 Population","Total Inhabited Villages","Drinking water facilities","Safe Drinking water","Electricity (Power Supply)","Electricity (domestic)","Electricity (Agriculture)","Primary school","Middle schools","Secondary/Sr Secondary schools","College","Medical facility","Primary Health Centre","Primary Health Sub-Centre","Post, telegraph and telephone facility","Bus services","Paved approach road","Mud approach road","Permanent House","Semi-permanent House","Temporary House"
"1","Karnataka","District Belgaum (01), Karnataka (29)","4214505","2150090","2064415","17.4","3201814","1012691","462020","10.96","789164","5","960","921","243451","5.78","2305279","1381748","923531","64.21","75.7","52.32","2305279","32577","675665","681713","233698","555114","126507","433021","986374","2455680","339430","1877774","1537645","340129","2336731",NA,"121557",NA,"117672",NA,"40196",NA,"3565153",NA,"440836",NA,"169466","1.Naikda etc.","237340","2.Koli Dhor etc.","2596","3.Meda","1885",NA,"399653",NA,"67170","(CMC)","58081","1255","1254","1254","1247","-","-","1240","979","404","16","740","121","451","1040","1136","1126","662","53.6","39.4","6.9"
"2","Karnataka","District Bagalkot * (02), Karnataka (29)","1651892","834247","817645","18.84","1173372","478520","250604","15.17","293645","6","980","939","80181","4.85","794785","494544","300241","57.3","70.88","43.56","794785","16621","254452","230572","73843","175891","43406","183689","410814","936098","121291","719659","561559","158100","932233","1.Bhambi etc.","90496","2.Banjara etc.","39329","3.Holaya etc.","33472","1.Hindus","1424121","2.Muslims","184013","3.Jains","23882","1.Naikda etc.","75158","2.Koli Dhor etc.","2609","3.Pardhi etc.","1400","1.Bagalkot (CMC)","90988","2.Rabkavi-Banhatti (CMC)","70248","3.Jamkhandi (TMC)","57883","623","618","617","617","-","-","560","476","155","9","429","41","191","491","587","461","548","25.1","66.9","7.9"
"3","Karnataka","District Bijapur (03), Karnataka (29)","1806918","926424","880494","17.63","1410829","396089","334254","18.5","317379","6","950","928","30051","1.66","866561","543869","322692","57.01","69.94","43.47","866561","18729","276393","240833","81050","193305","56251","196532","468652","995702","146032","718213","551972","166241","1088705","1.Banjara etc.","117466","2.Holaya etc.","82614","3.Bhambi etc.","62248","1.Hindus","1495080","2.Muslims","294491","3.Jains","8356","1.Naikda etc.","20173","2.Koli Dhor etc.","6951","3.Kadu Kuruba","1787","1.Bijapur (CMC)","228175","2.Indi (TMC)","31482","3.Basavana Bagevadi (TP)","28560","660","659","658","657","-","-","626","558","244","11","392","51","271","561","572","357","497","26.9","63.8","9.2"
"4","Karnataka","District Gulbarga (04), Karnataka (29)","3130922","1592789","1538133","21.02","2278301","852621","717595","22.92","536056","6","966","937","154195","4.92","1297445","812860","484585","50.01","61.77","37.9","1297445","42131","397499","345382","123657","310638","78138","358729","882140","1667646","222407","1350072","1010430","339642","1780850","1.Holaya etc.","238545","2.Banjara etc.","207157","3.Madiga","147990","1.Hindus","2381497","2.Muslims","551171","3.Buddhists","153619","1.Naikda etc.","121270","2.Gond etc.","12250","3.Koli Dhor etc.","8808","1.Gulbarga (M Corp.)","422569","2.Yadgir (TMC)","58811","3.Shahabad (TMC)","50562","1360","1327","1323","1342","-","-","1337","808","249","3","708","109","376","910","975","875","1006","59.5","35.4","5.1"
"5","Karnataka","District Bidar (05), Karnataka (29)","1502373","771022","731351","19.56","1157498","344875","298812","19.89","252250","6","949","941","182219","12.13","768358","468571","299787","60.94","72.46","48.81","768358","27404","197821","223243","76573","196756","46559","160329","414390","807175","120479","557603","424985","132618","944770","1.Holaya etc.","110827","2.Madiga","65186","3.Banjara etc.","47022","1.Hindus","1020174","2.Muslims","295762","3.Buddhists","122083","1.Gond etc.","111858","2.Koli Dhor etc.","58970","3.Naikda etc.","7333","1.Bidar (CMC)","172877","2.Basavakalyan (TMC)","58785","3.Homnabad (TMC)","36517","599","596","596","596","-","-","591","411","157","5","293","41","206","474","487","465","462","75.2","22.5","2.3"
"6","Karnataka","District Raichur (06), Karnataka (29)","1669762","841840","827922","21.93","1248925","420837","317276","19","297775","6","983","964","303042","18.15","676799","429277","247522","48.81","61.52","35.93","676799","28540","245076","177843","58192","134598","32550","188170","469845","912629","99118","732762","544347","188415","937000","1.Madiga","134329","2.Banjara etc.","43167","3.Chalavadi etc.","38265","1.Hindus","1417051","2.Muslims","228652","3.Christians","12390","1.Naikda etc.","300690","2.Meda","885","3.Generic Tribes etc.","302","1.Raichur (CMC)","207421","2.Sindhnur (TMC)","61262","3.Manvi (TMC)","37613","830","806","783","796","-","-","306","254","77","1","338","47","187","520","622","436","569","24","44.3","31.6"
"7","Karnataka","District Koppal","1196089","603312","592777","24.57","997797","198292","185209","15.48","210888","6","983","953","138588","11.59","534547","339944","194603","54.1","68.42","39.61","534547","17930","216383","140403","45683","93327","20820","139225","333037","647438","76389","554506","422208","132298","641583","1.Madiga","61145","2.Banjara etc.","31143","3.Bhambi etc.","29649","1.Hindus","1042294","2.Muslims","137174","3.Religion not stated","5395","1.Naikda etc.","137647","2.Generic Tribes etc.","289","3.Meda","245","1.Gangawati (CMC)","93240","2.Koppal (TMC)","56160","3.Kushtagi (TP)","21183","594","590","585","594","-","-","560","391","94","3","281","44","145","406","467","439","477","25.9","40.2","33.8"
"8","Karnataka","District Gadag * (08), Karnataka (29)","971835","493533","478302","13.14","629652","342183","137414","14.14","181500","5","969","951","54410","5.6","551362","335442","215920","66.11","79.32","52.52","551362","9308","180661","155973","53681","122380","29358","94480","229712","572697","74946","457817","388763","69054","514018","1.Bhambi etc.","46154","2.Banjara etc.","38184","3.Bhovi","18974","1.Hindus","825166","2.Muslims","126232","3.Others","7743","1.Naikda etc.","53303","2.Meda","313","3.Pardhi etc.","311","1.Gadag-Betigeri (CMC)","154982","2.Lakshmeshwar (TMC)","33417","3.Nargund (TMC)","32561","329","327","327","322","-","-","297","256","105","3","202","29","131","277","300","224","212","32.9","39","28.1"
"9","Karnataka","District Dharwad (09), Karnataka (29)","1604253","823204","781049","16.65","722336","881917","131969","8.23","297494","5","949","942","70442","4.39","992550","574522","418028","71.61","80.82","61.92","992550","13779","265574","270372","93207","262645","86968","151136","355070","979593","118454","684492","587018","97474","919761","1.Bhambi etc.","44508","2.Chalavadi etc.","21994","3.Bhovi","17648","1.Hindus","1221335","2.Muslims","315177","3.Christians","27634","1.Naikda etc.","64102","2.Meda","1942","3.Pardhi etc.","1795","1.Hubli-Dharwad (M Corp.)","786195","2.Annigeri (TMC)","25710","3.Navalgund (TP)","22202","361","358","358","359","-","-","313","271","93","2","201","24","121","302","349","187","224","46.9","35.5","17.6"
"10","Karnataka","District Uttara Kannada (10), Karnataka (29)","1353644","686876","666768","10.9","965731","387913","101896","7.53","273422","5","971","946","23781","1.76","904024","505270","398754","76.6","84.53","68.47","904024","10304","307104","246858","101631","185288","52839","121345","279343","844784","108172","581278","455302","125976","772366","1.Moger","16489","2.Bhovi","14482","3.Chalavadi etc.","11767","1.Hindus","1132005","2.Muslims","161574","3.Christians","44907","1.Naikda etc.","9424","2.Gond etc.","8437","3.Kokna etc.","3006","1.Karwar (CMC)","62973","2.Sirsi (CMC)","58702","3.Dandeli (CMC)","53290","1246","1243","1223","1148","-","-","964","558","180","4","359","50","108","902","773","714","975","48.6","42.9","8.5"
