"","State","District","Persons","Males","Females","Growth (1991 - 2001)","Rural","Urban","Scheduled Caste population","Percentage - SC to total","Number of households","Household size (per household)","Sex ratio (females per 1000 males)","Sex ratio (0-6 years)","Scheduled Tribe population","Percentage to total population (ST)","Persons- literate","Males- Literate","Females- Literate","Persons- literacy rate","Males- Literatacy Rate","Females- Literacy Rate","Total Educated","Data without level","Below Primary","Primary","Middle","Matric/Higher Secondary/Diploma","Graduate and Above","0 - 4 years","5 - 14 years","15 - 59 years","60 years and above (Incl. A.N.S.)","Total workers","Main workers","Marginal workers","Non-workers","SC#1 Name","SC#1 Population","SC#2 Name","SC#2 Population","SC#3 Name","SC#3 Population","Religeon#1 Name","Religeon#1 Population","Religeon#2 Name","Religeon#2 Population","Religeon#3 Name","Religeon#3 Population","ST#1 Name","ST#1 Population","ST#2 Name","ST#2 Population","ST#3 Name","ST#3 Population","Imp Town#1 Name","Imp Town#1 Population","Imp Town#2 Name","Imp Town#2 Population","Imp Town#3 Name","Imp Town#3 Population","Total Inhabited Villages","Drinking water facilities","Safe Drinking water","Electricity (Power Supply)","Electricity (domestic)","Electricity (Agriculture)","Primary school","Middle schools","Secondary/Sr Secondary schools","College","Medical facility","Primary Health Centre","Primary Health Sub-Centre","Post, telegraph and telephone facility","Bus services","Paved approach road","Mud approach road","Permanent House","Semi-permanent House","Temporary House"
"1","Kerala","District Kasaragod (01), Kerala (32)","1204078","588083","615995","12.3","970378","233700","90218","7.49","225252","5","1047","959","30338","2.52","883860","458085","425775","84.57","90.36","79.12","883860","15737","205087","256203","186515","189868","30391","115459","240307","748476","99836","417845","327762","90083","786233",NA,"25110",NA,"23246",NA,"15361",NA,"705234",NA,"413063",NA,"84891","1.Marati","27824","2.Koraga","1010","3.Kattunayakan","448","(M)","65503",NA,"52634",NA,"23334","112","112","112","112","-","-","111","92","95","4","93","40","30","111","112","112","112","67.9","24.1","8"
"2","Kerala","District Kannur (02), Kerala (32)","2408956","1152817","1256139","7.13","1196058","1212898","98991","4.11","457368","5","1090","961","19969","0.83","1971403","971065","1000338","92.59","96.13","89.4","1971403","20943","350835","544405","441878","521715","91604","204098","423672","1532764","248422","767197","626876","140321","1641759",NA,"46513",NA,"11180",NA,"9229",NA,"1480748",NA,"665648",NA,"261019","1.Paniyan","10961","2.Kurichchan","8028","3.Adiyan","407","(M)","99387","(M)","68734",NA,"67507","78","78","78","78","2","2","78","77","80","6","78","43","14","78","78","78","78","63.5","33.9","2.6"
"3","Kerala","District Wayanad (03), Kerala (32)","780619","391273","389346","17.04","751007","29612","33364","4.27","166763","5","995","959","136062","17.43","576735","303579","273156","85.25","89.77","80.72","576735","9477","135598","154742","134323","122652","19920","77165","142415","502281","58758","308613","219789","88824","472006",NA,"6235",NA,"6024",NA,"2322",NA,"392141",NA,"209758",NA,"175495","1.Paniyan","60801","2.Kurumans","25083","3.Kurichchan","22939","(M)","29612",NA,NA,NA,NA,"48","48","48","48","5","3","47","46","54","7","48","29","44","48","48","48","48","60.4","24.8","14.7"
"4","Kerala","District Kozhikode (04), Kerala (32)","2879131","1399358","1479773","9.87","1777974","1101157","200983","6.98","567658","5","1057","958","5940","0.21","2335442","1174611","1160831","92.24","96.11","88.62","2335442","24198","447198","601267","598508","556008","108192","255332","508356","1835004","280439","802900","630836","172064","2076231",NA,"60171",NA,"49959",NA,"13034",NA,"1669161",NA,"1078750",NA,"127468","1.Paniyan","2484","2.Kurichchan","1570","3.Muthuvan etc.","812",NA,"436556","(M)","75847","(M)","68982","87","87","87","87","-","-","87","85","97","9","87","56","53","87","87","87","86","71.8","16.9","11.2"
"5","Kerala","District Malappuram (05), Kerala (32)","3625471","1754576","1870895","17.22","3269301","356170","285442","7.87","612413","6","1066","959","12267","0.34","2754509","1373688","1380821","89.61","93.25","86.26","2754509","38077","678943","775445","747341","451421","63246","402623","832939","2123481","266428","874476","691848","182628","2750995",NA,"98054",NA,"89443",NA,"26201",NA,"2484576",NA,"1057418",NA,"80650","1.Paniyan","6906","2.Muthuvan etc.","2672","3.Kattunayakan","1547",NA,"87495",NA,"83707","(M)","58491","122","122","122","122","-","-","122","121","152","14","121","94","96","122","122","122","120","68.1","25.4","6.4"
"6","Kerala","District Palakkad (06), Kerala (32)","2617482","1266985","1350497","9.86","2260907","356575","432578","16.53","530216","5","1066","963","39665","1.52","1938818","988859","949959","84.35","89.52","79.56","1938818","29628","402235","519629","510415","403353","73476","231752","481755","1635585","268390","945052","768620","176432","1672430",NA,"165316",NA,"84057",NA,"53972",NA,"1802766",NA,"703596",NA,"109249","1.Irular etc.","23766","2.Muthuvan etc.","4223","3.Eravallan","3767","(M)","130767",NA,"49242","(M)","42029","144","144","144","144","-","-","141","127","144","6","139","80","77","144","144","144","143","51.1","40.1","8.8"
"7","Kerala","District Thrissur (07), Kerala (32)","2974232","1422052","1552180","8.7","2134799","839433","354226","11.91","639871","5","1092","958","4826","0.16","2437592","1191026","1246566","92.27","95.11","89.71","2437592","19327","497934","546008","503278","719444","151519","240565","489240","1894992","349435","955300","808965","146335","2018932",NA,"141189",NA,"103640",NA,"34039",NA,"1761842",NA,"720152",NA,"488697","1.Malayan","2415","2.Kadar","846","3.Ulladan","845",NA,"317526","(M)","51592",NA,"48380","204","204","204","204","1","1","196","162","156","12","194","76","49","204","204","204","204","68.1","23.4","8.5"
"8","Kerala","District Ernakulam (08), Kerala (32)","3105798","1538397","1567401","9.09","1628713","1477085","263518","8.48","693161","4","1019","954","10046","0.32","2578813","1307846","1270967","93.2","95.81","90.66","2578813","24520","476336","528694","503631","820372","225105","247137","470604","2033169","354888","1117091","915756","201335","1988707","1.Pulayan etc.","199732","2.Paraiyan etc.","19233","3.Velan","14545","1.Hindus","1444994","2.Christians","1204471","3.Muslims","451764","1.Ulladan","4006","2.Muthuvan etc.","2340","3.Malai Arayan","1472","1.Kochi (M Corp.) (Part)","328677","2.Kochi (M Corp.) (Part)","266898","3.Edathala (CT)","67754","90","90","90","90","-","-","89","85","114","15","89","67","36","90","90","90","87","92.3","4.9","2.8"
"9","Kerala","District Idukki (09), Kerala (32)","1129221","566682","562539","6.96","1071628","57593","159362","14.11","265344","4","993","968","50973","4.51","882458","460310","422148","88.69","92.33","85.02","882458","10231","176890","217996","203095","234505","39708","98199","182284","745214","103524","487352","400699","86653","641869",NA,"53094",NA,"43566",NA,"32278",NA,"566744",NA,"480108",NA,"81222","1.Malai Arayan","16764","2.Muthuvan etc.","11026","3.Mannan","6859","(M)","46246",NA,"9036",NA,"2311","64","64","64","64","4","1","60","59","74","9","62","46","38","64","64","64","61","60","27","12.9"
"10","Kerala","District Kottayam (10), Kerala (32)","1953646","964926","988720","6.76","1653838","299808","150282","7.69","434520","4","1025","962","18340","0.94","1668266","833748","834518","95.82","97.34","94.35","1668266","10972","287281","345448","355148","540662","128708","154992","299291","1246424","252939","642157","539609","102548","1311489",NA,"84620",NA,"22391",NA,"12835",NA,"963497",NA,"871371",NA,"116686","1.Malai Arayan","11346","2.Ulladan","3382","3.Malai Vedan","1966","(M)","60728",NA,"51967",NA,"42984","89","89","89","89","-","-","89","87","123","13","88","65","30","89","89","89","88","78.2","15.9","5.7"
