"","State","District","Persons","Males","Females","Growth (1991 - 2001)","Rural","Urban","Scheduled Caste population","Percentage - SC to total","Number of households","Household size (per household)","Sex ratio (females per 1000 males)","Sex ratio (0-6 years)","Scheduled Tribe population","Percentage to total population (ST)","Persons- literate","Males- Literate","Females- Literate","Persons- literacy rate","Males- Literatacy Rate","Females- Literacy Rate","Total Educated","Data without level","Below Primary","Primary","Middle","Matric/Higher Secondary/Diploma","Graduate and Above","0 - 4 years","5 - 14 years","15 - 59 years","60 years and above (Incl. A.N.S.)","Total workers","Main workers","Marginal workers","Non-workers","SC#1 Name","SC#1 Population","SC#2 Name","SC#2 Population","SC#3 Name","SC#3 Population","Religeon#1 Name","Religeon#1 Population","Religeon#2 Name","Religeon#2 Population","Religeon#3 Name","Religeon#3 Population","ST#1 Name","ST#1 Population","ST#2 Name","ST#2 Population","ST#3 Name","ST#3 Population","Imp Town#1 Name","Imp Town#1 Population","Imp Town#2 Name","Imp Town#2 Population","Imp Town#3 Name","Imp Town#3 Population","Total Inhabited Villages","Drinking water facilities","Safe Drinking water","Electricity (Power Supply)","Electricity (domestic)","Electricity (Agriculture)","Primary school","Middle schools","Secondary/Sr Secondary schools","College","Medical facility","Primary Health Centre","Primary Health Sub-Centre","Post, telegraph and telephone facility","Bus services","Paved approach road","Mud approach road","Permanent House","Semi-permanent House","Temporary House"
"1","MP","District Sheopur * (01), Madhya Pradesh (23)","559495","295297","264198","29.72","470924","88571","90420","16.16","96898","6","895","929","120482","21.53","207536","146457","61079","46.4","61.76","29.07","207536","10823","82746","57015","27245","22433","7261","74895","166313","286262","32025","229277","152553","76724","330218","1.Chamar etc.","67647","2.Koli etc.","11277","3.Bhangi etc.","3843","1.Hindus","519697","2.Muslims","32822","3.Sikhs","5882","1.Sahariya etc.","107935","2.Bhil etc.","6085","3.Generic Tribes etc.","2966","1.Sheopur (M)","55012","2.Badoda (NP)","15673","3.Vijaypur (NP)","14556","527","525","524","408","155","137","438","77","42","1","159","10","94","179","195","220","221","62.3","29.6","8.1"
"2","MP","District Morena (02), Madhya Pradesh (23)","1592714","874089","718625","24.09","1249409","343305","335728","21.08","237803","7","822","837","12974","0.81","837828","568474","269354","64.74","79.89","46.24","837828","20068","261979","224989","157372","137803","35535","200056","458767","826768","107123","590599","451530","139069","1002115","1.Chamar etc.","254224","2.Koli etc.","47035","3.Bhangi etc.","12933","1.Hindus","1523438","2.Muslims","59903","3.Jains","7177","1.Sahariya etc.","7143","2.Korku etc.","1938","3.Gond etc.","1383","1.Morena (M)","150959","2.Ambah (M)","36435","3.Porsa (M)","33103","782","776","775","749","293","325","736","308","153","2","368","16","171","331","142","377","368","79.5","9.4","11.2"
"3","MP","District Bhind (03), Madhya Pradesh (23)","1428559","780902","647657","17.06","1089626","338933","306786","21.48","215478","7","829","832","6720","0.47","827663","533921","293742","70.52","83.19","55.23","827663","23212","229884","220817","173169","147085","33425","171848","390079","749712","116920","525370","396769","128601","903189","1.Chamar etc.","216145","2.Koli etc.","34586","3.Bhangi etc.","17095","1.Hindus","1339646","2.Muslims","55490","3.Jains","19812","1.Gond etc.","4673","2.Majhi","770","3.Korwa etc.","432","1.Bhind (M)","153752","2.Gohad (M)","45232","3.Lahar (NP)","28253","889","887","887","863","411","381","864","388","213","2","427","19","171","355","123","380","465","66.6","20.2","13.1"
"4","MP","District Gwalior (04), Madhya Pradesh (23)","1632109","883317","748792","26","649101","983008","308664","18.91","272242","6","848","853","56948","3.49","955356","599253","356103","69.38","80.36","56.4","955356","14621","222358","225628","165751","208973","117832","170809","424401","929221","107678","530629","441815","88814","1101480","1.Chamar etc.","179890","2.Koli etc.","59564","3.Bhangi etc.","23920","1.Hindus","1470346","2.Muslims","110171","3.Sikhs","22090","1.Sahariya etc.","33239","2.Majhi","8186","3.Gond etc.","5255","1.Gwalior (M Corp.)","827026","2.Dabra (M)","56672","3.Morar Cantt. (CB)","38522","612","611","611","594","120","108","558","223","70","2","246","13","107","436","197","355","237","77.4","17","5.6"
"5","MP","District Datia (05), Madhya Pradesh (23)","628240","338232","290008","21.82","490691","137549","156732","24.95","107129","6","857","874","9977","1.59","373358","236341","137017","71.83","84.29","57.23","373358","28745","118626","106846","59474","44598","15050","74310","163686","338029","52215","316020","226330","89690","312220","1.Chamar etc.","89429","2.Koli etc.","18179","3.Khangar etc.","14253","1.Hindus","593927","2.Muslims","23119","3.Buddhists","9407","1.Sahariya etc.","7754","2.Gond etc.","824","3.Oraon etc.","438","1.Datia (M)","82755","2.Bhander (NP)","20672","3.Seondha (NP)","19525","551","546","545","543","165","156","512","128","63","1","197","9","92","408","129","197","333","66","33.4","0.6"
"6","MP","District Shivpuri (06), Madhya Pradesh (23)","1441950","776190","665760","27.16","1202277","239673","270864","18.78","241868","6","858","906","161393","11.19","682555","465476","217079","58.86","74.11","40.84","682555","61485","270972","169556","83562","70328","26478","191761","402052","750331","97806","652270","507173","145097","789680","1.Chamar etc.","170192","2.Khangar etc.","34364","3.Koli etc.","24220","1.Hindus","1374040","2.Muslims","42918","3.Jains","12093","1.Sahariya etc.","139124","2.Generic Tribes etc.","10133","3.Bhil etc.","7245","1.Shivpuri (M)","146892","2.Karera (NP)","23505","3.Narwar (NP)","15714","1353","1348","1343","1258","381","379","1166","243","85","1","375","16","196","608","237","300","793","73.5","22.1","4.3"
"7","MP","District Guna (07), Madhya Pradesh (23)","1666767","884020","782747","27.11","1311954","354813","293527","17.61","276543","6","885","930","203742","12.22","797993","529858","268135","59.55","74.13","42.88","797993","71982","302597","211195","94899","81240","36016","220799","463138","864155","118675","682988","496734","186254","983779","1.Chamar etc.","202532","2.Koli etc.","19168","3.Bhangi etc.","15512","1.Hindus","1554490","2.Muslims","73076","3.Jains","26326","1.Sahariya etc.","102601","2.Bhil etc.","86710","3.Gond etc.","6795","1.Guna (M)","137175","2.Ashoknagar (M)","57705","3.Raghogarh-Vijaypur (M)","49173","2078","2067","2057","1969","985","913","1639","278","93","1","267","23","162","461","262","560","1223","29.9","66.4","3.7"
"8","MP","District Tikamgarh (08), Madhya Pradesh (23)","1202998","637913","565085","27.88","990265","212733","292171","24.29","207821","6","886","915","51957","4.32","542498","355842","186656","55.73","68.68","40.99","542498","31513","168469","155317","91542","76369","19113","157126","325782","636195","83895","566177","395575","170602","636821","1.Chamar etc.","182705","2.Basor etc.","29642","3.Kumhar","25710","1.Hindus","1150150","2.Muslims","37094","3.Jains","14604","1.Saur","43224","2.Sonr","3453","3.Gond etc.","2222","1.Tikamgarh (M)","68426","2.Prithvipur (NP)","22535","3.Niwari (NP)","20713","865","863","863","859","301","297","808","229","172","1","279","17","149","196","220","276","561","77.6","22.1","0.2"
"9","MP","District Chhatarpur (09), Madhya Pradesh (23)","1474723","788933","685790","27.33","1150428","324295","342990","23.26","251334","6","869","916","51593","3.5","631370","416441","214929","53.26","65.28","39.26","631370","23930","210897","187015","96146","82056","31240","197553","412491","755554","109125","592470","441443","151027","882253","1.Chamar etc.","211249","2.Koli etc.","37131","3.Kumhar","35489","1.Hindus","1404412","2.Muslims","57659","3.Jains","9766","1.Khairwar etc.","17684","2.Saur","17140","3.Gond etc.","10606","1.Chhatarpur (M)","99575","2.Nowgong (M)","33024","3.Maharajpur (NP)","21490","1080","1075","1072","1033","287","185","970","238","98","-","407","28","152","252","274","345","644","42.2","57.3","0.5"
"10","MP","District Panna (10), Madhya Pradesh (23)","856558","450549","406009","24.17","748374","108184","171353","20","166649","5","901","931","131796","15.39","420622","265457","155165","61.36","73.33","47.97","420622","56247","136741","105010","59739","48604","13871","117405","231917","447757","59479","373605","261183","112422","482953","1.Chamar etc.","98095","2.Kumhar","18858","3.Koli etc.","16987","1.Hindus","820662","2.Muslims","30043","3.Jains","4534","1.Gond etc.","81219","2.Bharia Bhumia etc.","27830","3.Khairwar etc.","12264","1.Panna (M)","45688","2.Ajaygarh (NP)","13997","3.Pawai (NP)","12004","955","948","941","836","368","199","811","200","87","-","230","15","109","194","159","241","675","21.7","76.9","1.3"
