"","State","District","Persons","Males","Females","Growth (1991 - 2001)","Rural","Urban","Scheduled Caste population","Percentage - SC to total","Number of households","Household size (per household)","Sex ratio (females per 1000 males)","Sex ratio (0-6 years)","Scheduled Tribe population","Percentage to total population (ST)","Persons- literate","Males- Literate","Females- Literate","Persons- literacy rate","Males- Literatacy Rate","Females- Literacy Rate","Total Educated","Data without level","Below Primary","Primary","Middle","Matric/Higher Secondary/Diploma","Graduate and Above","0 - 4 years","5 - 14 years","15 - 59 years","60 years and above (Incl. A.N.S.)","Total workers","Main workers","Marginal workers","Non-workers","SC#1 Name","SC#1 Population","SC#2 Name","SC#2 Population","SC#3 Name","SC#3 Population","Religeon#1 Name","Religeon#1 Population","Religeon#2 Name","Religeon#2 Population","Religeon#3 Name","Religeon#3 Population","ST#1 Name","ST#1 Population","ST#2 Name","ST#2 Population","ST#3 Name","ST#3 Population","Imp Town#1 Name","Imp Town#1 Population","Imp Town#2 Name","Imp Town#2 Population","Imp Town#3 Name","Imp Town#3 Population","Total Inhabited Villages","Drinking water facilities","Safe Drinking water","Electricity (Power Supply)","Electricity (domestic)","Electricity (Agriculture)","Primary school","Middle schools","Secondary/Sr Secondary schools","College","Medical facility","Primary Health Centre","Primary Health Sub-Centre","Post, telegraph and telephone facility","Bus services","Paved approach road","Mud approach road","Permanent House","Semi-permanent House","Temporary House"
"1","Maharashtra","District Nandurbar * (01), Maharashtra (27)","1311709","663511","648198","23.21","1109036","202673","41412","3.16","245421","5","977","961","859574","65.53","603221","361333","241888","55.78","66.16","45.18","603221","27965","198188","147995","68675","131899","28499","160258","344858","710346","96247","610033","458321","151712","701676","1.Mahar etc.","31198","2.Bhambi etc.","5389","3.Mang etc.","1778","1.Hindus","1198481","2.Muslims","71215","3.Christians","17953","1.Bhil etc.","714127","2.Gamit etc.","61754","3.Kokna etc.","40848","1.Nandurbar (M Cl)","94368","2.Shahade (M Cl)","49696","3.Nawapur (M Cl)","29979","935","932","895","778","295","198","920","217","160","4","259","47","128","299","679","614","261","18","64.4","17.6"
"2","Maharashtra","District Dhule (02), Maharashtra (27)","1707947","878372","829575","16.01","1262062","445885","109102","6.39","324557","5","944","906","443564","25.97","1040837","606036","434801","71.65","81.4","61.39","1040837","33191","287710","272659","130236","256675","60362","178467","408578","960357","160545","737941","573496","164445","970006","1.Mahar etc.","77811","2.Bhambi etc.","18608","3.Mang etc.","7266","1.Hindus","1522895","2.Muslims","149466","3.Buddhists","14613","1.Bhil etc.","295266","2.Kokna etc.","89753","3.Koli Dhor etc.","21723","1.Dhule (M Cl)","341755","2.Shirpur-Warwade (M Cl)","61694","3.Dondaicha-Warwade(M Cl)","42436","678","675","675","673","365","356","669","328","289","10","276","40","120","384","596","539","138","25","31.4","43.5"
"3","Maharashtra","District Jalgaon (03), Maharashtra (27)","3682690","1905493","1777197","15.44","2629896","1052794","286777","7.79","732767","5","933","880","435951","11.84","2381376","1396860","984516","75.43","85.91","64.3","2381376","45138","672889","650949","329660","563675","119062","362067","855524","2103419","361680","1563983","1300086","263897","2118707","1.Mahar etc.","186159","2.Bhambi etc.","50837","3.Mang etc.","26377","1.Hindus","3049368","2.Muslims","455288","3.Buddhists","126136","1.Bhil etc.","251643","2.Koli Dhor etc.","126911","3.Pardhi etc.","16849","1.Jalgaon (M Cl)","368618","2.Bhusawal (M Cl)","172372","3.Amalner (M Cl)","91490","1491","1491","1491","1486","-","-","1470","663","442","11","934","74","380","1425","1428","1376","115","34.8","34.2","30.9"
"4","Maharashtra","District Buldana (04), Maharashtra (27)","2232480","1147403","1085077","18.03","1759097","473383","241623","10.82","445634","5","946","908","115156","5.16","1433889","842410","591479","75.78","86.93","64.07","1433889","26020","490339","381863","203864","275600","56203","235068","541154","1233279","222979","1016015","908797","107218","1216465","1.Mahar etc.","125443","2.Mang etc.","61780","3.Bhambi etc.","41024","1.Hindus","1622192","2.Buddhists","306503","3.Muslims","285387","1.Koli Mahadev etc.","33067","2.Bhil etc.","24605","3.Pardhi etc.","16428","1.Khamgaon (M Cl)","88687","2.Buldana (M Cl)","62972","3.Malkapur (M Cl)","61012","1297","1289","1286","1263","15","30","1194","618","230","4","379","19","30","677","846","1012","273","36.2","57.5","6.3"
"5","Maharashtra","District Akola (05), Maharashtra (27)","1630239","841253","788986","20.51","1002742","627497","168447","10.33","319947","5","938","933","100088","6.14","1135245","639483","495762","81.41","88.91","73.43","1135245","18448","326724","280039","177990","268309","63735","165797","374393","935557","154492","648243","582264","65979","981996","1.Mahar etc.","94586","2.Mang etc.","38133","3.Bhambi etc.","20347","1.Hindus","1024080","2.Muslims","296272","3.Buddhists","293184","1.Koli Mahadev etc.","22656","2.Andh","19085","3.Pardhi etc.","17578","1.Akola (M Cl)","400520","2.Akot (M Cl)","80726","3.Balapur (M Cl)","39502","862","851","850","840","179","123","786","374","242","15","212","7","30","277","530","736","126","41.8","55.2","2.9"
"6","Maharashtra","District Washim * (06), Maharashtra (27)","1020216","526094","494122","18.25","841771","178445","162663","15.94","200958","5","939","917","70987","6.96","630763","377978","252785","73.37","85.44","60.57","630763","10253","214413","169377","82710","129753","24256","111972","249919","556640","101685","455332","395651","59681","564884","1.Mahar etc.","105956","2.Mang etc.","37398","3.Bhambi etc.","8603","1.Hindus","746841","2.Buddhists","150580","3.Muslims","111863","1.Andh","51785","2.Koli Mahadev etc.","5019","3.Gond Rajgond etc.","3851","1.Washim (M Cl)","62956","2.Karanja (M Cl)","60158","3.Mangrulpir (M Cl)","27815","702","697","695","687","380","371","666","304","183","7","292","9","52","294","507","593","102","33.8","63","3.1"
"7","Maharashtra","District Amravati (07), Maharashtra (27)","2607160","1345614","1261546","18.45","1707581","899579","446623","17.13","526230","5","938","941","356533","13.68","1856549","1032546","824003","82.54","88.91","75.73","1856549","34341","537635","433284","305648","431104","114536","252428","575750","1513117","265865","1095622","908363","187259","1511538","1.Mahar etc.","337659","2.Mang etc.","44841","3.Bhambi etc.","21068","1.Hindus","1883148","2.Buddhists","350403","3.Muslims","347250","1.Korku etc.","193199","2.Gond Rajgond etc.","95363","3.Pardhi etc.","20568","1.Amravati (M Corp.)","549510","2.Achalpur (M Cl)","107316","3.Anjangaon (M Cl)","51170","1679","1646","1646","1629","302","273","1444","675","379","13","705","61","180","888","981","1475","200","32.2","65.2","2.6"
"8","Maharashtra","District Wardha (08), Maharashtra (27)","1236736","638990","597746","15.3","911695","325041","158630","12.83","270502","5","935","928","154415","12.49","865556","486736","378820","80.06","87.18","72.45","865556","13691","235556","184139","152341","227660","52169","109409","249944","740886","136497","550351","431330","119021","686385","1.Mahar etc.","119988","2.Mang etc.","18731","3.Bhambi etc.","9823","1.Hindus","1006235","2.Buddhists","169579","3.Muslims","47605","1.Gond Rajgond etc.","115448","2.Halba etc.","12366","3.Pardhan etc.","8307","1.Wardha (M Cl)","111118","2.Hinganghat (M Cl)","92342","3.Arvi (M Cl)","40575","1004","998","998","998","248","334","842","362","201","19","392","26","149","735","697","768","235","38.1","59.3","2.6"
"9","Maharashtra","District Nagpur (09), Maharashtra (27)","4067637","2105314","1962323","23.25","1453886","2613751","696461","17.12","838599","5","932","941","444441","10.93","2976205","1654342","1321863","84.03","90.18","77.42","2976205","40132","714181","593659","555120","780536","292546","370859","849592","2504671","342515","1538349","1283079","255270","2529288","1.Mahar etc.","547077","2.Bhambi etc.","67106","3.Mang etc.","32129","1.Hindus","3090588","2.Buddhists","589218","3.Muslims","296709","1.Gond Rajgond etc.","257119","2.Halba etc.","147530","3.Thakur etc.","18537","1.Nagpur (M Corp.)","2052066","2.Kamptee (M Cl)","84344","3.Umred (M Cl)","49577","1628","1621","1621","1616","598","649","1419","594","273","14","161","27","20","726","869","1443","185","53.7","42.9","3.4"
"10","Maharashtra","District Bhandara (10), Maharashtra (27)","1136146","573445","562701","11.2","960418","175728","201949","17.77","244531","5","981","956","97718","8.6","770662","440122","330540","78.47","88.97","67.82","770662","7957","236573","158182","156083","172183","39684","108444","239337","688186","100179","536885","365464","171421","599261","1.Mahar etc.","180113","2.Bhambi etc.","12473","3.Mang etc.","2668","1.Hindus","953507","2.Buddhists","144541","3.Muslims","23324","1.Gond Rajgond etc.","69986","2.Halba etc.","22994","3.Binjhwar","1964","1.Bhandara (M Cl)","85213","2.Tumsar (M Cl)","42021","3.Pauni (M Cl)","22587","778","772","772","774","191","41","716","313","219","9","442","32","188","503","453","415","361","34","63.9","2.1"
