"","State","District","Persons","Males","Females","Growth (1991 - 2001)","Rural","Urban","Scheduled Caste population","Percentage - SC to total","Number of households","Household size (per household)","Sex ratio (females per 1000 males)","Sex ratio (0-6 years)","Scheduled Tribe population","Percentage to total population (ST)","Persons- literate","Males- Literate","Females- Literate","Persons- literacy rate","Males- Literatacy Rate","Females- Literacy Rate","Total Educated","Data without level","Below Primary","Primary","Middle","Matric/Higher Secondary/Diploma","Graduate and Above","0 - 4 years","5 - 14 years","15 - 59 years","60 years and above (Incl. A.N.S.)","Total workers","Main workers","Marginal workers","Non-workers","SC#1 Name","SC#1 Population","SC#2 Name","SC#2 Population","SC#3 Name","SC#3 Population","Religeon#1 Name","Religeon#1 Population","Religeon#2 Name","Religeon#2 Population","Religeon#3 Name","Religeon#3 Population","ST#1 Name","ST#1 Population","ST#2 Name","ST#2 Population","ST#3 Name","ST#3 Population","Imp Town#1 Name","Imp Town#1 Population","Imp Town#2 Name","Imp Town#2 Population","Imp Town#3 Name","Imp Town#3 Population","Total Inhabited Villages","Drinking water facilities","Safe Drinking water","Electricity (Power Supply)","Electricity (domestic)","Electricity (Agriculture)","Primary school","Middle schools","Secondary/Sr Secondary schools","College","Medical facility","Primary Health Centre","Primary Health Sub-Centre","Post, telegraph and telephone facility","Bus services","Paved approach road","Mud approach road","Permanent House","Semi-permanent House","Temporary House"
"1","Manipur",NA,"156513","80230","76283","81.96","156513","-","238","0.15","25850","6","951","961","122791","78.45","80507","46922","33585","59.8","67.93","51.24","80507","2315","16715","22036","18723","17202","3508","14203","39272","94407","8631","71888","49873","22015","84625","1.Sutradhar","115","2.Namasudra","109","3.Generic Castes etc.","10","1.Christians","122724","2.Hindus","30441","3.Buddhists","1281","1.Thadou","72535","2.Tangkhul","8329","3.Vaiphui","7357","No Urban Area",NA,NA,NA,NA,NA,"491","487","182","432","432","-","283","73","18","2","33","4","27","38","163","182","317","3.3","54.6","42.1"
"2","Manipur","District Tamenglong (02), Manipur (Excl. 3 Sub-Divisions) (14)","111499","58014","53485","29.23","111499","-","3","0","16149","7","922","936","106349","95.38","56819","34329","22490","59.25","68.72","48.95","56819","2885","10097","16167","12056","13097","2511","10057","27532","66620","7290","50863","43353","7510","60636","1.Muchi etc.","2","2.Generic Castes etc.","1","3.All Scheduled Castes","3","1.Christians","105791","2.Hindus","3187","3.Muslims","1431","1.Kabui","60893","2.Kacha Naga","34368","3.Thadou","6888","No Urban Area",NA,NA,NA,NA,NA,"171","171","75","75","75","-","157","68","15","1","42","8","27","44","36","47","105","1.8","26.8","71.4"
"3","Manipur","District Churachandpur (03), Manipur (Excl. 3 Sub-Divisions) (14)","227905","117232","110673","29.81","227905","-","205","0.09","37626","6","944","968","212482","93.23","139080","78871","60209","70.59","77.67","63.06","139080","9235","30746","36192","27406","28475","6998","19870","55585","137973","14477","99363","71933","27430","128542","1.Generic Castes etc.","127","2.Yaithibi","30","3.Sutradhar","15","1.Christians","213186","2.Hindus","10538","3.Muslims","2573","1.Thadou","54929","2.Paite","45549","3.Hmar","37998","No Urban Area",NA,NA,NA,NA,NA,"540","539","161","306","306","-","395","143","48","5","66","7","48","69","95","123","279","6.4","39","54.6"
"4","Manipur","District Bishnupur (04), Manipur (Excl. 3 Sub-Divisions) (14)","208368","104550","103818","13.9","133627","74741","1727","0.83","35303","6","993","951","6143","2.95","119823","70507","49316","67.63","79.61","55.66","119823","3722","19143","21085","28539","32825","14474","20819","46995","124257","16297","89703","55557","34146","118665","1.Lois","1677","2.Generic Castes etc.","42","3.Dhupi etc.","5","1.Hindus","148903","2.Others","38763","3.Muslims","14194","1.Kom","2229","2.Kabui","951","3.Thadou","796","1.Moirang (M Cl)","17178","2.Nambol (M Cl) (Part)","14931",NA,NA,"48","48","41","46","46","-","47","38","23","-","28","7","21","28","41","38","37","3.8","58.7","37.5"
"5","Manipur","District Thoubal (05), Manipur (Excl. 3 Sub-Divisions) (14)","364140","182250","181890","24.62","232868","131272","33969","9.33","67681","5","998","966","4274","1.17","202102","122109","79993","66.41","80.43","52.46","202102","5196","34811","40258","51767","51218","18800","40152","88319","211287","24382","177343","111486","65857","186797","1.Lois","33029","2.Yaithibi","471","3.Generic Castes etc.","451","1.Hindus","221096","2.Muslims","86849","3.Others","50819","1.Thadou","1154","2.Kom","655","3.Tangkhul","612","1.Thoubal (M Cl)","41174","2.Kakching (M Cl)","28724","3.Lilong (Thoubal) (NP) (Part)","18699","90","90","88","84","84","-","88","58","35","1","36","9","26","38","73","79","88","4","53.7","42.3"
"6","Manipur","District Imphal West (06), Manipur (Excl. 3 Sub-Divisions) (14)","444382","221781","222601","15.42","197699","246683","13276","2.99","79078","6","1004","944","21118","4.75","311238","171996","139242","80.22","89.22","71.33","311238","6332","35811","43273","70823","97181","57683","38184","90774","280267","35157","178111","129101","49010","266271","1.Lois","13018","2.Generic Castes etc.","163","3.Namasudra","36","1.Hindus","330994","2.Others","73705","3.Muslims","19124","1.Kabui","9042","2.Tangkhul","2596","3.Thadou","2117","1.Imphal (M Cl) (Part)","150595","2.Mayang Imphal (NP)","20532","3.Thongkhong Laxmi Bazar (NP)","12680","114","114","104","114","114","-","112","74","53","5","35","4","28","51","103","105","67","21.1","63.5","15.4"
"7","Manipur","District Imphal East * (07), Manipur (Excl. 3 Sub-Divisions) (14)","394876","198371","196505","19.16","286566","108310","10409","2.64","69182","6","991","962","24712","6.26","255956","145377","110579","75.45","85.5","65.35","255956","4509","37837","44284","63063","73202","33010","37555","90346","239189","27786","156882","106562","50320","237994","1.Lois","3729","2.Patni","3319","3.Namasudra","3160","1.Hindus","240347","2.Others","67741","3.Muslims","62932","1.Tangkhul","5896","2.Kabui","5714","3.Thadou","3821","1.Imphal (M Cl) (Part)","70897","2.Andro (NP)","8316","3.Jiribam (M Cl)","6423","197","196","170","191","191","-","189","100","50","6","35","-","32","45","103","120","171","11.2","61.2","27.6"
"8","Manipur","District Ukhrul (08), Manipur (Excl. 3 Sub-Divisions) (14)","140778","73465","67313","28.98","140778","-","-","-","23318","6","916","946","134493","95.54","87549","50208","37341","73.12","80.13","65.41","87549","1615","13553","21575","22113","22673","5995","13938","35376","82321","9143","66515","51564","14951","74263","No Scheduled Castes in this area",NA,NA,NA,NA,NA,"1.Christians","133966","2.Hindus","5687","3.Muslims","881","1.Tangkhul","127035","2.Thadou","5268","3.Simte","716","No Urban Area",NA,NA,NA,NA,NA,"198","198","110","154","154","-","188","79","36","1","47","4","35","55","59","86","169","2","71.8","26.2"
"9","Manipur","District Chandel (09), Manipur (Excl. 3 Sub-Divisions) (14)","118327","59741","58586","72.8","103365","14962","210","0.18","20908","6","981","961","108779","91.93","57460","33147","24313","56.23","64.34","47.98","57460","1677","10574","14523","13039","14308","3327","10502","27226","73759","6840","54545","39935","14610","63782","1.Lois","210","2.All Scheduled Castes","178","3.Lois","178","1.Christians","109128","2.Hindus","5701","3.Muslims","2318","1.Thadou","35086","2.Anal","20851","3.Maring","19828","1.Moreh (ST)","14962",NA,NA,NA,NA,"350","323","125","190","190","-","214","50","16","2","25","6","15","53","76","126","209","1.6","37.8","60.5"
"10","Manipur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
