"","State","District","Persons","Males","Females","Growth (1991 - 2001)","Rural","Urban","Scheduled Caste population","Percentage - SC to total","Number of households","Household size (per household)","Sex ratio (females per 1000 males)","Sex ratio (0-6 years)","Scheduled Tribe population","Percentage to total population (ST)","Persons- literate","Males- Literate","Females- Literate","Persons- literacy rate","Males- Literatacy Rate","Females- Literacy Rate","Total Educated","Data without level","Below Primary","Primary","Middle","Matric/Higher Secondary/Diploma","Graduate and Above","0 - 4 years","5 - 14 years","15 - 59 years","60 years and above (Incl. A.N.S.)","Total workers","Main workers","Marginal workers","Non-workers","SC#1 Name","SC#1 Population","SC#2 Name","SC#2 Population","SC#3 Name","SC#3 Population","Religeon#1 Name","Religeon#1 Population","Religeon#2 Name","Religeon#2 Population","Religeon#3 Name","Religeon#3 Population","ST#1 Name","ST#1 Population","ST#2 Name","ST#2 Population","ST#3 Name","ST#3 Population","Imp Town#1 Name","Imp Town#1 Population","Imp Town#2 Name","Imp Town#2 Population","Imp Town#3 Name","Imp Town#3 Population","Total Inhabited Villages","Drinking water facilities","Safe Drinking water","Electricity (Power Supply)","Electricity (domestic)","Electricity (Agriculture)","Primary school","Middle schools","Secondary/Sr Secondary schools","College","Medical facility","Primary Health Centre","Primary Health Sub-Centre","Post, telegraph and telephone facility","Bus services","Paved approach road","Mud approach road","Permanent House","Semi-permanent House","Temporary House"
"1","Meghalya","District West Garo Hills (01), Meghalaya (17)","518390","263424","254966","27.98","459412","58978","7436","1.43","95524","5","968","960","397166","76.62","211499","120837","90662","50.67","57.03","44.12","211499","7566","77564","52624","29859","38497","5385","68217","145884","277118","27171","208361","163008","45353","310029","1.Namasudra","2205","2.Muchi etc.","1885","3.Jhalo etc.","1382","1.Christians","282865","2.Hindus","111528","3.Muslims","78973","1.Garo","309376","2.Hajong","25780","3.Generic Tribes etc.","20714","1.Tura (M)","58978",NA,NA,NA,NA,"1469","1465","1314","536","488","6","1118","286","97","2","148","29","44","96","356","425","1217","10","26.6","63.4"
"2","Meghalya","District East Garo Hills (02), Meghalaya (17)","250582","127474","123108","31.1","214675","35907","347","0.14","45062","6","966","971","241916","96.54","120874","67145","53729","60.62","66.15","54.89","120874","3263","52378","32931","17899","13078","1322","34408","73139","132281","10754","111996","78806","33190","138586","1.Generic Castes etc.","165","2.Namasudra","90","3.Brittial Bania etc.","22","1.Christians","222892","2.Hindus","14113","3.Others","8305","1.Garo","224451","2.Raba etc.","8897","3.Generic Tribes etc.","7648","1.Williamnagar (MB)","18247","2.Resubelpara (MB)","17660",NA,NA,"864","862","727","287","283","-","716","134","40","-","91","15","44","38","181","261","581","8.4","16.4","75.2"
"3","Meghalya","District South Garo Hills * (03), Meghalaya (17)","100980","52007","48973","28.59","92337","8643","226","0.22","17900","6","942","970","96616","95.68","43816","25340","18476","55","61.52","48.02","43816","1725","17283","11948","6384","6059","415","14583","28696","52219","5482","47848","31351","16497","53132","1.Jhalo etc.","74","2.Namasudra","57","3.Kaibartta etc.","29","1.Christians","90526","2.Hindus","4880","3.Muslims","2767","1.Garo","94119","2.Generic Tribes etc.","1400","3.Hajong","705","1.Baghmara (MB)","8643",NA,NA,NA,NA,"595","595","363","117","108","1","416","71","22","-","22","6","7","24","111","153","393","7.5","25.6","66.9"
"4","Meghalya","District West Khasi Hills (04), Meghalaya (17)","296049","150419","145630","33.59","261451","34598","42","0.01","50035","6","968","974","290184","98.02","147590","76676","70914","65.1","66.49","63.65","147590","6098","79230","32783","14991","12352","2128","48788","91778","142692","12791","129095","97784","31311","166954","1.Generic Castes etc.","40","2.Namasudra","2","3.All Scheduled Castes","18","1.Christians","280548","2.Others","8778","3.Hindus","5661","1.Khasi etc.","248273","2.Garo","34836","3.Generic Tribes etc.","3956","1.Nongstoin (TC)","23106","2.Mairang (TC)","11492",NA,NA,"924","923","719","326","320","2","877","185","59","1","70","21","29","88","254","286","520","13.2","52","34.9"
"5","Meghalya","District Ri Bhoi","192790","99319","93471","51.44","179610","13180","300","0.16","34844","6","941","971","167779","87.03","98754","53494","45260","65.73","68.81","62.43","98754","7840","48017","21053","9876","10061","1906","29930","56249","98497","8114","89407","71237","18170","103383","1.Generic Castes etc.","155","2.Muchi etc.","48","3.Dhupi etc.","31","1.Christians","153682","2.Hindus","29117","3.Others","7175","1.Khasi etc.","139071","2.Mikir","10523","3.Garo","9376","1.Nongpoh (TC)","13180",NA,NA,NA,NA,"543","543","455","359","350","-","457","99","23","1","37","14","16","41","213","255","432","16.5","28.5","54.9"
"6","Meghalya","District East Khasi Hills (06), Meghalaya (17)","660923","333553","327370","22.88","383175","277748","2332","0.35","125567","5","981","971","512152","77.49","415160","212637","202523","76.07","77.28","74.84","415160","8987","136270","84592","59433","88682","37129","80507","170197","377828","32391","256562","219190","37372","404361","1.Generic Castes etc.","816","2.Mehtar etc.","714","3.Namasudra","149","1.Christians","403277","2.Hindus","129373","3.Others","110959","1.Khasi etc.","477105","2.Garo","16938","3.Generic Tribes etc.","6244","1.Shillong (M)","132867","2.Mawlai (CT)","38303","3.Nongthymmai (CT)","34292","920","920","811","682","661","15","758","186","65","1","54","29","4","117","480","465","563","43.7","44.4","11.5"
"7","Meghalya","District Jaintia Hills (07), Meghalaya (17)","299108","149891","149217","34.12","274051","25057","456","0.15","49918","6","996","994","287049","95.97","120182","58143","62039","51.87","50.08","53.67","120182","9294","56014","23696","12145","15666","3357","48133","90368","148424","12183","126877","95635","31242","172231","1.Namasudra","251","2.Generic Castes etc.","89","3.Patni","43","1.Christians","195196","2.Others","87827","3.Hindus","13150","1.Khasi etc.","258678","2.Synteng","17419","3.Any Kuki Tribes etc.","5952","1.Jowai (M)","25057",NA,NA,NA,NA,"467","462","415","291","258","2","383","124","47","3","70","20","17","87","295","207","405","21","54.2","24.6"
"8","Meghalya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Meghalya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Meghalya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Meghalya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Meghalya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Meghalya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Meghalya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Meghalya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Meghalya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Meghalya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Meghalya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
