"","State","District","Persons","Males","Females","Growth (1991 - 2001)","Rural","Urban","Scheduled Caste population","Percentage - SC to total","Number of households","Household size (per household)","Sex ratio (females per 1000 males)","Sex ratio (0-6 years)","Scheduled Tribe population","Percentage to total population (ST)","Persons- literate","Males- Literate","Females- Literate","Persons- literacy rate","Males- Literatacy Rate","Females- Literacy Rate","Total Educated","Data without level","Below Primary","Primary","Middle","Matric/Higher Secondary/Diploma","Graduate and Above","0 - 4 years","5 - 14 years","15 - 59 years","60 years and above (Incl. A.N.S.)","Total workers","Main workers","Marginal workers","Non-workers","SC#1 Name","SC#1 Population","SC#2 Name","SC#2 Population","SC#3 Name","SC#3 Population","Religeon#1 Name","Religeon#1 Population","Religeon#2 Name","Religeon#2 Population","Religeon#3 Name","Religeon#3 Population","ST#1 Name","ST#1 Population","ST#2 Name","ST#2 Population","ST#3 Name","ST#3 Population","Imp Town#1 Name","Imp Town#1 Population","Imp Town#2 Name","Imp Town#2 Population","Imp Town#3 Name","Imp Town#3 Population","Total Inhabited Villages","Drinking water facilities","Safe Drinking water","Electricity (Power Supply)","Electricity (domestic)","Electricity (Agriculture)","Primary school","Middle schools","Secondary/Sr Secondary schools","College","Medical facility","Primary Health Centre","Primary Health Sub-Centre","Post, telegraph and telephone facility","Bus services","Paved approach road","Mud approach road","Permanent House","Semi-permanent House","Temporary House"
"1","Mizoram","District Mamit * (01), Mizoram (15)","62785","33114","29671","(3.50)","52132","10653","18","0.03","12253","5","896","936","58950","93.89","40849","22693","18156","79.14","82.98","74.81","40849","580","17793","11786","6611","3220","857","7856","16021","35359","3549","35165","27428","7737","27620","1.Generic Castes etc.","11","2.Namasudra","2","3.Bhuinmali etc.","1","1.Christians","50563","2.Buddhists","8579","3.Hindus","2404","1.Any Mizo (Lushai) tribes etc.","43794","2.Chakma","8701","3.Any Kuki Tribes etc.","6111","1.Mamit (NT)","5110","2.Zawlnuam (NT)","3120","3.Lengpui (NT)","2423","82","81","20","63","63","-","72","44","24","-","35","5","28","41","35","34","27","30.9","32.2","36.8"
"2","Mizoram","District Kolasib * (02), Mizoram (15)","65960","34562","31398","36.01","29461","36499","17","0.03","14053","5","908","972","59221","89.78","50596","26969","23627","91.34","92.34","90.22","50596","1182","19384","14227","9422","5028","1351","7427","15908","38920","3705","35510","27441","8069","30450","1.Patni","6","2.Dhupi etc.","4","3.Kaibartta etc.","3","1.Christians","59098","2.Hindus","4237","3.Muslims","1995","1.Any Mizo (Lushai) tribes etc.","53697","2.Hmar","2910","3.Any Kuki Tribes etc.","2137","1.Kolasib (NT)","19008","2.Vairengte (NT)","7715","3.N.Kawnpui (NT)","6472","39","39","34","30","30","-","30","24","12","-","19","2","17","14","17","13","16","36.9","36.9","26.2"
"3","Mizoram","District Aizawl (03), Mizoram (15)","325676","166877","158799","39.24","77531","248145","182","0.06","64753","5","952","972","303641","93.23","269699","138783","130916","96.51","96.75","96.26","269699","3008","80883","67374","58941","43311","16154","32742","71382","203257","18295","162961","125328","37633","162715","1.Generic Castes etc.","85","2.Namasudra","25","3.Bhuinmali etc.","12","1.Christians","303893","2.Hindus","14508","3.Muslims","5185","1.Any Mizo (Lushai) tribes etc.","285378","2.Hmar","14144","3.Any Kuki Tribes etc.","1849","1.Aizawl (NT)","228280","2.Saitual (NT)","10966","3.Sairang (NT)","5034","96","96","53","81","74","-","86","68","43","-","46","6","40","56","55","45","51","71.8","21.6","6.5"
"4","Mizoram","District Champhai * (04), Mizoram (15)","108392","55756","52636","29.77","66343","42049","-","-","22059","5","944","972","104924","96.8","82036","43231","38805","91.19","93.15","89.1","82036","1616","36061","23377","11824","7102","2051","12805","27132","61919","6536","68134","49658","18476","40258","No Scheduled Castes in this area",NA,NA,NA,NA,NA,"1.Christians","105061","2.Hindus","2248","3.Muslims","432","1.Any Mizo (Lushai) tribes etc.","100803","2.Any Kuki Tribes etc.","1780","3.Pawi","1023","1.Champhai (NT)","26465","2.Khawzawl (NT)","10954","3.Khawhai (NT)","2403","88","88","76","64","64","-","80","72","41","1","51","8","43","60","36","31","57","48.8","33.8","17.4"
"5","Mizoram","District Serchhip * (05), Mizoram (15)","53861","27380","26481","18.45","27983","25878","5","0.01","10116","5","967","977","52830","98.09","42582","21906","20676","95.15","96.18","94.08","42582","631","17545","12300","7393","3588","1124","6354","13485","30492","3530","32523","24783","7740","21338","1.Generic Castes etc.","3","2.Bhuinmali etc.","2","3.All Scheduled Castes","5","1.Christians","52495","2.Hindus","531","3.Others","524","1.Any Mizo (Lushai) tribes etc.","52602","2.Pawi","85","3.Chakma","83","1.Serchhip (NT)","17096","2.Thenzawl (NT)","5507","3.N.Vanlaiphai (NT)","3275","35","35","15","34","34","-","32","30","15","1","25","5","20","21","11","12","21","61.4","31.2","7.5"
"6","Mizoram","District Lunglei (06), Mizoram (15)","137223","71402","65821","23.1","79267","57956","33","0.02","27889","5","922","962","130768","95.3","96097","52159","43938","84.17","87.44","80.6","96097","1445","37039","25687","16973","11926","3025","16274","32498","80717","7734","71792","60870","10922","65431","1.Namasudra","9","2.Patni","9","3.Sutradhar","6","1.Christians","109204","2.Buddhists","22429","3.Hindus","4612","1.Any Mizo (Lushai) tribes etc.","101766","2.Chakma","24369","3.Any Kuki Tribes etc.","3793","1.Lunglei (NT)","47137","2.Hnahthial (NT)","7138","3.Tlabung (NT)","3681","160","160","39","101","101","-","130","82","30","-","55","9","45","57","50","49","54","53.8","18.9","27.3"
"7","Mizoram","District Lawngtlai (07), Mizoram (15)","73620","38776","34844","34.78","73620","-","5","0.01","13902","5","899","938","70234","95.4","38603","22374","16229","64.74","70.9","57.81","38603","4990","15194","8268","5064","4253","831","9644","19610","40890","3476","34093","26188","7905","39527","1.Bansphor","2","2.Dugla etc.","2","3.Patni","1","1.Buddhists","38410","2.Christians","32877","3.Hindus","1910","1.Chakma","38054","2.Pawi","20554","3.Any Kuki Tribes etc.","5267","No Urban Area",NA,NA,NA,NA,NA,"139","139","42","27","27","-","134","40","13","1","24","4","20","30","16","18","51","17.3","12.2","70.5"
"8","Mizoram","District Saiha * (08), Mizoram (15)","61056","31242","29814","33.16","41230","19826","12","0.02","11109","5","954","961","58742","96.21","40983","21990","18993","82.19","86.11","78.07","40983","1389","15322","11250","6806","5186","1026","7710","16888","33484","2974","26981","20754","6227","34075","1.Patni","4","2.Bhuinmali etc.","3","3.Brittial Bania etc.","3","1.Christians","59618","2.Hindus","1112","3.Muslims","209","1.Lakher","35058","2.Pawi","19211","3.Any Mizo (Lushai) tribes etc.","3001","1.Saiha * (NT)","19826",NA,NA,NA,NA,"68","68","1","26","26","-","67","51","20","-","28","6","22","33","14","7","55","28","39.3","32.5"
"9","Mizoram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Mizoram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
