"","State","District","Persons","Males","Females","Growth (1991 - 2001)","Rural","Urban","Scheduled Caste population","Percentage - SC to total","Number of households","Household size (per household)","Sex ratio (females per 1000 males)","Sex ratio (0-6 years)","Scheduled Tribe population","Percentage to total population (ST)","Persons- literate","Males- Literate","Females- Literate","Persons- literacy rate","Males- Literatacy Rate","Females- Literacy Rate","Total Educated","Data without level","Below Primary","Primary","Middle","Matric/Higher Secondary/Diploma","Graduate and Above","0 - 4 years","5 - 14 years","15 - 59 years","60 years and above (Incl. A.N.S.)","Total workers","Main workers","Marginal workers","Non-workers","SC#1 Name","SC#1 Population","SC#2 Name","SC#2 Population","SC#3 Name","SC#3 Population","Religeon#1 Name","Religeon#1 Population","Religeon#2 Name","Religeon#2 Population","Religeon#3 Name","Religeon#3 Population","ST#1 Name","ST#1 Population","ST#2 Name","ST#2 Population","ST#3 Name","ST#3 Population","Imp Town#1 Name","Imp Town#1 Population","Imp Town#2 Name","Imp Town#2 Population","Imp Town#3 Name","Imp Town#3 Population","Total Inhabited Villages","Drinking water facilities","Safe Drinking water","Electricity (Power Supply)","Electricity (domestic)","Electricity (Agriculture)","Primary school","Middle schools","Secondary/Sr Secondary schools","College","Medical facility","Primary Health Centre","Primary Health Sub-Centre","Post, telegraph and telephone facility","Bus services","Paved approach road","Mud approach road","Permanent House","Semi-permanent House","Temporary House"
"1","Nagaland","District Mon (01), Nagaland (13)","260652","138753","121899","73.42","244062","16590","-","-","34922","7","879","973","244821","93.93","92726","55404","37322","41.83","46.56","36.35","92726","2682","27745","31478","17350","12159","1310","25163","71182","147364","16943","130848","108206","22642","129804","No Scheduled Castes in this area",NA,NA,NA,NA,NA,"1.Christians","248684","2.Hindus","9963","3.Muslims","1748","1.Naga etc.","244437","2.Konyak","239010","3.Naga **","1993","1.Mon Town (TC)","16590",NA,NA,NA,NA,"110","110","106","102","102","-","107","60","13","-","69","14","9","29","58","51","92","4.9","15.5","79.2"
"2","Nagaland","District Tuensang (02), Nagaland (13)","414818","218678","196140","78.1","385046","29772","-","-","60780","7","897","957","398350","96.03","180186","103932","76254","50.64","55.12","45.58","180186","8279","37805","54957","37755","37510","3871","37085","119069","237662","21002","184924","156950","27974","229894","No Scheduled Castes in this area",NA,NA,NA,NA,NA,"1.Christians","406287","2.Hindus","6856","3.Muslims","1329","1.Naga etc.","396919","2.Phom","112665","3.Sangtam","79315","1.Tuensang (TC)","29772",NA,NA,NA,NA,"251","251","234","238","235","8","230","111","40","4","123","32","4","56","91","85","179","2.1","51.1","46.8"
"3","Nagaland","District Mokokchung (03), Nagaland (13)","232085","120929","111156","43.48","200871","31214","-","-","37330","6","919","988","217653","93.78","174982","93833","81149","83.92","86.03","81.61","174982","4189","28031","44197","39682","49330","9493","14662","54614","148477","14332","109260","82160","27100","122825","No Scheduled Castes in this area",NA,NA,NA,NA,NA,"1.Christians","219282","2.Hindus","10433","3.Muslims","2128","1.Naga etc.","217451","2.Ao","189305","3.Naga **","20245","1.Mokokchung (TC)","31214",NA,NA,NA,NA,"102","101","91","97","94","-","99","58","27","2","82","18","8","54","81","76","82","13.8","63.9","22.3"
"4","Nagaland","District Zunheboto (04), Nagaland (13)","153955","79056","74899","61","130874","23081","-","-","26610","6","947","944","147915","96.08","89139","48707","40432","69.28","73.74","64.57","89139","3287","16972","24222","18748","21949","3936","16331","44573","86039","7012","56783","47491","9292","97172","No Scheduled Castes in this area",NA,NA,NA,NA,NA,"1.Christians","150097","2.Hindus","3193","3.Muslims","492","1.Naga etc.","147559","2.Sema","132776","3.Naga **","7765","1.Zunheboto (TC)","23081",NA,NA,NA,NA,"187","186","180","187","187","-","178","44","17","-","57","8","1","30","96","147","143","7.2","75.6","17.3"
"5","Nagaland","District Wokha (05), Nagaland (13)","161223","83670","77553","95.01","123587","37636","-","-","25899","6","927","984","153983","95.51","112198","61979","50219","80.55","85.35","75.32","112198","2119","21182","30603","23216","29080","5988","13963","45765","95341","6154","56254","49679","6575","104969","No Scheduled Castes in this area",NA,NA,NA,NA,NA,"1.Christians","155009","2.Hindus","4787","3.Muslims","1209","1.Naga etc.","153209","2.Lotha","131203","3.Naga **","17701","1.Wokha (TC)","37636",NA,NA,NA,NA,"128","128","114","105","104","-","104","32","13","1","67","8","1","24","29","47","98","20.7","58.5","20.8"
"6","Nagaland","District Dimapur * (06), Nagaland (13)","309024","166663","142361","73.3","194424","114600","-","-","58077","5","854","969","187574","60.7","201350","115767","85583","76.82","81.05","71.76","201350","4322","39415","49270","38531","55305","14448","31111","80878","186506","10529","103306","87581","15725","205718","No Scheduled Castes in this area",NA,NA,NA,NA,NA,"1.Christians","189098","2.Hindus","91885","3.Muslims","24706","1.Naga etc.","170434","2.Sema","78906","3.Ao","27704","1.Dimapur (TC)","98096","2.Chumukedima (CT)","16504",NA,NA,"216","215","201","178","176","1","185","57","24","7","90","3","9","100","91","112","181","31.6","29.4","38.9"
"7","Nagaland","District Kohima (07), Nagaland (13)","310084","162251","147833","49.96","233054","77030","-","-","55565","6","911","967","280753","90.54","196180","111146","85034","74.54","80.3","68.15","196180","6283","37792","49001","37627","50543","14916","31178","81747","184376","12783","135023","114456","20567","175061","No Scheduled Castes in this area",NA,NA,NA,NA,NA,"1.Christians","278844","2.Hindus","21950","3.Others","5457","1.Naga etc.","269508","2.Angami","96302","3.Zeliang","69624","1.Kohima (TC)","77030",NA,NA,NA,NA,"180","179","150","148","146","-","164","65","33","5","82","18","5","62","97","115","92","29.3","53.4","17.3"
"8","Nagaland","District Phek (08), Nagaland (13)","148195","77141","71054","45.12","135331","12864","-","-","28874","5","921","925","142977","96.48","85562","49433","36129","70.65","78.37","62.26","85562","1306","20710","26792","16874","16296","3549","18167","42921","80795","6312","71398","57454","13944","76797","No Scheduled Castes in this area",NA,NA,NA,NA,NA,"1.Christians","143048","2.Hindus","4095","3.Muslims","517","1.Naga etc.","142175","2.Chakhesang","121867","3.Pochury","15530","1.Phek (TC)","12864",NA,NA,NA,NA,"104","104","103","102","101","-","102","55","22","1","54","19","6","20","56","58","84","11.7","79.4","8.9"
"9","Nagaland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Nagaland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
