"","State","District","Persons","Males","Females","Growth (1991 - 2001)","Rural","Urban","Scheduled Caste population","Percentage - SC to total","Number of households","Household size (per household)","Sex ratio (females per 1000 males)","Sex ratio (0-6 years)","Scheduled Tribe population","Percentage to total population (ST)","Persons- literate","Males- Literate","Females- Literate","Persons- literacy rate","Males- Literatacy Rate","Females- Literacy Rate","Total Educated","Data without level","Below Primary","Primary","Middle","Matric/Higher Secondary/Diploma","Graduate and Above","0 - 4 years","5 - 14 years","15 - 59 years","60 years and above (Incl. A.N.S.)","Total workers","Main workers","Marginal workers","Non-workers","SC#1 Name","SC#1 Population","SC#2 Name","SC#2 Population","SC#3 Name","SC#3 Population","Religeon#1 Name","Religeon#1 Population","Religeon#2 Name","Religeon#2 Population","Religeon#3 Name","Religeon#3 Population","ST#1 Name","ST#1 Population","ST#2 Name","ST#2 Population","ST#3 Name","ST#3 Population","Imp Town#1 Name","Imp Town#1 Population","Imp Town#2 Name","Imp Town#2 Population","Imp Town#3 Name","Imp Town#3 Population","Total Inhabited Villages","Drinking water facilities","Safe Drinking water","Electricity (Power Supply)","Electricity (domestic)","Electricity (Agriculture)","Primary school","Middle schools","Secondary/Sr Secondary schools","College","Medical facility","Primary Health Centre","Primary Health Sub-Centre","Post, telegraph and telephone facility","Bus services","Paved approach road","Mud approach road","Permanent House","Semi-permanent House","Temporary House"
"1","Orrisa","District Bargarh","1346336","681500","664836","11.47","1242795","103541","260719","19.37","296514","5","976","957","260691","19.36","749820","458534","291286","63.99","77.41","50.26","749820","15117","245140","249457","93408","118362","28280","119279","290084","803080","133893","593530","384710","208820","752806","1.Ganda","142923","2.Dewar","44533","3.Dhoba etc.","16756","1.Hindus","1327967","2.Christians","10121","3.Muslims","6758","1.Saora etc.","97726","2.Binjhal","71610","3.Gond etc.","32173","1.Bargarh (M)","63678","2.Barapali (NAC)","19157","3.Padmapur (NAC)","15442","1180","1180","1180","1154","760","135","1134","461","287","28","229","52","201","825","368","531","1067","24.7","47.3","28"
"2","Orrisa","District Jharsuguda","509716","261941","247775","15.13","323831","185885","87011","17.07","106839","5","946","948","159757","31.34","312880","187019","125861","70.65","82.16","58.48","312880","6565","89339","90669","43070","66985","16249","44550","115812","306507","42847","189593","133148","56445","320123","1.Ganda","41466","2.Chamar etc.","11268","3.Dewar","9076","1.Hindus","490127","2.Muslims","9498","3.Christians","8485","1.Kisan","48219","2.Gond etc.","43230","3.Munda etc.","15778","1.Brajarajnagar (M)","76959","2.Jharsuguda (M)","76100","3.Belpahar (NAC)","32826","346","346","346","335","158","17","321","127","84","11","65","18","52","269","106","163","342","34.9","51.5","13.6"
"3","Orrisa","District Sambalpur (03), Orissa (21)","935613","475122","460491","14.17","681835","253778","159453","17.04","202247","5","969","959","322770","34.5","544861","324711","220150","67.25","78.99","55.16","544861","12490","163395","157269","69036","105367","37291","84368","209180","561225","80840","421346","282174","139172","514267","1.Ganda","64925","2.Pan Pano","19390","3.Dewar","17274","1.Hindus","873795","2.Christians","38786","3.Muslims","19438","1.Kisan","89802","2.Munda etc.","56532","3.Gond etc.","55290","1.Sambalpur (M)","153643","2.Burla (NAC)","39204","3.Hirakud (NAC)","26394","1238","1238","1237","1037","718","74","825","294","188","21","166","32","131","406","348","362","1139","33","44.3","22.7"
"4","Orrisa","District Debagarh","274108","138408","135700","17.02","254012","20096","42117","15.37","58324","5","980","956","92103","33.6","139877","85620","54257","60.36","73.33","47.18","139877","2002","42254","46515","17816","25246","6030","28645","65367","157710","22386","126260","69848","56412","147848","1.Pan Pano","20717","2.Dhoba etc.","6096","3.Dewar","3109","1.Hindus","261544","2.Christians","11216","3.Muslims","1055","1.Kisan","24337","2.Munda etc.","16407","3.Gond etc.","14445","1.Debagarh (M)","20096",NA,NA,NA,NA,"711","711","706","307","267","52","487","178","83","10","41","9","34","170","248","419","633","34.7","23.7","41.6"
"5","Orrisa","District Sundargarh (05), Orissa (21)","1830673","935601","895072","16.26","1201479","629194","157745","8.62","394060","5","957","969","918903","50.19","1015485","603510","411975","64.86","75.34","53.88","1015485","13571","246925","266849","157537","255929","74647","176912","434316","1092442","127003","738803","480134","258669","1091870","1.Ganda","34028","2.Pan Pano","27715","3.Dhoba etc.","12130","1.Hindus","1431762","2.Christians","308476","3.Muslims","61873","1.Oraon","248538","2.Munda etc.","194422","3.Kisan","133814","1.Raurkela (M)","224987","2.Raurkela Industrial Township (IT2S0)6,693",NA,"3.Rajagangapur (M)","43594","1723","1723","1719","1220","733","132","1436","523","270","23","345","61","308","471","494","639","1584","39.1","54.6","6.2"
"6","Orrisa","District Kendujhar (06), Orissa (21)","1561990","790036","771954","16.79","1348967","213023","181488","11.62","326784","5","977","961","695141","44.5","780918","479337","301581","59.24","71.99","46.22","780918","17751","220226","216473","129539","153161","43741","162527","385830","906767","106866","621226","395160","226066","940764","1.Pan Pano","106662","2.Dhoba etc.","25774","3.Dom etc.","7344","1.Hindus","1525874","2.Muslims","20390","3.Others","6750","1.Kolha","175233","2.Bhuiya etc.","88935","3.Gond etc.","76071","1.Barbil (M)","52627","2.Kendujhar (M)","51845","3.Joda (M)","38689","2069","2062","2041","1415","1237","87","1677","757","495","35","374","60","296","684","535","956","1789","20.3","32.2","47.5"
"7","Orrisa","District Mayurbhanj (07), Orissa (21)","2223456","1123200","1100256","17.89","2067756","155700","170835","7.68","472123","5","980","955","1258459","56.6","964860","616003","348857","51.91","65.76","37.84","964860","18360","279035","257013","167052","189667","53696","237210","566574","1257071","162601","1027797","618457","409340","1195659","1.Patial etc.","36626","2.Dhoba etc.","26326","3.Dom etc.","20561","1.Hindus","1859639","2.Others","325847","3.Muslims","26437","1.Santal","565268","2.Kolha","218886","3.Bhumij","153308","1.Baripada (M)","95004","2.Rairangpur (NAC)","21896","3.Karanjia (NAC)","21441","3748","3746","3658","2234","1939","246","2681","889","486","32","561","88","498","768","870","1554","3226","12.8","26.7","60.5"
"8","Orrisa","District Baleshwar (08), Orissa (21)","2024508","1036511","987997","19.24","1804140","220368","381422","18.84","403653","5","953","943","228454","11.28","1219495","722244","497251","70.56","81.69","58.9","1219495","12810","352280","365601","177018","235371","76372","193943","495987","1172333","162245","645133","483345","161788","1379375","1.Kandra etc.","79037","2.Pan Pano","59984","3.Gokha","58300","1.Hindus","1937765","2.Muslims","76270","3.Christians","5967","1.Santal","84713","2.Bhumij","59281","3.Kolha","40194","1.Baleshwar (M)","106082","2.Remuna (NAC)","29072","3.Soro (NAC)","27794","2587","2587","2585","2314","1406","610","1782","1125","586","52","298","71","223","835","406","1037","2341","11.8","18.6","69.6"
"9","Orrisa","District Bhadrak","1333749","675642","658107","20.47","1192678","141071","286723","21.5","238888","6","974","942","25141","1.88","842855","487993","354862","73.86","84.65","62.85","842855","11595","234531","264062","124330","161403","46921","125928","328765","763577","115479","385119","301570","83549","948630","1.Pan Pano","105431","2.Gokha","72793","3.Dhoba etc.","35172","1.Hindus","1248486","2.Muslims","83993","3.Religion not stated","622","1.Kolha","8029","2.Munda etc.","5900","3.Santal","3202","1.Bhadrak (M)","92515","2.Basudebpur (NAC)","30006","3.Dhamanagar (NAC)","18550","1243","1243","1243","973","672","195","954","547","318","10","203","46","151","537","307","421","1136","8.4","6.1","85.6"
"10","Orrisa","District Kendrapara * (10), Orissa (21)","1302005","646438","655567","13.25","1227868","74137","267186","20.52","271475","5","1014","940","6822","0.52","865643","484580","381063","76.81","87.11","66.76","865643","9907","238908","253080","139242","180835","43620","116394","302038","741962","141611","388296","293565","94731","913709","1.Kandra etc.","114660","2.Dewar","34847","3.Dhoba etc.","31353","1.Hindus","1257156","2.Muslims","43394","3.Christians","966","1.Santal","1901","2.Shabar","1258","3.Munda etc.","762","1.Kendrapara (M)","41407","2.Pattamundai (NAC)","32730",NA,NA,"1407","1407","1399","1189","962","210","1109","623","371","34","236","46","207","1078","263","488","1338","14.3","4.2","81.5"
