"","State","District","Persons","Males","Females","Growth (1991 - 2001)","Rural","Urban","Scheduled Caste population","Percentage - SC to total","Number of households","Household size (per household)","Sex ratio (females per 1000 males)","Sex ratio (0-6 years)","Scheduled Tribe population","Percentage to total population (ST)","Persons- literate","Males- Literate","Females- Literate","Persons- literacy rate","Males- Literatacy Rate","Females- Literacy Rate","Total Educated","Data without level","Below Primary","Primary","Middle","Matric/Higher Secondary/Diploma","Graduate and Above","0 - 4 years","5 - 14 years","15 - 59 years","60 years and above (Incl. A.N.S.)","Total workers","Main workers","Marginal workers","Non-workers","SC#1 Name","SC#1 Population","SC#2 Name","SC#2 Population","SC#3 Name","SC#3 Population","Religeon#1 Name","Religeon#1 Population","Religeon#2 Name","Religeon#2 Population","Religeon#3 Name","Religeon#3 Population","ST#1 Name","ST#1 Population","ST#2 Name","ST#2 Population","ST#3 Name","ST#3 Population","Imp Town#1 Name","Imp Town#1 Population","Imp Town#2 Name","Imp Town#2 Population","Imp Town#3 Name","Imp Town#3 Population","Total Inhabited Villages","Drinking water facilities","Safe Drinking water","Electricity (Power Supply)","Electricity (domestic)","Electricity (Agriculture)","Primary school","Middle schools","Secondary/Sr Secondary schools","College","Medical facility","Primary Health Centre","Primary Health Sub-Centre","Post, telegraph and telephone facility","Bus services","Paved approach road","Mud approach road","Permanent House","Semi-permanent House","Temporary House"
"1","Punjab","District Gurdaspur (01), Punjab (03)","2104011","1113077","990934","19.33","1568788","535223","520691","24.75","366025","6","890","788","-","-","1345447","763030","582417","73.77","79.78","67.15","1345447","21230","223419","333312","236226","461359","69513","188524","480716","1233042","201729","700557","568322","132235","1403454","1.Dumna etc.","146514","2.Chamar etc.","131362","3.Mazhabi","128661","1.Hindus","996246","2.Sikhs","934963","3.Christians","148981","No Scheduled Tribes in this area",NA,NA,NA,NA,NA,"1.Pathankot (M Cl)","157925","2.Batala (M Cl)","125677","3.Gurdaspur (M Cl)","67479","1532","1531","1531","1532","-","-","1375","443","269","7","517","82","7","1111","1153","1474","581","85.3","10.8","3.9"
"2","Punjab","District Amritsar (02), Punjab (03)","3096077","1650589","1445488","22.72","1872802","1223275","891164","28.78","541339","6","876","789","-","-","1793999","1024448","769551","67.27","72.61","61.26","1793999","36625","330327","440311","281407","588144","116805","286056","727605","1799007","283409","1112200","938100","174100","1983877","1.Mazhabi","730851","2.Sansi etc.","34207","3.Balmiki etc.","33421","1.Sikhs","2383575","2.Hindus","648284","3.Christians","51948","No Scheduled Tribes in this area",NA,NA,NA,NA,NA,"1.Amritsar (M Corp.)","966862","2.Tarn-Taran (M Cl)","55787","3.Patti (M Cl)","34444","1185","1151","1151","1185","-","-","1114","611","307","9","696","154","26","1123","992","1102","434","83","10.8","6.2"
"3","Punjab","District Kapurthala (03), Punjab (03)","754521","399623","354898","16.34","507994","246527","225787","29.92","136664","6","888","784","-","-","487554","273723","213831","73.93","79.02","68.29","487554","7382","81344","120637","86011","160506","31470","63447","168504","447642","74928","262741","231222","31519","491780","1.Balmiki etc.","91201","2.Ad Dharmi","73177","3.Mazhabi","33631","1.Sikhs","448654","2.Hindus","286438","3.Buddhists","7740","No Scheduled Tribes in this area",NA,NA,NA,NA,NA,"1.Phagwara (M Cl)","95788","2.Kapurthala (M Cl)","85686","3.Sultanpur (M Cl)","15571","618","618","618","618","-","-","478","194","123","1","359","11","47","604","298","525","163","93.7","4.4","1.9"
"4","Punjab","District Jalandhar (04), Punjab (03)","1962700","1040177","922523","18.4","1030717","931983","739762","37.69","364030","5","887","805","-","-","1352044","752915","599129","78.04","82.49","73.08","1352044","17704","209338","321830","229657","449212","123954","154749","413991","1206116","187844","676835","599324","77511","1285865","1.Ad Dharmi","389601","2.Balmiki etc.","192161","3.Chamar etc.","53303","1.Hindus","1158868","2.Sikhs","740841","3.Christians","22106","No Scheduled Tribes in this area",NA,NA,NA,NA,NA,"1.Jalandhar (M Corp.)","706043","2.Jalandhar Cantt. (CB)","40531","3.Nakodar (M Cl)","31408","934","934","934","934","-","-","832","361","230","7","598","29","42","903","703","934","208","92.7","5.4","1.9"
"5","Punjab","District Hoshiarpur (05), Punjab (03)","1480736","765132","715604","13.81","1188662","292074","507544","34.28","279904","5","935","812","-","-","1050378","573589","476789","81.02","86.45","75.32","1050378","9400","175253","267773","196060","347343","54347","126077","320421","870131","164107","513351","415123","98228","967385","1.Ad Dharmi","363818","2.Balmiki etc.","47538","3.Chamar etc.","38429","1.Hindus","871923","2.Sikhs","574862","3.Muslims","15394","No Scheduled Tribes in this area",NA,NA,NA,NA,NA,"1.Hoshiarpur (M Cl)","149668","2.Talwara (CT)","22574","3.Urmar Tanda (M Cl)","22048","1386","1386","1361","1386","-","-","1232","332","235","5","382","38","176","1092","827","1292","547","91.9","5.8","2.4"
"6","Punjab","District Nawanshahr * (06), Punjab (03)","587468","306902","280566","10.43","506402","81066","237664","40.46","107763","5","914","808","-","-","394429","221584","172845","76.43","82.86","69.52","394429","5273","72248","113131","71063","117099","15552","48267","128195","347024","63982","263698","238405","25293","323770","1.Ad Dharmi","203385","2.Balmiki etc.","15493","3.Chamar etc.","9375","1.Hindus","356710","2.Sikhs","219856","3.Buddhists","5005","No Scheduled Tribes in this area",NA,NA,NA,NA,NA,"1.Nawanshahr (M Cl)","30999","2.Banga (M Cl)","18809","3.Balachaur (NP)","18156","465","465","465","465","-","-","414","200","154","9","210","23","21","416","399","325","163","95.5","3.3","1.2"
"7","Punjab","District Rupnagar (07), Punjab (03)","1116108","596582","519526","23.39","753701","362407","266672","23.89","205954","5","871","794","-","-","760067","434213","325854","78.08","83.97","71.4","760067","7652","127017","188319","127864","241745","67260","96371","244872","667831","107034","437343","397119","40224","678765","1.Chamar etc.","177836","2.Balmiki etc.","51230","3.Kabirpanthi etc.","7534","1.Sikhs","635651","2.Hindus","452419","3.Muslims","22600","No Scheduled Tribes in this area",NA,NA,NA,NA,NA,"1.S.A.S.Nagar (Mohali ) (M Cl)","123484","2.Rupnagar (M Cl)","49159","3.Nangal (M Cl)","40694","864","864","864","864","-","-","785","278","212","5","496","18","67","773","652","772","246","88.2","8.1","3.7"
"8","Punjab","District Fatehgarh Sahib * (08), Punjab (03)","538041","290137","247904","18.65","386950","151091","165036","30.67","93414","6","854","766","-","-","347364","197686","149678","73.65","78.27","68.31","347364","4502","61585","98165","63487","102297","17270","44830","116853","325129","51229","206139","182020","24119","331902",NA,"105250",NA,"30309",NA,"11677",NA,"401172",NA,"122656",NA,"12789","No Scheduled Tribes in this area",NA,NA,NA,NA,NA,NA,"55403",NA,"49825","(M Cl)","19058","442","442","442","442","-","-","419","129","103","-","171","11","24","244","356","442","-","91","7","2.1"
"9","Punjab","District Ludhiana (09), Punjab (03)","3032831","1662716","1370115","24.79","1339178","1693653","757962","24.99","558650","5","824","816","-","-","2036278","1170514","865764","76.5","80.25","71.95","2036278","35142","322639","490418","345583","664797","177203","249762","644346","1879895","258828","1149638","1041517","108121","1883193","1.Chamar etc.","476581","2.Mazhabi","120129","3.Balmiki etc.","74794","1.Sikhs","1744446","2.Hindus","1205128","3.Muslims","52220","No Scheduled Tribes in this area",NA,NA,NA,NA,NA,"1.Ludhiana (M Corp.)","1398467","2.Khanna (M Cl)","103099","3.Jagraon (M Cl)","60080","897","897","897","897","-","-","842","450","291","15","550","72","25","772","824","896","168","93.1","4.5","2.4"
"10","Punjab","District Moga * (10), Punjab (03)","894854","474139","420715","13.93","716214","178640","284939","31.84","153744","6","887","818","-","-","494525","278962","215563","63.52","68.01","58.52","494525","9172","103696","141484","82548","137872","19640","77989","203769","519736","93360","358763","302602","56161","536091","1.Mazhabi","221029","2.Chamar etc.","29918","3.Bauria etc.","16799","1.Sikhs","767769","2.Hindus","117786","3.Muslims","5994","No Scheduled Tribes in this area",NA,NA,NA,NA,NA,"1.Moga (M Cl)","125573","2.Bhagha Purana (NP)","21596","3.Dharamkot (M Cl)","15399","321","321","321","321","-","-","297","205","187","12","225","32","74","284","230","321","103","87.3","7.6","5.1"
