"","State","District","Persons","Males","Females","Growth (1991 - 2001)","Rural","Urban","Scheduled Caste population","Percentage - SC to total","Number of households","Household size (per household)","Sex ratio (females per 1000 males)","Sex ratio (0-6 years)","Scheduled Tribe population","Percentage to total population (ST)","Persons- literate","Males- Literate","Females- Literate","Persons- literacy rate","Males- Literatacy Rate","Females- Literacy Rate","Total Educated","Data without level","Below Primary","Primary","Middle","Matric/Higher Secondary/Diploma","Graduate and Above","0 - 4 years","5 - 14 years","15 - 59 years","60 years and above (Incl. A.N.S.)","Total workers","Main workers","Marginal workers","Non-workers","SC#1 Name","SC#1 Population","SC#2 Name","SC#2 Population","SC#3 Name","SC#3 Population","Religeon#1 Name","Religeon#1 Population","Religeon#2 Name","Religeon#2 Population","Religeon#3 Name","Religeon#3 Population","ST#1 Name","ST#1 Population","ST#2 Name","ST#2 Population","ST#3 Name","ST#3 Population","Imp Town#1 Name","Imp Town#1 Population","Imp Town#2 Name","Imp Town#2 Population","Imp Town#3 Name","Imp Town#3 Population","Total Inhabited Villages","Drinking water facilities","Safe Drinking water","Electricity (Power Supply)","Electricity (domestic)","Electricity (Agriculture)","Primary school","Middle schools","Secondary/Sr Secondary schools","College","Medical facility","Primary Health Centre","Primary Health Sub-Centre","Post, telegraph and telephone facility","Bus services","Paved approach road","Mud approach road","Permanent House","Semi-permanent House","Temporary House"
"1","Rajasthan","District Ganganagar (01), Rajasthan (08)","1789423","955378","834045","27.53","1336066","453357","603371","33.72","303107","6","873","849","14744","0.82","965445","599877","365568","64.74","75.53","52.44","965445","37594","282038","272986","159919","166798","46110","201479","462632","1009321","115991","719792","552559","167233","1069631","1.Thori etc.","174532","2.Megh etc.","132516","3.Baori","96394","1.Hindus","1299812","2.Sikhs","441409","3.Muslims","42442","1.Dhanka etc.","10496","2.Mina","2024","3.Bhil etc.","1051","1.Ganganagar (M Cl)","210713","2.Suratgarh (M)","58119","3.Anupgarh (M)","29565","2830","2820","2221","1817","880","210","1653","536","129","-","654","47","203","1330","1500","1812","2411","41.9","5.4","52.7"
"2","Rajasthan","District Hanumangarh * (02), Rajasthan (08)","1518005","801486","716519","24.34","1214467","303538","396646","26.13","247838","6","894","871","10029","0.66","795660","499697","295963","63.05","75.18","49.56","795660","44666","275091","218570","120271","113206","23856","174358","405071","842316","96260","628311","491225","137086","889694","1.Megh etc.","109092","2.Thori etc.","75656","3.Chamar etc.","55436","1.Hindus","1227688","2.Sikhs","192007","3.Muslims","94614","1.Dhanka etc.","7007","2.Mina","2375","3.Naikda etc.","426","1.Hanumangarh (M)","129556","2.Nohar (M)","42309","3.Bhadra (M)","35141","1773","1773","1481","1221","689","352","759","376","161","2","355","32","114","681","765","1070","1530","40.9","8.2","50.3"
"3","Rajasthan","District Bikaner (03), Rajasthan (08)","1674271","886075","788196","38.18","1079235","595036","334242","19.96","248960","7","890","916","5945","0.36","766862","501257","265605","56.91","70.05","42.03","766862","33572","231180","197222","125597","131025","48265","223691","457699","894893","97988","661457","522482","138975","1012814","1.Megh etc.","177416","2.Thori etc.","76481","3.Bhangi etc.","17249","1.Hindus","1445088","2.Muslims","172372","3.Jains","31235","1.Mina","2584","2.Bhil etc.","1982","3.Naikda etc.","927","1.Bikaner (M CI)","529690","2.Nokha (M)","49688","3.Deshnoke (M)","15658","712","686","552","485","209","32","611","277","66","-","173","31","94","289","427","446","451","59.6","3.9","36.5"
"4","Rajasthan","District Churu (04), Rajasthan (08)","1923878","987781","936097","24.6","1387682","536196","407207","21.17","290619","7","948","911","10063","0.52","1028880","627121","401759","66.81","79.69","53.35","1028880","155538","394344","233275","125205","98989","21529","263566","549096","983945","127271","853899","587431","266468","1069979","1.Megh etc.","162252","2.Chamar etc.","91156","3.Thori etc.","79843","1.Hindus","1698106","2.Muslims","210446","3.Jains","13882","1.Mina","9173","2.Dhanka etc.","721","3.Naikda etc.","73","1.Churu (M)","97648","2.Sujangarh (M)","83846","3.Sardarshahar (M)","81394","946","925","897","877","401","92","909","488","181","-","423","60","265","628","591","573","516","77","6.8","15.9"
"5","Rajasthan","District Jhunjhunun (05), Rajasthan (08)","1913689","983526","930163","20.9","1518573","395116","309236","16.16","299391","6","946","862","36794","1.92","1152872","691728","461144","73.04","86.09","59.51","1152872","108783","383211","285006","182336","158524","35009","227101","530172","1013685","142731","760910","495148","265762","1152779","1.Chamar etc.","184594","2.Balai","38525","3.Thori etc.","31192","1.Hindus","1713599","2.Muslims","197707","3.Sikhs","1059","1.Mina","35340","2.Dhanka etc.","1171","3.Naikda etc.","184","1.Jhunjhunun (M)","100485","2.Nawalgarh (M)","56491","3.Chirawa (M)","37227","855","855","855","848","170","160","843","485","257","3","378","63","241","672","563","579","688","90.9","3.9","5.2"
"6","Rajasthan","District Alwar (06), Rajasthan (08)","2992592","1586752","1405840","30.23","2557653","434939","539036","18.01","461973","6","886","887","239905","8.02","1488281","998253","490028","61.74","78.09","43.28","1488281","61865","416188","397269","279773","258478","74707","395197","837273","1552587","207535","1458686","947587","511099","1533906","1.Chamar etc.","311147","2.Bairwa etc.","50219","3.Koli etc.","37468","1.Hindus","2535155","2.Muslims","383204","3.Sikhs","55530","1.Mina","232763","2.Dhanka etc.","6430","3.Bhil etc.","562","1.Alwar (M Cl)","260593","2.Bhiwadi (CT)","33877","3.Khairthal (M)","32005","1954","1954","1950","1843","678","625","1811","736","269","-","553","55","196","1019","589","1244","1177","82.5","5.2","12.3"
"7","Rajasthan","District Bharatpur (07), Rajasthan (08)","2101142","1133425","967717","27.05","1692182","408960","455891","21.7","313897","7","854","878","47077","2.24","1063582","729301","334281","63.57","80.54","43.56","1063582","78057","370558","259166","181635","136521","37645","288703","609309","1061589","141541","852913","573547","279366","1248229","1.Chamar etc.","349771","2.Koli etc.","45530","3.Bhangi etc.","16978","1.Hindus","1804599","2.Muslims","264709","3.Sikhs","23472","1.Mina","46684","2.Bhil etc.","342","3.Naikda etc.","51","1.Bharatpur (M Cl)","204587","2.Deeg (M)","40859","3.Bayana (M)","33716","1366","1365","1364","1238","582","213","1298","511","174","-","481","49","130","730","296","824","786","81.4","6.5","12"
"8","Rajasthan","District Dhaulpur (08), Rajasthan (08)","983258","538103","445155","31.13","806640","176618","197895","20.13","142256","7","827","859","47612","4.84","458782","315121","143661","60.13","75.09","41.84","458782","25731","186508","119366","67696","46894","12585","148673","297901","479836","56848","429314","273184","156130","553944","1.Chamar etc.","135022","2.Koli etc.","25352","3.Dhobi","15694","1.Hindus","918158","2.Muslims","60125","3.Jains","2685","1.Mina","47138","2.Kathodi etc.","148","3.Seharia etc.","138","1.Dhaulpur (M)","92308","2.Bari (M)","50474","3.Rajakhera (M)","28349","786","786","785","521","272","141","723","229","63","-","207","21","62","289","154","443","376","76.3","6.2","17.6"
"9","Rajasthan","District Karauli * (09), Rajasthan (08)","1209665","651998","557667","29.96","1037720","171945","280132","23.16","180512","7","855","873","270630","22.37","608672","412709","195963","63.38","79.54","44.39","608672","62398","230601","149450","84870","65042","16311","167825","351250","603063","87527","483110","355450","127660","726555","1.Chamar etc.","156285","2.Bairwa etc.","63209","3.Koli etc.","37264","1.Hindus","1138712","2.Muslims","66536","3.Jains","3760","1.Mina","269822","2.Bhil etc.","747","3.Bhil Mina","43","1.Hindaun (M)","84861","2.Karauli (M)","66239","3.Todabhim (M)","20845","755","754","753","555","160","158","695","317","120","-","285","19","109","348","260","449","500","76.9","20.6","2.5"
"10","Rajasthan","District Sawai Madhopur (10), Rajasthan (08)","1117057","591307","525750","27.44","904417","212640","223224","19.98","176738","6","889","901","241078","21.58","515913","365498","150415","56.67","75.74","35.17","515913","28834","153627","131165","94399","79537","28351","139068","309678","584937","83374","469164","366794","102370","647893","1.Bairwa etc.","106706","2.Chamar etc.","53415","3.Koli etc.","27021","1.Hindus","978292","2.Muslims","126145","3.Jains","10660","1.Mina","240092","2.Bhil etc.","816","3.Seharia etc.","69","1.Sawai Madhopur (M)","97493","2.Gangapur City (M)","96845","3.Mahu Kalan (CT)","8551","718","718","717","563","221","173","652","259","85","2","238","26","107","383","215","311","393","65.4","28.4","6.2"
