"","State","District","Persons","Males","Females","Growth (1991 - 2001)","Rural","Urban","Scheduled Caste population","Percentage - SC to total","Number of households","Household size (per household)","Sex ratio (females per 1000 males)","Sex ratio (0-6 years)","Scheduled Tribe population","Percentage to total population (ST)","Persons- literate","Males- Literate","Females- Literate","Persons- literacy rate","Males- Literatacy Rate","Females- Literacy Rate","Total Educated","Data without level","Below Primary","Primary","Middle","Matric/Higher Secondary/Diploma","Graduate and Above","0 - 4 years","5 - 14 years","15 - 59 years","60 years and above (Incl. A.N.S.)","Total workers","Main workers","Marginal workers","Non-workers","SC#1 Name","SC#1 Population","SC#2 Name","SC#2 Population","SC#3 Name","SC#3 Population","Religeon#1 Name","Religeon#1 Population","Religeon#2 Name","Religeon#2 Population","Religeon#3 Name","Religeon#3 Population","ST#1 Name","ST#1 Population","ST#2 Name","ST#2 Population","ST#3 Name","ST#3 Population","Imp Town#1 Name","Imp Town#1 Population","Imp Town#2 Name","Imp Town#2 Population","Imp Town#3 Name","Imp Town#3 Population","Total Inhabited Villages","Drinking water facilities","Safe Drinking water","Electricity (Power Supply)","Electricity (domestic)","Electricity (Agriculture)","Primary school","Middle schools","Secondary/Sr Secondary schools","College","Medical facility","Primary Health Centre","Primary Health Sub-Centre","Post, telegraph and telephone facility","Bus services","Paved approach road","Mud approach road","Permanent House","Semi-permanent House","Temporary House"
"1","Sikkim","District North","41030","23414","17616","31.32","39782","1248","879","2.14","10921","4","752","995","21772","53.06","23572","15461","8111","67.21","75.69","55.39","23572","589","8674","5582","3788","4278","602","3916","10188","24387","2539","23542","17553","5989","17488","1.Kami (Nepali) etc.","590","2.Damai (Nepali)","262","3.Sarki (Nepali)","26","1.Buddhists","22603","2.Hindus","16128","3.Christians","1623","1.Lepcha","13539","2.Bhutia etc.","8230","3.Generic Tribes etc.","3","1.Mangan (NTA)","1248",NA,NA,NA,NA,"53","53","50","46","46","-","42","20","14","-","44","3","19","35","19","29","14","21.4","55.3","23.3"
"2","Sikkim","District West (02), Sikkim (11)","123256","63912","59344","25.48","121432","1824","5747","4.66","23244","5","929","965","23829","19.33","60628","35854","24774","58.8","66.82","50.11","60628","902","24670","17862","8690","7112","1365","13482","33890","68322","7562","53279","45407","7872","69977","1.Kami (Nepali) etc.","3961","2.Damai (Nepali)","1461","3.Sarki (Nepali)","294","1.Hindus","71886","2.Buddhists","33601","3.Others","9567","1.Bhutia etc.","14252","2.Lepcha","9575","3.Generic Tribes etc.","2","1.Nayabazar (NTA)","996","2.Gyalshing (NTA)","828",NA,NA,"121","121","121","115","115","-","107","60","33","-","86","7","40","71","84","89","54","28.9","50.6","20.5"
"3","Sikkim","District South (03), Sikkim (11)","131525","68241","63284","33.37","127579","3946","6262","4.76","25477","5","927","968","20483","15.57","74614","42895","31719","67.31","74.29","59.72","74614","1521","30474","20311","10169","9841","2292","13838","34901","75000","7786","69693","57367","12326","61832","1.Kami (Nepali) etc.","3935","2.Damai (Nepali)","1839","3.Sarki (Nepali)","282","1.Hindus","84213","2.Buddhists","31109","3.Christians","12757","1.Bhutia etc.","13876","2.Lepcha","6600","3.Generic Tribes etc.","7","1.Jorethang (NTA)","2967","2.Namchi (NTA)","979",NA,NA,"145","145","145","142","134","-","131","72","37","2","99","5","37","83","98","106","34","30.8","50.8","18.3"
"4","Sikkim","District East (04), Sikkim (11)","245040","132917","112123","37.17","192188","52852","14277","5.83","54581","4","844","950","45321","18.5","159521","94850","64671","74.67","81.2","66.8","159521","4668","45303","40720","25189","33463","10089","21033","57659","153257","13091","116529","92577","23952","128511","1.Kami (Nepali) etc.","9464","2.Damai (Nepali)","3886","3.Generic Castes etc.","408","1.Hindus","157321","2.Buddhists","64729","3.Christians","14502","1.Bhutia etc.","33950","2.Lepcha","10854","3.Generic Tribes etc.","517","1.Gangtok (NTA)","29354","2.Upper Tadong (CT)","14357","3.Singtam (NTA)","5432","131","131","128","125","69","-","112","69","50","1","100","7","45","97","74","88","37","48.4","40.1","11.4"
"5","Sikkim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Sikkim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Sikkim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Sikkim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Sikkim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Sikkim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
