"","State","District","Persons","Males","Females","Growth (1991 - 2001)","Rural","Urban","Scheduled Caste population","Percentage - SC to total","Number of households","Household size (per household)","Sex ratio (females per 1000 males)","Sex ratio (0-6 years)","Scheduled Tribe population","Percentage to total population (ST)","Persons- literate","Males- Literate","Females- Literate","Persons- literacy rate","Males- Literatacy Rate","Females- Literacy Rate","Total Educated","Data without level","Below Primary","Primary","Middle","Matric/Higher Secondary/Diploma","Graduate and Above","0 - 4 years","5 - 14 years","15 - 59 years","60 years and above (Incl. A.N.S.)","Total workers","Main workers","Marginal workers","Non-workers","SC#1 Name","SC#1 Population","SC#2 Name","SC#2 Population","SC#3 Name","SC#3 Population","Religeon#1 Name","Religeon#1 Population","Religeon#2 Name","Religeon#2 Population","Religeon#3 Name","Religeon#3 Population","ST#1 Name","ST#1 Population","ST#2 Name","ST#2 Population","ST#3 Name","ST#3 Population","Imp Town#1 Name","Imp Town#1 Population","Imp Town#2 Name","Imp Town#2 Population","Imp Town#3 Name","Imp Town#3 Population","Total Inhabited Villages","Drinking water facilities","Safe Drinking water","Electricity (Power Supply)","Electricity (domestic)","Electricity (Agriculture)","Primary school","Middle schools","Secondary/Sr Secondary schools","College","Medical facility","Primary Health Centre","Primary Health Sub-Centre","Post, telegraph and telephone facility","Bus services","Paved approach road","Mud approach road","Permanent House","Semi-permanent House","Temporary House"
"1","TN","District Thiruvallur (01), Tamil Nadu (33)","2754756","1397407","1357349","22.35","1254674","1500082","600858","21.81","633033","4","971","957","37858","1.37","1865707","1047763","817944","76.94","85.26","68.39","1865707","70150","246806","471224","361514","568109","147823","231935","516448","1795682","210691","1037097","850994","186103","1717659","1.Adi Dravida","555048","2.Arunthathiyar","13017","3.Generic Castes etc.","8527","1.Hindus","2476438","2.Christians","169719","3.Muslims","99408","1.Irular","24874","2.Kattunayakan","4547","3.Kondareddis","3163","1.Ambattur (M)","310967","2.Avadi (M)","229403","3.Tiruvottiyur (M)","212281","620","619","619","617","75","2","554","243","154","14","616","113","183","552","467","609","618","65","10.2","24.8"
"2","TN","District Chennai (02), Tamil Nadu (33)","4343645","2219539","2124106","9.76","-","4343645","598110","13.77","962213","5","957","972","6728","0.15","3336695","1799981","1536714","85.33","90.01","80.44","3336695","113528","332748","670347","570677","1108847","540339","299356","714994","2850178","479117","1488364","1380757","107607","2855281","1.Adi Dravida","531326","2.Adi Andhra","25320","3.Generic Castes etc.","15205","1.Hindus","3573356","2.Muslims","379206","3.Christians","331261","1.Kurumans","2035","2.Generic Tribes etc.","1262","3.Irular","823","1.Chennai (M Corp.)","4343645",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"87.2","7.2","5.6"
"3","TN","District Kancheepuram (03), Tamil Nadu (33)","2877468","1457242","1420226","18.84","1342502","1534966","721989","25.09","653241","4","975","960","26508","0.92","1952198","1088943","863255","76.85","84.73","68.79","1952198","213687","305858","517245","360999","435005","119364","236095","546963","1850102","244308","1144929","916295","228634","1732539","1.Adi Dravida","686816","2.Arunthathiyar","8274","3.Pallan","6259","1.Hindus","2583590","2.Christians","170416","3.Muslims","113666","1.Irular","20457","2.Kattunayakan","3091","3.Malakkuravan","1383","1.Kancheepuram (M)","153140","2.Alandur (M)","146287","3.Pallavaram (M)","144623","1035","1035","1035","1030","96","-","807","308","170","23","1032","112","279","841","769","938","1035","60.3","10.8","28.9"
"4","TN","District Vellore (04), Tamil Nadu (33)","3477317","1741083","1736234","15.09","2169319","1307998","714054","20.53","756365","5","997","942","63040","1.81","2203552","1245076","958476","72.36","81.99","62.79","2203552","53477","389836","719830","445813","509488","85081","303706","715737","2145484","312390","1427180","1172645","254535","2050137","1.Adi Dravida","627045","2.Arunthathiyar","69826","3.Valluvan","7029","1.Hindus","3016962","2.Muslims","350771","3.Christians","102477","1.Malayali","35543","2.Irular","15527","3.Kurumans","7505","1.Vellore (M)","177230","2.Ambur (M)","99624","3.Gudiyatham (M)","91452","789","783","783","758","82","83","729","369","246","8","756","80","105","715","673","718","403","58.1","11.6","30.3"
"5","TN","District Dharmapuri (05), Tamil Nadu (33)","2856300","1473597","1382703","16.66","2400354","455946","416951","14.6","638305","4","938","869","59549","2.08","1516221","906943","609278","61.39","71.6","50.65","1516221","42162","322248","501096","244353","344470","61860","273367","620592","1733596","228745","1413250","1188366","224884","1443050","1.Adi Dravida","324661","2.Arunthathiyar","47790","3.Kuravan etc.","9770","1.Hindus","2690698","2.Muslims","123469","3.Christians","39019","1.Malayali","31043","2.Irular","16756","3.Kurumans","7093","1.Hosur (M)","84394","2.Krishnagiri (M)","64587","3.Dharmapuri (M)","64496","1067","1064","1064","1061","387","358","876","391","324","8","995","71","333","1057","898","968","810","48.2","27.9","23.8"
"6","TN","District Tiruvannamalai (06), Tamil Nadu (33)","2186125","1095859","1090266","6.8","1785364","400761","467532","21.39","489055","4","995","947","72760","3.33","1297151","761403","535748","67.39","79.17","55.63","1297151","273676","219384","377565","202301","201644","22578","184509","447805","1339425","214386","1064783","829944","234839","1121342","1.Adi Dravida","426459","2.Arunthathiyar","30267","3.Valluvan","4263","1.Hindus","2041854","2.Muslims","78506","3.Christians","55180","1.Malayali","46061","2.Irular","19556","3.Malakkuravan","3310","1.Tiruvannamalai (M)","130567","2.Arani (M)","60815","3.Tiruvethipuram (M)","35201","1046","1037","1037","1031","105","94","948","378","214","8","1010","110","109","876","912","967","344","49.2","11.4","39.4"
"7","TN","District Viluppuram (07), Tamil Nadu (33)","2960373","1492442","1467931","6.83","2533456","426917","810931","27.39","635210","5","984","961","63920","2.16","1650528","977374","673154","63.8","75.06","52.38","1650528","58864","338585","574962","304065","327322","46718","266073","620406","1807864","266030","1445177","1125229","319948","1515196","1.Adi Dravida","781418","2.Arunthathiyar","17844","3.Valluvan","3885","1.Hindus","2726949","2.Christians","115745","3.Muslims","110120","1.Malayali","41670","2.Irular","16017","3.Kattunayakan","2930","1.Viluppuram (M)","95455","2.Tindivanam (M)","67737","3.Kallakkurichi (TP)","36793","1430","1428","1428","1407","319","299","1313","477","314","9","969","86","253","1274","1197","1315","776","37.3","9.2","53.4"
"8","TN","District Salem (08), Tamil Nadu (33)","3016346","1563633","1452713","16.28","1626162","1390184","475738","15.77","736562","4","929","850","103921","3.45","1734442","1021772","712670","65.09","74.39","55.2","1734442","55021","310903","553461","288840","420270","105892","243789","563159","1926719","282679","1454645","1279846","174799","1561701","1.Adi Dravida","194349","2.Arunthathiyar","140232","3.Paraiyan etc.","95321","1.Hindus","2883909","2.Muslims","77648","3.Christians","50450","1.Malayali","92287","2.Kondareddis","4562","3.Generic Tribes etc.","2752","1.Salem (M Corp.)","696760","2.Attur (M)","57519","3.Mettur (M)","53633","557","554","553","542","94","21","475","191","144","8","327","70","212","508","428","492","501","60.8","15.4","23.8"
"9","TN","District Namakkal","1493462","759551","733911","13.08","948230","545232","280776","18.8","394378","4","966","889","51416","3.44","903802","526412","377390","67.41","77.56","57","903802","47065","160791","280134","139098","222932","53738","105782","244481","968477","174722","842640","770940","71700","650822","1.Arunthathiyar","147388","2.Adi Dravida","55360","3.Pallan","44469","1.Hindus","1451966","2.Muslims","26907","3.Christians","13137","1.Malayali","50141","2.Irular","525","3.Malakkuravan","146","1.Tiruchengode (M)","80187","2.Kumarapalayam (M)","65868","3.Namakkal (M)","53055","371","371","368","367","165","186","334","130","125","10","211","48","129","367","348","357","365","61.4","16.8","21.7"
"10","TN","District Erode (10), Tamil Nadu (33)","2581500","1309278","1272222","10.94","1387537","1193963","422204","16.35","698405","4","972","939","17693","0.69","1521955","887907","634048","65.36","75.32","55.15","1521955","73915","289684","506636","245916","336318","69460","174934","402116","1709153","295297","1434405","1317991","116414","1147095","1.Chakkiliyan","162650","2.Madari","68509","3.Arunthathiyar","62585","1.Hindus","2443644","2.Muslims","77211","3.Christians","55414","1.Uraly","7856","2.Kondareddis","4233","3.Sholaga","3000","1.Erode (M)","150541","2.Veerappanchatiram (TP)","72703","3.Dharapuram (M)","64984","434","434","434","434","18","17","405","195","132","14","344","42","262","433","398","428","420","63.6","22.7","13.7"
