"","State","District","Persons","Males","Females","Growth (1991 - 2001)","Rural","Urban","Scheduled Caste population","Percentage - SC to total","Number of households","Household size (per household)","Sex ratio (females per 1000 males)","Sex ratio (0-6 years)","Scheduled Tribe population","Percentage to total population (ST)","Persons- literate","Males- Literate","Females- Literate","Persons- literacy rate","Males- Literatacy Rate","Females- Literacy Rate","Total Educated","Data without level","Below Primary","Primary","Middle","Matric/Higher Secondary/Diploma","Graduate and Above","0 - 4 years","5 - 14 years","15 - 59 years","60 years and above (Incl. A.N.S.)","Total workers","Main workers","Marginal workers","Non-workers","SC#1 Name","SC#1 Population","SC#2 Name","SC#2 Population","SC#3 Name","SC#3 Population","Religeon#1 Name","Religeon#1 Population","Religeon#2 Name","Religeon#2 Population","Religeon#3 Name","Religeon#3 Population","ST#1 Name","ST#1 Population","ST#2 Name","ST#2 Population","ST#3 Name","ST#3 Population","Imp Town#1 Name","Imp Town#1 Population","Imp Town#2 Name","Imp Town#2 Population","Imp Town#3 Name","Imp Town#3 Population","Total Inhabited Villages","Drinking water facilities","Safe Drinking water","Electricity (Power Supply)","Electricity (domestic)","Electricity (Agriculture)","Primary school","Middle schools","Secondary/Sr Secondary schools","College","Medical facility","Primary Health Centre","Primary Health Sub-Centre","Post, telegraph and telephone facility","Bus services","Paved approach road","Mud approach road","Permanent House","Semi-permanent House","Temporary House"
"1","Tripura","District West Tripura","1532982","785579","747403","18.29","1122915","410067","295698","19.29","321777","5","951","967","387081","25.25","1035378","581523","453855","77.26","84.58","69.55","1035378","11270","299223","326328","212458","124022","61995","129668","361712","924952","116650","534348","436870","97478","998634","1.Namasudra","127502","2.Mahisyadas","52505","3.Jalia Kaibarta","52105","1.Hindus","1373556","2.Muslims","127017","3.Christians","29087","1.Tripura etc.","334587","2.Jamatia","12365","3.Halam","11287","1.Agartala MCl","189998","2.Badharghat CT","47713","3.Jogendranagar CT","34850","275","274","271","248","174","59","275","221","217","2","219","35","28","226","180","245","274","13.7","56.1","30.1"
"2","Tripura","District South Tripura","767440","394605","372835","6.1","713293","54147","127307","16.59","164207","5","945","960","289519","37.73","459502","267091","192411","69.9","78.91","60.33","459502","7824","163268","144445","86398","38584","18952","74350","190002","445891","57197","303694","226467","77227","463746","1.Namasudra","43419","2.Mahisyadas","41454","3.Dhoba","17480","1.Hindus","660641","2.Buddhists","42957","3.Muslims","38999","1.Tripura etc.","105333","2.Jamatia","59918","3.Riang","49698","1.Udaipur NP","21758","2.Belonia NP","15760","3.Amarpur NP","10861","269","269","269","246","129","34","264","190","167","3","180","35","23","179","167","221","269","4.6","45.3","50"
"3","Tripura","District Dhalai","307868","159095","148773","10.79","289001","18867","49817","16.18","62085","5","935","964","166326","54.03","158397","94528","63869","60.93","70.17","50.99","158397","2900","55253","52169","28224","15189","4660","31818","81419","173895","20736","126761","92570","34191","181107","1.Jalia Kaibarta","19162","2.Namasudra","13365","3.Mali","4677","1.Hindus","257834","2.Buddhists","28180","3.Christians","14848","1.Tripura etc.","85299","2.Riang","32151","3.Chakma","23942","1.Kanchanpur CT","7679","2.Ambassa CT","6045","3.Kamalpur NP","5143","148","148","147","108","47","8","138","69","52","-","58","12","8","75","72","127","147","3.4","23","73.5"
"4","Tripura","District North Tripura","590913","302946","287967","26.44","528244","62669","82902","14.03","116265","5","951","969","150500","25.47","368822","207565","161257","72.99","79.99","65.6","368822","5818","130341","118853","61657","37898","14243","58624","147959","341559","42771","194758","156385","38373","396155","1.Mahisyadas","31022","2.Mali","22606","3.Namasudra","14137","1.Hindus","447279","2.Muslims","81843","3.Christians","34898","1.Riang","80279","2.Chakma","23926","3.Tripura etc.","18629","1.Dharmanagar NP","30790","2.Kailasahar NP","20286","3.Kumarghat NP","11593","166","166","157","156","85","29","164","108","82","1","121","33","24","132","94","136","166","10.5","30.9","58.7"
"5","Tripura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Tripura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Tripura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Tripura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Tripura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Tripura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
