"","State","District","Persons","Males","Females","Growth (1991 - 2001)","Rural","Urban","Scheduled Caste population","Percentage - SC to total","Number of households","Household size (per household)","Sex ratio (females per 1000 males)","Sex ratio (0-6 years)","Scheduled Tribe population","Percentage to total population (ST)","Persons- literate","Males- Literate","Females- Literate","Persons- literacy rate","Males- Literatacy Rate","Females- Literacy Rate","Total Educated","Data without level","Below Primary","Primary","Middle","Matric/Higher Secondary/Diploma","Graduate and Above","0 - 4 years","5 - 14 years","15 - 59 years","60 years and above (Incl. A.N.S.)","Total workers","Main workers","Marginal workers","Non-workers","SC#1 Name","SC#1 Population","SC#2 Name","SC#2 Population","SC#3 Name","SC#3 Population","Religeon#1 Name","Religeon#1 Population","Religeon#2 Name","Religeon#2 Population","Religeon#3 Name","Religeon#3 Population","ST#1 Name","ST#1 Population","ST#2 Name","ST#2 Population","ST#3 Name","ST#3 Population","Imp Town#1 Name","Imp Town#1 Population","Imp Town#2 Name","Imp Town#2 Population","Imp Town#3 Name","Imp Town#3 Population","Total Inhabited Villages","Drinking water facilities","Safe Drinking water","Electricity (Power Supply)","Electricity (domestic)","Electricity (Agriculture)","Primary school","Middle schools","Secondary/Sr Secondary schools","College","Medical facility","Primary Health Centre","Primary Health Sub-Centre","Post, telegraph and telephone facility","Bus services","Paved approach road","Mud approach road","Permanent House","Semi-permanent House","Temporary House"
"1","UP","District Saharanpur (01), Uttar Pradesh (09)","2896863","1553322","1343541","23.35","2149291","747572","629350","21.73","456015","6","865","871","498","0.02","1444013","897576","546437","61.22","70.91","50","1444013","83149","386438","378461","244946","259613","89275","359185","813777","1520958","202943","817528","692341","125187","2079335","1.Chamar etc.","546674","2.Balmiki","46063","3.Kori","20059","1.Hindus","1723226","2.Muslims","1132919","3.Sikhs","20693","1.Generic Tribes etc.","391","2.Buksa","68","3.Jaunsari","32","1.Saharanpur (MB)","455754","2.Deoband (MB)","81641","3.Gangoh (MB)","53913","1264","1239","1238","1188","404","296","995","285","97","4","606","29","80","742","344","1071","291","58.2","22.9","18.9"
"2","UP","District Muzaffarnagar (02), Uttar Pradesh (09)","3543362","1893832","1649530","24.61","2639480","903882","478324","13.5","529134","7","871","859","87","0","1738529","1099632","638897","60.67","71.91","47.81","1738529","91426","452742","436539","322658","335119","99142","454634","1001500","1831324","255904","1173153","899536","273617","2370209","1.Chamar etc.","375600","2.Balmiki","58716","3.Kori","19006","1.Hindus","2151009","2.Muslims","1349629","3.Sikhs","18998","1.Generic Tribes etc.","84","2.Bhotia","3","3.All Scheduled Tribes","46","1.Muzaffarnagar (MB)","316729","2.Shamli (MB)","90055","3.Kairana (MB)","73011","893","865","865","850","154","134","794","286","121","22","506","52","73","700","359","817","231","48.7","41.6","9.6"
"3","UP","District Bijnor (03), Uttar Pradesh (09)","3131619","1651908","1479711","27.16","2370268","761351","655806","20.94","482352","6","896","905","2427","0.08","1461119","913906","547213","58.08","68.78","46.1","1461119","69827","400328","391724","281969","239162","77545","410073","914349","1597062","210135","884481","708265","176216","2247138","1.Chamar etc.","571454","2.Balmiki","42135","3.Bhuyiar","18353","1.Hindus","1766391","2.Muslims","1306329","3.Sikhs","48725","1.Buksa","2378","2.Tharu","47","3.Generic Tribes etc.","2","1.Bijnor (MB)","79346","2.Najibabad (MB)","79025","3.Nagina (MB)","71350","2148","2049","2048","1871","273","251","1382","348","93","13","579","22","40","1340","344","1688","675","55.4","27.9","16.7"
"4","UP","District Moradabad (04), Uttar Pradesh (09)","3810983","2032302","1778681","26.45","2647292","1163691","604253","15.86","573063","7","875","911","304","0.01","1358935","893630","465305","44.75","54.91","33.01","1358935","66718","372713","324557","259962","242977","91876","513631","1143561","1926245","227546","1181996","993623","188373","2628987","1.Chamar etc.","468335","2.Balmiki","57442","3.Dhobi","27956","1.Hindus","2052014","2.Muslims","1735381","3.Christians","8832","1.Bhotia","160","2.Tharu","117","3.Generic Tribes etc.","10","1.Moradabad (M Corp.)","641583","2.Sambhal (MB)","182478","3.Chandausi (MB)","103749","1559","1519","1519","1134","520","490","1246","261","113","8","502","26","62","666","209","1090","776","44.9","36.7","18.4"
"5","UP","District Rampur (05), Uttar Pradesh (09)","1923739","1023775","899964","27.98","1443286","480453","257365","13.38","288333","7","879","921","358","0.02","591351","393597","197754","38.76","48.2","27.89","591351","49972","172387","142336","102778","90991","32679","262095","591811","958879","110954","544411","457175","87236","1379328","1.Chamar etc.","170475","2.Balmiki","26206","3.Dhobi","23847","1.Muslims","945277","2.Hindus","905062","3.Sikhs","61717","1.Generic Tribes etc.","150","2.Tharu","90","3.Jaunsari","82","1.Rampur (MB)","281494","2.Tanda (MB)","40013","3.Bilaspur (MB)","35751","1092","1083","1083","916","442","318","838","154","43","4","456","52","66","506","73","767","525","46.2","31.2","22.7"
"6","UP","District Jyotiba Phule Nagar * (06), Uttar Pradesh (09)","1499068","795228","703840","29.72","1130881","368187","258857","17.27","227569","7","885","910","24","0","592056","398603","193453","49.47","62.57","34.56","592056","18356","169030","160661","118818","97240","27853","201772","445373","755715","96208","478103","382742","95361","1020965","1.Chamar etc.","224565","2.Balmiki","20674","3.Dhobi","6655","1.Hindus","897785","2.Muslims","590308","3.Sikhs","5578","1.Tharu","17","2.Bhotia","6","3.Generic Tribes etc.","1","1.Amroha (MB)","165129","2.Hasanpur (MB)","53326","3.Gajraula (NP)","39790","940","915","915","723","184","407","672","129","51","5","320","13","11","267","78","624","508","63.3","27","9.7"
"7","UP","District Meerut (07), Uttar Pradesh (09)","2997361","1601578","1395783","24.16","1545378","1451983","552692","18.44","458106","7","872","856","236","0.01","1606469","992005","614464","64.79","75","53.12","1606469","36521","346517","366095","310234","387800","159151","342645","827678","1630384","196654","895856","737166","158690","2101505","1.Chamar etc.","443200","2.Balmiki","65570","3.Khatik","11337","1.Hindus","1964504","2.Muslims","975715","3.Sikhs","26434","1.Tharu","150","2.Bhotia","47","3.Generic Tribes etc.","22","1.Meerut (M Corp.)","1068772","2.Meerut (CB)","92944","3.Mawana (MB)","69191","622","611","611","606","60","85","555","246","96","6","351","34","65","349","248","569","147","65.4","28.9","5.7"
"8","UP","District Baghpat * (08), Uttar Pradesh (09)","1163991","630077","533914","13","934559","229432","127813","10.98","168753","7","847","850","48","0","615873","399716","216157","64.24","76.99","49.17","615873","17377","135812","136783","130501","159698","35506","136056","320255","609434","98246","380310","289862","90448","783681","1.Chamar etc.","89732","2.Balmiki","27232","3.Generic Castes etc.","3829","1.Hindus","854718","2.Muslims","287871","3.Jains","17929","1.Generic Tribes etc.","26","2.Tharu","22","3.All Scheduled Tribes","48","1.Baraut (MB)","85708","2.Khekada (NP)","40335","3.Baghpat (MB)","36384","290","283","283","277","79","87","262","111","90","6","111","17","26","181","114","244","131","51.1","45.7","3.2"
"9","UP","District Ghaziabad (09), Uttar Pradesh (09)","3290586","1769042","1521544","47.47","1474171","1816415","593780","18.04","538009","6","860","854","207","0.01","1899735","1168462","731273","69.74","79.84","58.01","1899735","46842","378697","412224","362683","485991","212861","375160","900196","1817207","198023","938251","799884","138367","2352335","1.Chamar etc.","448862","2.Balmiki","72764","3.Kori","29887","1.Hindus","2461008","2.Muslims","782915","3.Sikhs","21017","1.Tharu","86","2.Bhotia","51","3.Generic Tribes etc.","43","1.Ghaziabad (M Corp.)","968256","2.Hapur (MB)","211983","3.Loni (NP)","120945","522","512","512","513","100","119","476","207","61","13","456","30","114","302","85","457","184","79.4","16.4","4.2"
"10","UP","District Gautam Buddha Nagar * (10), Uttar Pradesh (09)","1202030","652819","549211","35.7","752615","449415","196022","16.31","204302","6","841","853","398","0.03","675669","434749","240920","68.69","81.26","53.7","675669","17445","142970","141557","130814","158673","84210","145921","326027","648789","81293","363814","308884","54930","838216","1.Chamar etc.","140549","2.Balmiki","28069","3.Khatik","6529","1.Hindus","1028937","2.Muslims","156415","3.Sikhs","6797","1.Tharu","197","2.Generic Tribes etc.","128","3.Bhotia","52","1.Noida (CT)","305058","2.Dadri (MB)","57416","3.Jewar (NP)","27016","392","388","388","360","144","157","326","97","68","6","358","14","47","190","75","289","160","80.6","13","6.5"
