"","State","District","Persons","Males","Females","Growth (1991 - 2001)","Rural","Urban","Scheduled Caste population","Percentage - SC to total","Number of households","Household size (per household)","Sex ratio (females per 1000 males)","Sex ratio (0-6 years)","Scheduled Tribe population","Percentage to total population (ST)","Persons- literate","Males- Literate","Females- Literate","Persons- literacy rate","Males- Literatacy Rate","Females- Literacy Rate","Total Educated","Data without level","Below Primary","Primary","Middle","Matric/Higher Secondary/Diploma","Graduate and Above","0 - 4 years","5 - 14 years","15 - 59 years","60 years and above (Incl. A.N.S.)","Total workers","Main workers","Marginal workers","Non-workers","SC#1 Name","SC#1 Population","SC#2 Name","SC#2 Population","SC#3 Name","SC#3 Population","Religeon#1 Name","Religeon#1 Population","Religeon#2 Name","Religeon#2 Population","Religeon#3 Name","Religeon#3 Population","ST#1 Name","ST#1 Population","ST#2 Name","ST#2 Population","ST#3 Name","ST#3 Population","Imp Town#1 Name","Imp Town#1 Population","Imp Town#2 Name","Imp Town#2 Population","Imp Town#3 Name","Imp Town#3 Population","Total Inhabited Villages","Drinking water facilities","Safe Drinking water","Electricity (Power Supply)","Electricity (domestic)","Electricity (Agriculture)","Primary school","Middle schools","Secondary/Sr Secondary schools","College","Medical facility","Primary Health Centre","Primary Health Sub-Centre","Post, telegraph and telephone facility","Bus services","Paved approach road","Mud approach road","Permanent House","Semi-permanent House","Temporary House"
"1","Uttranchal","District Uttarkashi (01), Uttaranchal (05)","295013","152016","142997","22.72","272095","22918","67467","22.87","55558","5","941","942","2685","0.91","161161","105663","55498","65.71","83.6","46.69","161161","4387","40355","40229","33196","30629","12283","33233","76490","163817","21473","135904","114842","21062","159109","1.Shilpkar","50619","2.Bajgi","6337","3.Kori","4157","1.Hindus","290201","2.Muslims","2817","3.Buddhists","1239","1.Bhotia","1784","2.Jannsari","684","3.Generic Tribes etc.","204","1.Uttarkashi (MB)","16218","2.Barkot (NP)","6095","3.Gangotri (NP)","605","682","675","656","570","557","4","557","238","97","3","106","8","20","195","188","194","259","90.9","7.5","1.6"
"2","Uttranchal","District Chamoli (02), Uttaranchal (05)","370359","183745","186614","13.51","319656","50703","67539","18.24","76121","5","1016","934","10484","2.83","237354","138934","98420","75.43","89.66","61.63","237354","7880","51642","66405","49191","45880","16250","37744","92976","204492","35147","164729","96900","67829","205630","1.Shilpkar","63944","2.Generic Castes etc.","948","3.Balmiki","932","1.Hindus","365396","2.Muslims","3725","3.Sikhs","439","1.Bhotia","10192","2.Generic Tribes etc.","255","3.Jannsari","21","1.Chamoli Gopeshwar (MB)","19833","2.Joshimath (MB)","13204","3.Gochar (NP)","7303","1166","1139","1116","883","870","8","804","274","135","7","147","8","6","357","212","204","411","94.4","5","0.6"
"3","Uttranchal","District Rudraprayag * (03), Uttaranchal (05)","227439","107535","119904","13.44","224707","2732","40311","17.72","47539","5","1115","953","186","0.08","141078","80080","60998","73.65","89.81","59.57","141078","2261","33501","39973","31298","25639","8386","24685","57503","124129","21122","102033","76068","25965","125406","1.Shilpkar","37271","2.Generic Castes etc.","1219","3.Chamar etc.","519","1.Hindus","225773","2.Muslims","1406","3.Religion not stated","90","1.Bhotia","101","2.Generic Tribes etc.","78","3.Jannsari","7","1.Rudraprayag (NP)","2250","2.Kedarnath (NP)","482",NA,NA,"658","654","648","593","534","11","468","189","116","3","143","5","10","255","231","206","457","97.4","2.4","0.2"
"4","Uttranchal","District Tehri Garhwal (04), Uttaranchal (05)","604747","295168","309579","16.15","544901","59846","87325","14.44","117754","5","1049","927","691","0.11","337816","208251","129565","66.73","85.33","49.42","337816","4730","86479","86609","65227","71619","23069","66858","156841","328135","52913","264715","181205","83510","340032","1.Shilpkar","63470","2.Bajgi","8375","3.Kori","3479","1.Hindus","596769","2.Muslims","6390","3.Sikhs","561","1.Tharu","274","2.Jannsari","216","3.Bhotia","128","1.Tehri (MB)","25423","2.Dhaluwala (CT)","11444","3.Muni Ki Reti (NP)","7880","1801","1729","1519","1275","1255","162","1115","381","118","7","202","10","23","377","295","246","884","96.6","3.2","0.2"
"5","Uttranchal","District Dehradun (05), Uttaranchal (05)","1282143","679583","602560","24.71","603401","678742","173448","13.53","239975","5","887","894","99329","7.75","876441","505379","371062","78.98","85.87","71.2","876441","16937","153390","177169","149514","241917","137075","116176","296033","775669","94265","400475","336504","63971","881668","etc.","56321",NA,"29032",NA,"15619",NA,"1086094",NA,"139197",NA,"33379","1.Jannsari","82147","2.Buksa","15330","3.Generic Tribes etc.","1010",NA,"426674",NA,"59540",NA,"53675","738","723","696","640","530","22","556","212","129","5","334","27","43","317","226","319","438","83.1","12","4.9"
"6","Uttranchal","District Garhwal (06), Uttaranchal (05)","697078","331061","366017","3.87","607203","89875","106653","15.3","149987","5","1106","929","1594","0.23","461675","253270","208405","77.49","90.91","65.7","461675","5655","93020","117782","96994","112562","35643","70169","166780","385698","74431","269871","171647","98224","427207",NA,"93152",NA,"5332",NA,"3548",NA,"673471",NA,"20157",NA,"1915","1.Buksa","1202","2.Bhotia","214","3.Jannsari","83","(MB)","24947",NA,"24743",NA,"19658","3151","3070","2853","2185","2051","21","1549","483","190","12","392","19","18","580","634","366","1543","96.5","2.1","1.4"
"7","Uttranchal","District Pithoragarh (07), Uttaranchal (05)","462289","227615","234674","10.92","402456","59833","106449","23.03","98514","5","1031","902","19279","4.17","296362","170872","125490","75.95","90.06","62.59","296362","3921","68019","82525","65813","58872","17190","49049","114126","256621","42493","198709","124062","74647","263580","1.Shilpkar","101207","2.Generic Castes etc.","1478","3.Balmiki","1127","1.Hindus","456277","2.Muslims","4031","3.Christians","1215","1.Bhotia","18647","2.Raji","364","3.Generic Tribes etc.","215","1.Pithoragarh (MB)","44964","2.Dharchula (NP)","6324","3.Didihat (NP)","4806","1579","1564","1496","1159","1141","8","821","275","124","8","190","10","27","405","185","249","603","96.1","3.8","0.1"
"8","Uttranchal","District Bageshwar (08), Uttaranchal (05)","249462","118510","130952","17.56","241659","7803","64524","25.87","51949","5","1105","929","1943","0.78","148464","85160","63304","71.29","87.65","56.98","148464","2747","38197","43314","33283","25892","5029","28599","62182","134571","24110","118844","85613","33231","130618","1.Shilpkar","63337","2.Generic Castes etc.","482","3.Balmiki","311","1.Hindus","247402","2.Muslims","1280","3.Christians","361","1.Bhotia","1913","2.Generic Tribes etc.","19","3.Tharu","11","1.Bageshwar (MB)","7803",NA,NA,NA,NA,"883","842","738","627","567","11","483","128","76","1","101","7","11","189","94","143","271","97.9","2","0.1"
"9","Uttranchal","District Almora (09), Uttaranchal (05)","630567","293848","336719","3.14","576062","54505","140430","22.27","131052","5","1146","932","878","0.14","392640","217169","175471","73.64","89.2","60.56","392640","7012","90912","112370","85177","75309","21832","67755","160994","337070","64748","292182","204649","87533","338385","1.Shilpkar","133034","2.Balmiki","2845","3.Generic Castes etc.","2077","1.Hindus","621203","2.Muslims","7283","3.Christians","959","1.Bhotia","798","2.Generic Tribes etc.","69","3.Tharu","6","1.Almora (MB)","30154","2.Ranikhet (CB)","19055","3.Dwarahat (NP)","3092","2172","2165","2045","1791","1505","14","1238","291","183","6","260","18","35","500","330","357","725","98.1","1.8","0.2"
"10","Uttranchal","District Champawat (10), Uttaranchal (05)","224542","111084","113458","9.21","190764","33778","38098","16.97","43902","5","1021","934","740","0.33","129947","78925","51022","70.39","87.27","54.18","129947","1605","35900","39247","25803","21073","6311","27673","60021","119959","16889","90208","56165","34043","134334",NA,"31768","etc.","3520",NA,"1465",NA,"216646",NA,"6642",NA,"626","1.Tharu","427","2.Bhotia","205","3.Raji","99",NA,"15811",NA,"8179",NA,"5829","656","649","574","395","379","7","347","107","37","2","67","11","13","168","60","147","246","89.4","4.5","6.1"
