"","State","District","Persons","Males","Females","Growth (1991 - 2001)","Rural","Urban","Scheduled Caste population","Percentage - SC to total","Number of households","Household size (per household)","Sex ratio (females per 1000 males)","Sex ratio (0-6 years)","Scheduled Tribe population","Percentage to total population (ST)","Persons- literate","Males- Literate","Females- Literate","Persons- literacy rate","Males- Literatacy Rate","Females- Literacy Rate","Total Educated","Data without level","Below Primary","Primary","Middle","Matric/Higher Secondary/Diploma","Graduate and Above","0 - 4 years","5 - 14 years","15 - 59 years","60 years and above (Incl. A.N.S.)","Total workers","Main workers","Marginal workers","Non-workers","SC#1 Name","SC#1 Population","SC#2 Name","SC#2 Population","SC#3 Name","SC#3 Population","Religeon#1 Name","Religeon#1 Population","Religeon#2 Name","Religeon#2 Population","Religeon#3 Name","Religeon#3 Population","ST#1 Name","ST#1 Population","ST#2 Name","ST#2 Population","ST#3 Name","ST#3 Population","Imp Town#1 Name","Imp Town#1 Population","Imp Town#2 Name","Imp Town#2 Population","Imp Town#3 Name","Imp Town#3 Population","Total Inhabited Villages","Drinking water facilities","Safe Drinking water","Electricity (Power Supply)","Electricity (domestic)","Electricity (Agriculture)","Primary school","Middle schools","Secondary/Sr Secondary schools","College","Medical facility","Primary Health Centre","Primary Health Sub-Centre","Post, telegraph and telephone facility","Bus services","Paved approach road","Mud approach road","Permanent House","Semi-permanent House","Temporary House"
"1","WB","District Darjiling","1609172","830644","778528","23.54","1088740","520432","258881","16.09","318737","5","937","961","204167","12.69","1008288","581420","426868","71.79","80.05","62.94","1008288","26105","293918","238539","184564","192799","71644","135457","371091","992719","109905","569442","478851","90591","1039730","1.Rajbanshi","129904","2.Namasudra","41555","3.Kami (Nepali)","31195","1.Hindus","1237714","2.Buddhists","177327","3.Christians","99232","1.Oraon","66978","2.Bhutia etc.","45014","3.Lepcha","31210","1.Siliguri (M Corp.) (Part)","284602","2.Darjiling (M)","107197","3.Kalimpong (M)","42998","640","633","554","391","377","8","472","161","90","3","395","27","141","281","252","385","554","37.6","47.8","14.5"
"2","WB","District Jalpaiguri","3401173","1751145","1650028","21.52","2794291","606882","1248577","36.71","688139","5","942","969","641688","18.87","1810083","1082575","727508","62.85","72.83","52.21","1810083","36191","726663","450354","294751","230179","70820","349513","863702","1975720","212238","1303136","1025433","277703","2098037","1.Rajbanshi","811567","2.Namasudra","286708","3.Generic Castes etc.","18766","1.Hindus","2833229","2.Muslims","369195","3.Christians","147654","1.Oraon","360876","2.Munda","83252","3.Santal","33312","1.Siliguri (M Corp.) (Part)","187772","2.Jalpaiguri (M)","100348","3.Alipurduar (M)","72999","742","741","732","524","462","64","700","181","128","3","570","47","181","439","395","496","722","28.4","48.3","23.2"
"3","WB","District Koch Bihar","2479155","1272094","1207061","14.15","2253537","225618","1242374","50.11","517878","5","949","963","14246","0.57","1386965","816196","570769","66.3","75.93","56.12","1386965","23424","592743","365660","210694","153907","40012","259145","644098","1398737","177175","966705","754311","212394","1512450","1.Rajbanshi","972803","2.Namasudra","165514","3.Jalia Kaibartta","45330","1.Hindus","1871857","2.Muslims","600911","3.Jains","2193","1.Oraon","5916","2.Rabha","2280","3.Munda","1309","1.Koch Bihar (M)","76874","2.Dinhata (M)","34273","3.Mathabhanga (M)","21107","1138","1138","1137","583","537","26","922","184","159","3","758","40","203","323","337","519","1053","14.7","56.8","28.3"
"4","WB","District Uttar Dinajpur (04), West Bengal (19)","2441794","1259737","1182057","28.72","2147351","294443","676582","27.71","464648","5","938","965","124865","5.11","923477","583960","339517","47.89","58.48","36.51","923477","34890","407587","195557","147724","107439","29145","344679","698892","1270989","127234","935524","716483","219041","1506270","1.Rajbanshi","405140","2.Namasudra","99237","3.Paliya","32822","1.Hindus","1263001","2.Muslims","1156503","3.Christians","13172","1.Santal","94304","2.Oraon","12496","3.Munda","4432","1.Raiganj (M)","165212","2.Islampur (M)","52738","3.Kaliaganj (M)","47650","1477","1465","1463","757","665","70","1044","136","108","1","648","29","142","541","339","537","1454","14.6","48.4","37"
"5","WB","District Dakshin Dinajpur * (05), West Bengal (19)","1503178","770335","732843","22.11","1306324","196854","432660","28.78","318079","5","951","965","242317","16.12","799479","467296","332183","63.59","72.43","54.28","799479","17380","348112","182219","130432","93373","27518","162477","377726","863876","99099","612728","471187","141541","890450","1.Rajbanshi","224988","2.Paliya","69369","3.Namasudra","39172","1.Hindus","1112575","2.Muslims","361047","3.Christians","22039","1.Santal","153634","2.Oraon","41797","3.Munda","26496","1.Balurghat (M)","135737","2.Gangarampur (M)","53533",NA,NA,"1579","1573","1573","892","717","101","998","139","133","1","627","25","103","362","323","370","1548","13.3","69.1","17.7"
"6","WB","District Maldah","3290468","1689406","1601062","24.77","3049528","240940","554165","16.84","631935","5","948","963","227047","6.9","1332704","801770","530934","50.28","58.8","41.25","1332704","29219","581062","313521","203944","159619","44408","429488","928902","1753984","178094","1340706","967143","373563","1949762","1.Rajbanshi","144158","2.Namasudra","101444","3.Bind","30303","1.Muslims","1636171","2.Hindus","1621468","3.Others","22350","1.Santal","146723","2.Generic Tribes etc.","36739","3.Oraon","13125","1.English Bazar (M)","161456","2.Old Maldah (M)","62959","3.Kendua (CT)","5773","1642","1637","1637","1126","922","154","1144","262","214","5","794","46","218","644","368","591","1587","30.8","55.7","13.5"
"7","WB","District Murshidabad","5866569","3005000","2861569","23.7","5133835","732734","703786","12","1140095","5","952","971","75953","1.29","2620538","1502724","1117814","54.35","60.71","47.63","2620538","66432","1087866","681327","384598","308022","91654","698034","1637356","3191673","339506","2005174","1672311","332863","3861395","1.Bagdi etc.","112947","2.Rajbanshi","86649","3.Chamar etc.","83010","1.Muslims","3735380","2.Hindus","2107469","3.Christians","13723","1.Santal","45562","2.Mal Pahariya","11142","3.Oraon","8677","1.Baharampur (M)","160143","2.Jangipur(M)","74458","3.Dhulian (M)","72850","1925","1899","1899","1624","1035","439","1566","392","311","5","1273","83","385","680","569","891","1739","37.3","45.8","16.8"
"8","WB","District Birbhum (08), West Bengal (19)","3015422","1546633","1468789","17.88","2757002","258420","889894","29.51","598429","5","950","963","203127","6.74","1553852","920153","633699","61.48","70.89","51.55","1553852","29564","603030","371539","264683","209034","74737","324134","766542","1757214","167532","1128497","831699","296798","1886925","1.Bagdi etc.","240641","2.Chamar etc.","143855","3.Mal","113401","1.Hindus","1944606","2.Muslims","1057861","3.Christians","7382","1.Santal","176789","2.Kora","13456","3.Oraon","4502","1.Bolpur (M)","65693","2.Suri (M)","61806","3.Rampurhat (M)","50613","2259","2237","2234","1956","1605","161","1770","340","271","6","1018","73","162","837","752","813","2051","17.3","22.7","59.9"
"9","WB","District Barddhaman","6895514","3588376","3307138","14.36","4348466","2547048","1860754","26.98","1390072","5","922","956","441832","6.41","4205146","2458485","1746661","70.18","78.63","60.95","4205146","105666","1329183","991623","728878","748285","297950","604383","1563346","4267123","460662","2451241","1902334","548907","4444273","1.Bagdi etc.","568002","2.Bauri","323048","3.Chamar etc.","239230","1.Hindus","5440052","2.Muslims","1364133","3.Others","44675","1.Santal","349276","2.Kora","37073","3.Bhumij","12191","1.Durgapur (M Corp.)","493405","2.Asansol (M Corp.)","475439","3.Kulti (M)","289903","2438","2437","2433","2207","1825","461","2157","504","428","7","1588","115","496","1372","1134","1626","2199","42.6","24.4","33"
"10","WB","District Nadia","4604827","2366853","2237974","19.51","3625308","979519","1365985","29.66","959987","5","946","971","113891","2.47","2644461","1489038","1155423","66.14","72.31","59.58","2644461","42781","947612","695736","465510","364806","127632","407511","1068865","2741690","386761","1615705","1405724","209981","2989122","1.Namasudra","810612","2.Bagdi etc.","105206","3.Jhalo Malo etc.","98322","1.Hindus","3396095","2.Muslims","1170282","3.Christians","29563","1.Oraon","26155","2.Bhumij","25596","3.Munda","19589","1.Krishnanagar (M)","139110","2.Santipur (M)","138235","3.Nabadwip (M)","115016","1250","1245","1245","1161","752","398","1133","283","244","6","738","59","126","595","452","785","1205","40.2","53.4","6.2"
